role,partition,dev_block,execution_start,episode_class,loss_class,parent_pnl,h2_recovery_pnl,episode_pnl,h2_exit_reason,h2_entry_ts,h2_exit_ts,post_exit_reclaim,reclaim_ts,reclaim_min,closes_le_H_before_reclaim,min_close_R_before_reclaim,max_adverse_R_before_reclaim,target_after_h2_exit,target_after_h2_exit_min,target_after_causal_reclaim,reclaim_to_target_min
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,-0.8531816565944261,-0.7109847138286884,-1.5641663704231146,FAILED_BREAK,2022-01-08 01:00:00+00:00,2022-01-08 01:25:00+00:00,True,2022-01-08 01:25:00+00:00,0.0,0,0.010430247718381214,0.07040417209908617,True,330.0,True,330.0
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L4_BREAK_FAIL_30M,-3.284296955183064,-4.105371193978858,-7.389668149161922,FAILED_BREAK,2022-01-08 22:40:00+00:00,2022-01-08 22:50:00+00:00,False,,,141,-0.7139013452914802,0.7488789237668152,False,,False,
CENTRAL,development,0.0,2022-01-09 18:00:00+00:00,H2_ECONOMIC_RESCUE,L2_BREAK_FAST_FAIL_5M,-0.0691037246908221,0.10365558703617772,0.03455186234535562,FAILED_BREAK,2022-01-09 19:25:00+00:00,2022-01-09 19:50:00+00:00,True,2022-01-09 19:50:00+00:00,0.0,0,0.03197674418604636,0.021802325581396186,False,,False,
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,-1.5999999999999903,-1.2363636363636465,-2.836363636363637,FAILED_BREAK,2022-01-11 08:00:00+00:00,2022-01-11 08:30:00+00:00,True,2022-01-11 14:00:00+00:00,330.0,66,-0.3987577639751557,0.4062111801242243,False,,False,
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,-0.3943995267206013,-0.953132189574657,-1.3475317162952583,FAILED_BREAK,2022-01-12 20:25:00+00:00,2022-01-12 20:40:00+00:00,True,2022-01-12 20:40:00+00:00,0.0,0,0.027231467473526054,0.04841149773071012,False,,False,
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,-0.4367399045892006,-0.7390983000739038,-1.1758382046631044,FAILED_BREAK,2022-01-16 07:05:00+00:00,2022-01-16 07:20:00+00:00,True,2022-01-16 07:30:00+00:00,10.0,2,-0.0783289817232403,0.14882506527415656,True,45.0,True,35.0
CENTRAL,development,0.0,2022-01-24 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,-4.714887952074531,-0.4992234302196863,-5.214111382294218,FAILED_BREAK,2022-01-24 18:45:00+00:00,2022-01-24 18:55:00+00:00,True,2022-01-24 20:20:00+00:00,85.0,17,-0.23737916219119154,0.2717508055853921,True,90.0,True,5.0
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,-3.721682847896424,-0.4854368932039055,-4.20711974110033,FAILED_BREAK,2022-01-28 20:40:00+00:00,2022-01-28 21:40:00+00:00,True,2022-01-28 21:40:00+00:00,0.0,0,0.008810572687222904,0.04625550660793121,True,490.0,True,490.0
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,-4.45479396577908,-0.7593398805305074,-5.214133846309588,FAILED_BREAK,2022-01-31 21:05:00+00:00,2022-01-31 21:20:00+00:00,True,2022-01-31 21:20:00+00:00,0.0,0,0.053664921465969996,0.03534031413612513,True,245.0,True,245.0
CENTRAL,development,0.0,2022-02-22 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,-0.5136986301369495,-0.171232876712335,-0.6849315068492845,FAILED_BREAK,2022-02-23 00:50:00+00:00,2022-02-23 02:25:00+00:00,True,2022-02-23 04:40:00+00:00,135.0,27,-0.3521850899742905,0.4113110539845743,True,155.0,True,20.0
