structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,return_year,path_status,path_anchor_i_5m,path_anchor_time,path_anchor_low,ascent_bars,up_path_efficiency,median_adjacent_overlap,overlap_gt50_share,range_contraction_ratio,body_contraction_ratio,largest_bull_body_share,sign_flip_rate,higher_low_share,rise_per_bar_range_units,max_bull_body_range_units,pre_return_drawup_fraction
2023-01-05 20:00:00+00:00__H20120__L20122,20125,2023-01-05 20:00:00+00:00,20127,2023-01-05 22:00:00+00:00,2023-01-05 23:00:00+00:00,2023,13.395,20120,20122,13.048,20122,20124,13.781,2.881672265770807,2,13.392,0.1899999999999995,20139,2023-01-06 10:00:00+00:00,2023-01-06 11:00:00+00:00,12.998,12.92,12,4.121052631578965,0.5051282051282034,0.26315789473684653,20137,2023-01-06 08:00:00+00:00,13.109,13.232,13.097,13.166,13.097,13.232,0.7105263157894744,241729,2023-01-06 15:05:00+00:00,245.0,13.024,13.179,13.022,13.121,0.6074074074074138,12.644,INVALIDATED,241764,2023-01-06 18:00:00+00:00,175.0,2.6148148148148302,-2.989560265738691,2023,USABLE,241710.0,2023-01-06 13:30:00+00:00,12.644,20.0,0.2792553191489364,0.8730158730158724,0.8947368421052632,0.7225130890052484,0.8076923076922805,0.2840059790732427,0.6470588235294118,0.5789473684210527,0.1323668452568554,2.275449101796404,1.1810154525386332
2023-03-31 01:00:00+00:00__H22141__L22143,22146,2023-03-31 01:00:00+00:00,22146,2023-03-31 01:00:00+00:00,2023-03-31 02:00:00+00:00,2023,20.708,22141,22143,20.361,22143,22145,20.74,0.15452965037665578,0,20.585,0.20399999999999885,22152,2023-03-31 07:00:00+00:00,2023-03-31 08:00:00+00:00,20.288,20.01,6,2.2156862745098076,0.7836411609498669,0.3578431372549059,22149,2023-03-31 04:00:00+00:00,20.513,20.576,20.436,20.552,20.436,20.576,0.6862745098039282,265890,2023-03-31 12:30:00+00:00,270.0,20.26,20.462,20.206,20.43,0.18571428571428353,20.01,INVALIDATED,265902,2023-03-31 13:30:00+00:00,60.0,6.499999999999974,-0.979510244877551,2023,USABLE,265856.0,2023-03-31 09:40:00+00:00,20.207,35.0,0.22458628841607903,0.7117346938775311,0.7058823529411765,0.9795918367347413,0.7083333333335369,0.3313840155945441,0.48484848484848486,0.5294117647058824,0.1299589603283205,3.953488372093048,1.1135371179039297
2023-04-22 22:00:00+00:00__H22689__L22691,22695,2023-04-22 22:00:00+00:00,22695,2023-04-22 22:00:00+00:00,2023-04-22 23:00:00+00:00,2023,21.928,22689,22691,21.608,22691,22693,21.99,0.28274352426120863,0,21.856,0.15100000000000158,22697,2023-04-23 00:00:00+00:00,2023-04-23 01:00:00+00:00,21.569,21.42,2,2.7880794701986424,1.0,0.25827814569537133,22695,2023-04-22 22:00:00+00:00,21.814,21.99,21.767,21.856,21.767,21.99,1.476821192052958,272406,2023-04-23 03:30:00+00:00,150.0,21.745,21.767,21.722,21.724,0.0,21.42,INVALIDATED,272454,2023-04-23 07:30:00+00:00,240.0,1.1434977578475503,2.4276377217553833,2023,USABLE,272392.0,2023-04-23 02:20:00+00:00,21.524,15.0,0.4169278996865003,1.0,0.8571428571428571,1.4137931034482927,2.624999999999223,0.2680000000000007,0.6153846153846154,0.6428571428571429,0.25675675675676174,1.8108108108108627,1.0
2023-07-02 22:00:00+00:00__H24381__L24395,24399,2023-07-02 22:00:00+00:00,24400,2023-07-02 23:00:00+00:00,2023-07-03 00:00:00+00:00,2023,19.491,24381,24383,19.068,24395,24397,19.75,1.32881842901853,1,19.453,0.31099999999999994,24415,2023-07-03 14:00:00+00:00,2023-07-03 15:00:00+00:00,18.951,18.931,15,2.5691318327974266,0.3087330873308724,0.3762057877813534,24412,2023-07-03 11:00:00+00:00,19.383,19.499,19.354,19.465,19.354,19.499,0.4662379421221852,293001,2023-07-03 15:45:00+00:00,45.0,19.315,19.356,19.285,19.323,0.01379310344829276,18.931,CONTINUATION,293069,2023-07-03 21:25:00+00:00,340.0,2.627586206896561,0.4278696318208204,2023,USABLE,292992.0,2023-07-03 15:00:00+00:00,18.941,10.0,0.37767220902612625,0.6901408450704006,0.6666666666666666,0.7090909090909073,0.48275862068963404,0.4173228346456666,0.375,0.8888888888888888,0.23713646532438173,2.8456375838925965,1.0048426150121124
2023-07-06 10:00:00+00:00__H24475__L24478,24483,2023-07-06 10:00:00+00:00,24485,2023-07-06 12:00:00+00:00,2023-07-06 13:00:00+00:00,2023,19.75,24475,24477,19.328,24478,24480,20.35,3.03797468354432,2,19.672,0.24700000000000166,24487,2023-07-06 14:00:00+00:00,2023-07-06 15:00:00+00:00,19.298,18.803,2,4.2591093117408745,1.0,0.1214574898785463,24483,2023-07-06 10:00:00+00:00,20.058,20.35,20.038,20.321,20.038,20.35,1.2631578947368383,293891,2023-07-06 17:55:00+00:00,175.0,19.873,20.066,19.865,20.064,0.08974358974358522,18.803,INVALIDATED,293903,2023-07-06 18:55:00+00:00,60.0,4.455128205128179,-2.4251449236823883,2023,USABLE,293858.0,2023-07-06 15:10:00+00:00,19.129,34.0,0.3862718707940791,0.8738738738738805,0.7272727272727273,0.5310344827586212,0.6923076923076923,0.14756174794173363,0.5,0.6363636363636364,0.23611682435211476,2.108597285067811,1.0308030803080295
2023-07-27 15:00:00+00:00__H24983__L24988,24992,2023-07-27 15:00:00+00:00,24992,2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,2023,25.34,24983,24985,25.16,24988,24990,25.588,0.9786898184688253,0,25.142,0.31649999999999956,24995,2023-07-27 18:00:00+00:00,2023-07-27 19:00:00+00:00,24.928,24.735,3,2.0853080568720412,0.5376884422110475,0.7330173775671395,24993,2023-07-27 16:00:00+00:00,25.145,25.327,25.108,25.234,25.108,25.327,0.69194312796209,299988,2023-07-27 22:00:00+00:00,180.0,25.007,25.144,25.007,25.126,0.16438356164382473,24.7,CONTINUATION,300080,2023-07-28 05:40:00+00:00,460.0,1.041095890410944,0.7368421052631522,2023,USABLE,299959.0,2023-07-27 19:35:00+00:00,24.7,30.0,0.27912824811400133,0.715789473684207,0.7241379310344828,0.698863636363635,1.1372549019608869,0.15637319316688628,0.5,0.5862068965517241,0.15413098819717655,1.597315436241598,1.0882352941176414
2023-09-15 02:00:00+00:00__H26168__L26171,26179,2023-09-15 02:00:00+00:00,26179,2023-09-15 02:00:00+00:00,2023-09-15 03:00:00+00:00,2023,19.184,26168,26170,18.848,26171,26173,19.2,0.08340283569641116,0,19.063,0.2054999999999989,26191,2023-09-15 14:00:00+00:00,2023-09-15 15:00:00+00:00,18.761,18.714,12,2.1362530413625422,0.34553775743706955,0.4233576642335776,26187,2023-09-15 10:00:00+00:00,19.142,19.195,19.072,19.183,19.072,19.195,0.59854014598541,314395,2023-09-15 22:35:00+00:00,455.0,18.912,19.08,18.912,19.054,0.06504065040649631,18.543,INVALIDATED,314397,2023-09-15 22:45:00+00:00,10.0,2.4390243902438864,-1.6340397993852174,2023,USABLE,314349.0,2023-09-15 18:45:00+00:00,18.543,47.0,0.45009416195856633,0.7696827262044776,0.6739130434782609,1.0952380952382161,1.2941176470587743,0.18513689700130406,0.35555555555555557,0.6521739130434783,0.2808460634547383,3.837837837837555,1.015122873345934
2023-12-01 09:00:00+00:00__H28028__L28031,28034,2023-12-01 09:00:00+00:00,28036,2023-12-01 11:00:00+00:00,2023-12-01 12:00:00+00:00,2023,61.099,28028,28030,60.225,28031,28033,61.937,1.371544542463865,2,61.05,0.5834999999999972,28039,2023-12-01 14:00:00+00:00,2023-12-01 15:00:00+00:00,59.931,59.79,3,3.437874892887763,1.0,0.5038560411311147,28034,2023-12-01 09:00:00+00:00,61.015,61.937,60.957,61.694,60.957,61.937,1.6795201371036872,336499,2023-12-01 16:35:00+00:00,95.0,60.777,61.116,60.4,60.516,0.1622448979591831,59.756,CONTINUATION,336584,2023-12-01 23:40:00+00:00,425.0,0.7785714285714364,0.2828167882723023,2023,USABLE,336485.0,2023-12-01 15:25:00+00:00,59.756,15.0,0.3333333333333333,0.9440772704100209,0.7857142857142857,1.40350877192986,1.2694610778442765,0.21036585365853952,0.6923076923076923,0.7857142857142857,0.22207176709545745,1.3080568720378958,1.1323896752706069
2024-05-18 10:00:00+00:00__H32083__L32088,32091,2024-05-18 10:00:00+00:00,32092,2024-05-18 11:00:00+00:00,2024-05-18 12:00:00+00:00,2024,174.45,32083,32085,172.003,32088,32090,175.9,0.8311837202636951,1,174.298,1.5010000000000048,32097,2024-05-18 16:00:00+00:00,2024-05-18 17:00:00+00:00,170.596,170.302,5,3.533644237175207,0.9127218934911276,0.9373750832778,32096,2024-05-18 15:00:00+00:00,172.282,172.836,171.7,172.334,171.7,172.836,0.7568287808128051,385188,2024-05-18 18:00:00+00:00,60.0,171.382,171.832,171.289,171.623,0.11619718309859349,170.302,INVALIDATED,385217,2024-05-18 20:25:00+00:00,145.0,2.34066901408445,2.54489084097662,2024,USABLE,385176.0,2024-05-18 17:00:00+00:00,170.542,13.0,0.02814569536423167,0.7727983564331868,0.75,1.1071428571429032,0.8102345415777765,0.4343297101449237,0.45454545454545453,0.5833333333333334,0.017932489451472335,3.0348101265822645,1.113989637305705
2024-05-22 17:00:00+00:00__H32177__L32189,32194,2024-05-22 17:00:00+00:00,32195,2024-05-22 18:00:00+00:00,2024-05-22 19:00:00+00:00,2024,179.285,32177,32179,176.172,32189,32191,182.295,1.6788911509607596,1,179.081,2.13600000000001,32211,2024-05-23 10:00:00+00:00,2024-05-23 11:00:00+00:00,173.797,173.067,16,3.9784644194756327,0.33074611917876884,1.111891385767785,32209,2024-05-23 08:00:00+00:00,177.49,177.867,177.012,177.832,177.012,177.867,0.40028089887639784,386666,2024-05-23 21:10:00+00:00,610.0,176.327,178.155,173.638,173.919,1.0,164.6,INVALIDATED,386672,2024-05-23 21:40:00+00:00,30.0,4.09122807017551,1.3171324422843296,2024,USABLE,386652.0,2024-05-23 20:00:00+00:00,164.6,15.0,0.5014641938060197,0.8215052196491971,0.7857142857142857,1.4723378941106517,1.286941580756044,0.3093456834105204,0.3076923076923077,0.7142857142857143,0.30032950680271664,1.9382440476190075,1.0920883016435707
