hour_utc,hour_wib,direction,hold_min,N,WR,net,exp,PF,DD,LS,all3_year_net_positive,min_year_exp,min_year_wr,exp_2022,net_2022,wr_2022,pf_2022,exp_2023,net_2023,wr_2023,pf_2023,exp_2024,net_2024,wr_2024,pf_2024
17,0,LONG,240,1096,45.43795620437956,-730.0281306965451,-0.6660840608545119,0.7668960973318564,735.4751818428626,22,False,-0.8247502613753804,43.83561643835616,-0.7631501308828422,-278.5497977722374,46.02739726027397,0.7850305226278785,-0.4099170883860781,-149.6197372609185,43.83561643835616,0.807160347623529,-0.8247502613753804,-301.8585956633892,46.44808743169399,0.7152628108895233
18,1,LONG,240,1096,44.89051094890511,-715.7657470385127,-0.6530709370789349,0.7603952115535305,715.7657470385119,10,False,-0.7196979364662098,44.38356164383562,-0.6972764063746829,-254.50588832675925,44.657534246575345,0.80325993843281,-0.7196979364662098,-262.6897468101666,44.38356164383562,0.6767929559411482,-0.5425412893485978,-198.5701119015868,45.62841530054645,0.7745830791232917
19,2,SHORT,60,1096,33.02919708029197,-672.9158674906153,-0.6139743316520212,0.620221545546929,717.7958739679616,13,False,-0.6715174648762195,27.945205479452056,-0.6449464280543846,-235.4054462398504,36.986301369863014,0.6645083255209479,-0.6715174648762195,-245.10387467982014,27.945205479452056,0.4979154179829556,-0.5257009469151496,-192.40654657094473,34.15300546448087,0.6694152293620893
20,3,LONG,240,1095,42.73972602739726,-541.8542985651458,-0.4948441082786719,0.8082655922064153,556.157649815262,11,False,-0.7642366016459016,40.821917808219176,-0.7642366016459016,-278.9463596007541,42.465753424657535,0.785825495129413,-0.5002873190847276,-182.60487146592556,40.821917808219176,0.7486899530643323,-0.22000840410538675,-80.30306749846616,44.93150684931507,0.8992470665355967
21,4,LONG,120,1096,39.872262773722625,-590.9073626038465,-0.5391490534706629,0.7199192635716805,635.9445023806558,17,False,-1.15075280827135,35.61643835616438,-1.15075280827135,-420.02477501904275,35.61643835616438,0.5859191713966855,-0.4641404472968033,-169.4112632633332,38.9041095890411,0.679288049554947,-0.004020011807296615,-1.4713243214705614,45.08196721311475,0.9974059208052696
22,5,LONG,60,1096,35.94890510948905,-574.0596365396289,-0.5237770406383475,0.6390752050463048,616.7262544251854,12,False,-0.744695060679144,33.6986301369863,-0.744695060679144,-271.8136971478876,37.534246575342465,0.6174382072831147,-0.36995859207551823,-135.03488610756415,33.6986301369863,0.6561574257655958,-0.4568608013228885,-167.21105328417718,36.6120218579235,0.6568565490481892
23,6,SHORT,60,1095,34.337899543378995,-680.6139716158677,-0.621565270882071,0.5584940847028254,699.0397846599683,24,False,-0.8140586766286757,24.93150684931507,-0.5494092661990732,-200.5343821626617,40.273972602739725,0.7010160630817083,-0.8140586766286757,-297.1314169694666,24.93150684931507,0.3261923625567775,-0.5012278698184642,-182.94817248373946,37.80821917808219,0.5744209659977217
0,7,LONG,60,1096,38.22992700729927,-657.9847144099136,-0.6003510167973665,0.6223584915758396,664.3275641281153,14,False,-0.8555224950323136,35.89041095890411,-0.8555224950323136,-312.2657106867945,39.726027397260275,0.5952488790513044,-0.3097480991251937,-113.0580561806957,35.89041095890411,0.7269223069470199,-0.6356856490230147,-232.6609475424234,39.07103825136612,0.5821747555592091
1,8,SHORT,60,1096,38.86861313868613,-519.5269975558907,-0.47402098317143315,0.6891953962762886,565.1253232418176,12,False,-0.5704376178436695,33.15068493150685,-0.4129686458158836,-150.73355572279752,45.20547945205479,0.7738708727609359,-0.5704376178436695,-208.2097305129394,33.15068493150685,0.5226937344333965,-0.43875330961790676,-160.58371132015387,38.25136612021858,0.7176574665920148
2,9,LONG,360,1096,41.605839416058394,-586.7698798401691,-0.5353739779563587,0.7915704061908698,688.3107692968146,12,False,-0.8715354646793647,35.89041095890411,-0.8715354646793647,-318.11044460796813,42.73972602739726,0.7491614672814781,-0.7327007478529635,-267.4357729663317,35.89041095890411,0.5978824106296295,-0.0033433395242329265,-1.223662265869251,46.17486338797814,0.9986125302455086
