exec_min,execution_utc,state,partition,base_n,n,retention,wins,wr,pf,expectancy,net,max_ls
300,05:00,CLASSIFIED_BASE,external,29,29,1.0,17,0.5862068965517241,2.158915379929707,1.5828393884138132,45.90234226400058,4
300,05:00,HIGH_VOL,external,29,12,0.41379310344827586,7,0.5833333333333334,2.586266321720974,2.3490768842242296,28.188922610690753,4
300,05:00,LOW_VOL,external,29,17,0.5862068965517241,10,0.5882352941176471,1.8111503060331768,1.0419658619594017,17.713419653309828,2
300,05:00,CLASSIFIED_BASE,development,52,52,1.0,33,0.6346153846153846,1.6713613477894227,0.861201971435477,44.782502514644804,4
300,05:00,HIGH_VOL,development,52,21,0.40384615384615385,12,0.5714285714285714,1.8658665110604293,1.2370085905557526,25.977180401670807,2
300,05:00,LOW_VOL,development,52,31,0.5961538461538461,21,0.6774193548387096,1.5123695452756059,0.6066232939669031,18.805322112973997,3
300,05:00,CLASSIFIED_BASE,reference_validation,24,24,1.0,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2
300,05:00,HIGH_VOL,reference_validation,24,9,0.375,6,0.6666666666666666,2.2161748637412844,1.4280940113515823,12.852846102164241,2
300,05:00,LOW_VOL,reference_validation,24,15,0.625,9,0.6,0.9447293572666796,-0.10634993839563316,-1.5952490759344973,2
540,09:00,CLASSIFIED_BASE,external,48,48,1.0,32,0.6666666666666666,1.1930778219732956,0.5638043532912235,27.062608957978725,3
540,09:00,HIGH_VOL,external,48,15,0.3125,10,0.6666666666666666,0.9951237073060029,-0.024996962498765048,-0.3749544374814757,2
540,09:00,LOW_VOL,external,48,33,0.6875,22,0.6666666666666666,1.4336520838692366,0.8314413150139456,27.437563395460206,3
540,09:00,CLASSIFIED_BASE,development,89,89,1.0,56,0.6292134831460674,1.3769846212659103,0.5934780411542144,52.81954566272508,4
540,09:00,HIGH_VOL,development,89,44,0.4943820224719101,27,0.6136363636363636,1.7678370214966037,1.1323480133471568,49.823312587274906,5
540,09:00,LOW_VOL,development,89,45,0.5056179775280899,29,0.6444444444444445,1.0398314821587318,0.06658295723222601,2.9962330754501707,4
540,09:00,CLASSIFIED_BASE,reference_validation,31,31,1.0,23,0.7419354838709677,1.755567239017798,0.9733970255278455,30.17530779136321,2
540,09:00,HIGH_VOL,reference_validation,31,13,0.41935483870967744,9,0.6923076923076923,2.014760409808025,1.3246496202046067,17.220445062659888,1
540,09:00,LOW_VOL,reference_validation,31,18,0.5806451612903226,14,0.7777777777777778,1.5640561472339842,0.7197145960390732,12.954862728703317,2
600,10:00,CLASSIFIED_BASE,external,36,36,1.0,26,0.7222222222222222,1.5109169477750792,1.3201362188022727,47.524903876881815,3
600,10:00,HIGH_VOL,external,36,11,0.3055555555555556,10,0.9090909090909091,1.9330740049890713,3.2390866021326756,35.62995262345943,1
600,10:00,LOW_VOL,external,36,25,0.6944444444444444,16,0.64,1.2169293939449768,0.4757980501368955,11.894951253422388,3
600,10:00,CLASSIFIED_BASE,development,97,97,1.0,60,0.6185567010309279,1.1626984620556278,0.2714443739473077,26.330104272888846,5
600,10:00,HIGH_VOL,development,97,39,0.4020618556701031,23,0.5897435897435898,1.4083493340788484,0.8020063908751129,31.278249244129405,4
600,10:00,LOW_VOL,development,97,58,0.5979381443298969,37,0.6379310344827587,0.9419483708284069,-0.08531284433173403,-4.948144971240573,4
600,10:00,CLASSIFIED_BASE,reference_validation,41,41,1.0,28,0.6829268292682927,1.994275924285748,1.4851883416151301,60.89272200622034,3
600,10:00,HIGH_VOL,reference_validation,41,21,0.5121951219512195,13,0.6190476190476191,1.83514145077945,1.634467277424184,34.323812825907865,4
600,10:00,LOW_VOL,reference_validation,41,20,0.4878048780487805,15,0.75,2.3189566961653614,1.3284454590156234,26.568909180312467,2
960,16:00,CLASSIFIED_BASE,external,46,46,1.0,29,0.6304347826086957,1.594023008073145,1.140056777492788,52.44261176466825,7
960,16:00,HIGH_VOL,external,46,19,0.41304347826086957,10,0.5263157894736842,1.6013847817880749,1.3227158769152019,25.131601661388835,4
960,16:00,LOW_VOL,external,46,27,0.5869565217391305,19,0.7037037037037037,1.5874061634934438,1.0115188927140528,27.31101010327943,3
960,16:00,CLASSIFIED_BASE,development,50,50,1.0,28,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,3
960,16:00,HIGH_VOL,development,50,20,0.4,11,0.55,1.0557780666185033,0.21242795336952067,4.2485590673904134,3
960,16:00,LOW_VOL,development,50,30,0.6,17,0.5666666666666667,0.7179247553137363,-0.7232792940977727,-21.69837882293318,3
960,16:00,CLASSIFIED_BASE,reference_validation,24,24,1.0,14,0.5833333333333334,1.4010272664192651,0.886947629107811,21.286743098587465,5
960,16:00,HIGH_VOL,reference_validation,24,10,0.4166666666666667,5,0.5,0.8368944505363877,-0.698834184986968,-6.9883418498696805,3
960,16:00,LOW_VOL,reference_validation,24,14,0.5833333333333334,9,0.6428571428571429,3.76258241234988,2.019648924889796,28.275084948457142,3
