partition,class,n,median_wick_mae_R,p75_wick_mae_R,p90_wick_mae_R,median_close_drawdown_R,p75_close_drawdown_R,p90_close_drawdown_R,median_min_close_fraction,median_hold_minutes
external,WINNER,32,0.09100243797938273,0.16401570158707185,0.26434466894241454,0.05124607320840263,0.11918718780444165,0.23390412626932452,0.8638665160641372,27.5
external,NON_WINNER,7,0.3259328358208935,0.8170626416302851,1.024059152078639,0.30615671641790776,0.6988989822925226,0.852485628488648,0.5948880597014936,125.0
external,NON_WINNER_OPPOSITE,1,1.069722348281695,1.069722348281695,1.069722348281695,0.9695119435620286,0.9695119435620286,0.9695119435620286,-0.05107471430339583,100.0
external,NON_WINNER_TIME,6,0.3155399473222104,0.5618644054431999,0.8170626416302851,0.2854312993854236,0.5440365887134653,0.6988989822925226,0.6182160886742756,152.5
development,WINNER,32,0.07056241426611354,0.24536900872088102,0.48336613566253717,0.04580431852535827,0.21854838871185572,0.4381324679665222,0.8672478156454809,17.5
development,NON_WINNER,9,1.0059279525763791,1.1195840554592706,1.2511771439280408,0.978568171454627,1.029009126466757,1.0531873922257817,-0.041039671682625595,190.0
development,NON_WINNER_OPPOSITE,5,1.1195840554592706,1.24657933042212,1.2603727709398824,1.029009126466757,1.0483260553129508,1.0629100660514437,-0.0676664228236984,90.0
development,NON_WINNER_TIME,4,0.6181006323863263,0.8141133125890668,0.8286734169728699,0.5217334547404673,0.7167037814032096,0.7573126690735043,0.4208796639988957,302.5
reference_validation,WINNER,13,0.06368491321762315,0.13235685752330317,0.2760446657281664,0.008736909101430435,0.0455790784557889,0.23363453395726505,0.9138459758143821,10.0
reference_validation,NON_WINNER,2,1.1924581950713469,1.2094177452819181,1.219593475408261,1.1072299855039627,1.1142117005709125,1.1184007296110825,-0.1888395096079229,67.5
reference_validation,NON_WINNER_OPPOSITE,2,1.1924581950713469,1.2094177452819181,1.219593475408261,1.1072299855039627,1.1142117005709125,1.1184007296110825,-0.1888395096079229,67.5
reference_validation,NON_WINNER_TIME,0,,,,,,,,
august,WINNER,0,,,,,,,,
august,NON_WINNER,0,,,,,,,,
august,NON_WINNER_OPPOSITE,0,,,,,,,,
august,NON_WINNER_TIME,0,,,,,,,,
POOLED_MAJOR,WINNER,77,0.08782936010037656,0.17624084621643676,0.34538185748408684,0.032855436081244305,0.14469596094096737,0.3011323618066212,0.8790322580645155,20.0
POOLED_MAJOR,NON_WINNER,18,0.9159985872526701,1.1131560989608145,1.2324379059713786,0.7794266729800474,1.025597371550873,1.0788228845249928,0.13162613427309167,152.5
POOLED_MAJOR,NON_WINNER_OPPOSITE,8,1.1390615750547375,1.231427804224897,1.2534760506810012,1.0386675908898537,1.0777911937503448,1.1016446134504025,-0.07376150345878597,95.0
POOLED_MAJOR,NON_WINNER_TIME,10,0.37805486744218497,0.7646453397778743,0.8539038400335248,0.3277401688228983,0.6764399360594471,0.7754598026811248,0.5902640090390917,207.5
