partition,touch_bucket,long_n,short_n,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,med_risk,med_hold,repeatable_pass
external,ALL,31,2,33,33,14,19,0.42424242424242425,1.21342042979393,2.765045551629485,91.246503203773,0.03651350648595694,2175.0,False
external,0,16,0,16,16,6,10,0.375,1.4385932781466388,5.434584716402441,86.95335546243905,0.041088362938156764,2582.5,False
external,1,9,2,11,11,5,6,0.45454545454545453,0.665870866250739,-5.596521570718219,-61.56173727790041,0.02460006175747716,925.0,False
external,2,5,0,5,5,2,3,0.4,1.4387493830262463,3.9525164448510184,19.76258222425509,0.027232914969965157,960.0,False
external,3,0,0,0,0,0,0,,,,,,,False
external,4+,1,0,1,1,1,0,1.0,inf,46.09230279497929,46.09230279497929,0.04649230279497933,7165.0,False
development,ALL,14,9,23,23,11,12,0.4782608695652174,1.8996838264540818,7.953871315822728,182.93904026392275,0.033868274582560386,1120.0,False
development,0,2,3,5,5,2,3,0.4,1.5555795763876137,5.778285846749288,28.89142923374644,0.03218547416999818,325.0,False
development,1,8,4,12,12,6,6,0.5,3.056581751400291,13.000434793697794,156.00521752437353,0.0263938388249507,895.0,False
development,2,2,2,4,4,1,3,0.25,0.24589551718525554,-14.229602624828225,-56.9184104993129,0.04697489224050999,2425.0,False
development,3,1,0,1,1,1,0,1.0,inf,35.199048271114044,35.199048271114044,0.03559904827111407,605.0,False
development,4+,1,0,1,1,1,0,1.0,inf,19.761755734001586,19.761755734001586,0.020161755734001623,4615.0,False
reference_validation,ALL,9,7,16,16,5,11,0.3125,0.5988327920706662,-3.8253918101383517,-61.20626896221363,0.022214110391462365,730.0,False
reference_validation,0,6,1,7,7,2,5,0.2857142857142857,0.2842930948440879,-7.172129055956412,-50.204903391694884,0.011437806171405426,675.0,False
reference_validation,1,1,3,4,4,2,2,0.5,1.9516074145697797,6.625520841238461,26.502083364953844,0.027575945460646532,1455.0,False
reference_validation,2,2,1,3,3,1,2,0.3333333333333333,0.6919157509003699,-2.533532270130633,-7.600596810391899,0.01746991728633488,700.0,False
reference_validation,3,0,2,2,2,0,2,0.0,0.0,-14.951426062540339,-29.902852125080678,0.02910285212508071,5262.5,False
reference_validation,4+,0,0,0,0,0,0,,,,,,,False
august,ALL,2,1,3,2,1,1,0.5,4.370050093683761,7.474542609895453,14.949085219790906,0.013928339202329935,11650.0,False
august,0,1,1,2,1,0,1,0.0,0.0,-4.43586439495629,-4.43586439495629,0.00807172878991266,315.0,False
august,1,1,0,1,1,1,0,1.0,inf,19.384949614747196,19.384949614747196,0.01978494961474721,22985.0,False
august,2,0,0,0,0,0,0,,,,,,,False
august,3,0,0,0,0,0,0,,,,,,,False
august,4+,0,0,0,0,0,0,,,,,,,False
