lane,parent_n,parent_ratchet_triggers,retained_h2_n,h2_ratchet_triggers,parent_winner_preservation,new_negative_original_winners,baseline_parent_wr,candidate_parent_wr,baseline_episode_wr,candidate_episode_wr,episode_wr_delta,baseline_episode_pf,candidate_episode_pf,baseline_episode_net,candidate_episode_net,baseline_episode_gross_loss,candidate_episode_gross_loss,baseline_episode_wr_5bps,candidate_episode_wr_5bps,baseline_episode_pf_5bps,candidate_episode_pf_5bps,baseline_episode_net_5bps,candidate_episode_net_5bps,baseline_stack_pf,candidate_stack_pf,baseline_stack_net,candidate_stack_net,stack_net_improvement,baseline_stack_pf_5bps,candidate_stack_pf_5bps,baseline_stack_net_5bps,candidate_stack_net_5bps,stack_net_improvement_5bps,adequate_blocks,positive_blocks,positive_blocks_5bps,eligible,b1_n,b1_delta,b1_delta_5bps,b2_n,b2_delta,b2_delta_5bps,b3_n,b3_delta,b3_delta_5bps,b4_n,b4_delta,b4_delta_5bps,b5_n,b5_delta,b5_delta_5bps,b6_n,b6_delta,b6_delta_5bps
RF_LOOSE,617,74,178,29,1.0,0,0.4473257698541329,0.5316045380875203,0.5348460291734197,0.6061588330632091,0.07131280388978933,1.3251753731320466,1.280572371419781,448.81841275479366,361.38687190840005,1380.2349434762953,1288.03442077947,0.526742301458671,0.5591572123176661,1.1610853498515994,1.1173269430801445,240.5684127547936,162.63687190839994,1.3064354291509468,1.2671305074787846,448.8184127547937,361.38687190839994,-87.43154084639377,1.151280715633054,1.1115506909371942,240.56841275479363,162.63687190839988,-77.93154084639374,6,3,3,False,86,12.298790504125911,13.048790504125908,103,-10.273229505198088,-9.023229505198117,104,-44.8471889765632,-43.097188976563196,111,0.11559573088429431,1.8655957308842943,104,-49.495835898259415,-46.99583589825941,109,4.770327298616827,6.270327298616827
RF_BALANCED,617,115,163,47,1.0,0,0.4473257698541329,0.5656401944894651,0.5348460291734197,0.6482982171799028,0.11345218800648305,1.3251753731320466,1.2981517432166287,448.81841275479366,371.3587257847947,1380.2349434762953,1245.5359870727839,0.526742301458671,0.5915721231766613,1.1610853498515994,1.1323133267865935,240.5684127547936,176.35872578479461,1.3064354291509468,1.281254683062223,448.8184127547937,371.3587257847947,-77.45968696999904,1.151280715633054,1.1247200544655191,240.56841275479363,176.35872578479461,-64.20968696999901,6,1,2,False,86,-2.051091601687979,-1.0510916016880056,103,-12.234069950791636,-10.484069950791636,104,-36.52114674797802,-34.27114674797802,111,-0.9820612671578601,2.01793873284214,104,-28.88172071271066,-25.631720712710667,109,3.2104033103271696,5.21040331032718
RF_TIGHT,617,142,136,54,1.0,0,0.4473257698541329,0.6142625607779578,0.5348460291734197,0.6790923824959482,0.14424635332252844,1.3251753731320466,1.2989270635864603,448.81841275479366,360.47147136285616,1380.2349434762953,1205.8843620179448,0.526742301458671,0.6094003241491086,1.1610853498515994,1.1339281947992286,240.5684127547936,172.2214713628561,1.3064354291509468,1.285370820716069,448.8184127547937,360.4714713628561,-88.3469413919376,1.151280715633054,1.1281602601360903,240.56841275479363,172.22147136285608,-68.34694139193755,6,1,1,False,86,-12.496901240324643,-10.496901240324645,103,-5.157893354979535,-1.657893354979521,104,-40.52052400798472,-38.0205240079847,111,8.440169401696906,12.69016940169692,104,-34.46506000921556,-29.965060009215577,109,-4.146732181129984,-0.8967321811299769
RF_GIVEBACK15,617,97,173,38,1.0,0,0.4473257698541329,0.5413290113452188,0.5348460291734197,0.6207455429497569,0.0858995137763372,1.3251753731320466,1.2900937869899736,448.81841275479366,368.79440642600366,1380.2349434762953,1271.2937090195255,0.526742301458671,0.5899513776337115,1.1610853498515994,1.1256117442700435,240.5684127547936,171.2944064260036,1.3064354291509468,1.2748536553243157,448.8184127547937,368.79440642600355,-80.02400632879016,1.151280715633054,1.1187874215910163,240.56841275479363,171.29440642600352,-69.27400632879011,6,2,2,False,86,8.894498828738172,9.89449882873816,103,-8.729949337099313,-6.979949337099313,104,-40.17618946510608,-38.42618946510609,111,0.8065180139768842,2.80651801397687,104,-31.417252826170525,-28.667252826170532,109,-9.401631543129113,-7.901631543129113
