key,n,q10,q25,q50,q75,q90
SHARED:h1_atr_pct168,8760,0.0416666666666666,0.1904761904761904,0.4583333333333333,0.7678571428571429,0.9404761904761904
SHARED:compression_6v24,8737,0.2592082009146581,0.3504482477587614,0.4793926247288502,0.6380368098159512,0.7871732026143782
SHARED:range_atr,8760,0.5138224347476353,0.6472052703964224,0.8513934124373981,1.163830927286694,1.5784387600910117
SHARED:h1_overlap_24,8760,0.7026354310893195,0.7305827291341022,0.763387596113936,0.7942886835162632,0.8217239744986081
SHARED:h1_mean_cross_24,8760,0.0,1.0,3.0,5.0,6.0
SHARED:h1_range_path_24,8760,0.33642744563640503,0.38910201211382867,0.4658086047690414,0.554185396914137,0.663527573282468
SHARED:boundary_touch_count12,8749,0.0,0.0,2.0,3.0,5.0
SHARED:failed_escape_count24,8737,0.0,1.0,2.0,3.0,4.0
SHARED:atr_slope6,8754,-0.0021932384947987702,-0.001246773623742525,-0.0003528902715711,0.000844914556536475,0.0024614080442157296
SHARED:h1_atr_vs_med72,8760,0.7235534523676537,0.8383149598598617,0.9771998769485166,1.1591866518256693,1.3958541218107625
PAIR:signed_eff_6h,17508,-0.6406854505823437,-0.35931472722262736,0.0,0.35931472722262736,0.6406854505823438
PAIR:signed_eff_12h,17496,-0.45956843940715125,-0.2519727932151125,-0.0,0.2519727932151125,0.45956843940715125
PAIR:ema20_slope_atr,17520,-0.4472849726795536,-0.22928280036207585,0.0,0.22928280036207585,0.4472849726795536
PAIR:ema_spread_atr,17520,-0.8909610269637201,-0.45980411895118434,0.0,0.45980411895118434,0.8909610269637203
PAIR:aligned_close_frac_6h,17510,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666
PAIR:aligned_body_frac_6h,17510,-0.22576975575631897,-0.11974103597568092,0.0,0.11974103597568092,0.22576975575631897
PAIR:aligned_clv,17520,-0.7563516855394955,-0.48734177215190144,0.0,0.48734177215190144,0.7563516855394955
PAIR:hours_since_impulse,17498,2.0,5.0,14.0,32.0,57.0
PAIR:hours_since_break,17493,0.0,6.0,22.0,48.0,81.0
PAIR:hours_since_renewal,17359,4.0,13.0,33.0,64.0,104.0
PAIR:aligned_move_since_impulse_atr,17498,-6.881320011972828,-3.8472306232730142,-1.420322241235585,-0.08760545919942395,0.615545820314331
PAIR:mfe_since_impulse_atr,17498,0.24421189098340504,0.44529597750775085,0.8594765660484812,1.519870219786587,2.5368132141364135
PAIR:aligned_ret24_pct168,17474,0.0892857142857142,0.25,0.5029761904761905,0.7559523809523809,0.9166666666666666
PAIR:distance_ema20_atr,17520,-1.4787382378153195,-0.7409192639922119,0.0,0.7409192639922119,1.4787382378153198
PAIR:renewal_count72,17378,0.0,1.0,2.0,3.0,5.0
PAIR:latest_reclaim_body_frac,17492,0.173728813559308,0.3333333333333749,0.5225543366331211,0.6916666666666675,0.8002852614896915
PAIR:latest_reclaim_clv,17492,0.4624277456647402,0.6089743589743608,0.7591623036649234,0.8723835246455093,0.9416605839416077
PAIR:post_reclaim_progress_1h,3345,-0.00957741090293864,-0.0044686931670564,-0.0005167137008625,0.0041072608818808,0.010523913536805813
PAIR:post_reclaim_progress_3h,3344,-0.01737225582686115,-0.007904644180444875,-0.0005961272925581,0.00674420745406395,0.01778078584826076
PAIR:fresh_extreme_count_6h,17510,0.0,0.0,0.0,0.0,2.0
PAIR:acceptance_beyond_prior24_atr,17472,-4.909111288167422,-3.5953546848511753,-2.356309793184245,-1.3621886262808507,-0.6943439481161406
PAIR:eff_decay_6v24,17472,-0.5632630353331134,-0.2999859438250961,0.0,0.2999859438250961,0.5632630353331134
PAIR:marginal_progress_ratio_3v12,17447,0.07980758192677144,0.20484310681698098,0.4981975221387769,1.0381316248411208,2.5011101047700888
PAIR:pullback_depth_trend,17480,-1.997054363597989,-0.8756992396386414,-0.1578600755981902,0.7592911121016277,2.1047965221405667
PAIR:adverse_wick_6h,17510,0.18163816583089365,0.22683242859589564,0.28445136254331443,0.346189327454376,0.40651262853420794
PAIR:failed_fresh_break_count_6h,17510,0.0,0.0,0.0,0.0,1.0
PAIR:failed_reclaim_count24,17474,0.0,0.0,0.0,0.0,3.0
PAIR:failed_fresh_break_count_24h,17474,0.0,0.0,0.0,2.0,3.0
PAIR:latest_pullback_max_depth_atr,17492,1.0065218252006312,1.392584416217968,2.021227669733838,2.9487464091925344,4.359486507741633
PAIR:renewal_count24,17474,0.0,0.0,0.0,1.0,2.0
