check,value,pass,expected,expected_min
m2_filled_rows_loaded,703.0,True,,
full_grid_rows,8436.0,True,8436.0,
eth_coverage,1.0,True,,0.995
entry_geometry,1.0,True,,
chronology,1.0,True,,
