anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
6,2022-01-02,Sunday,2022-01-01 23:00:00+00:00,2022-01-02 03:00:00+00:00,2022-01-02 03:00:00+00:00,2022-01-02 07:00:00+00:00,528.16,522.7,5.459999999999923,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-02 03:45:00+00:00,
6,2022-01-03,Monday,2022-01-02 23:00:00+00:00,2022-01-03 03:00:00+00:00,2022-01-03 03:00:00+00:00,2022-01-03 07:00:00+00:00,532.4,524.63,7.769999999999982,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-03 03:35:00+00:00,
6,2022-01-04,Tuesday,2022-01-03 23:00:00+00:00,2022-01-04 03:00:00+00:00,2022-01-04 03:00:00+00:00,2022-01-04 07:00:00+00:00,514.57,502.0,12.57000000000005,False,NO_K1,0,0,,,False,,,NO_K1,,
6,2022-01-05,Wednesday,2022-01-04 23:00:00+00:00,2022-01-05 03:00:00+00:00,2022-01-05 03:00:00+00:00,2022-01-05 07:00:00+00:00,512.49,505.5,6.990000000000009,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-05 03:10:00+00:00,
6,2022-01-06,Thursday,2022-01-05 23:00:00+00:00,2022-01-06 03:00:00+00:00,2022-01-06 03:00:00+00:00,2022-01-06 07:00:00+00:00,478.41,465.11,13.300000000000011,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-06 03:00:00+00:00,
6,2022-01-07,Friday,2022-01-06 23:00:00+00:00,2022-01-07 03:00:00+00:00,2022-01-07 03:00:00+00:00,2022-01-07 07:00:00+00:00,476.44,466.75,9.689999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 03:00:00+00:00,
6,2022-01-08,Saturday,2022-01-07 23:00:00+00:00,2022-01-08 03:00:00+00:00,2022-01-08 03:00:00+00:00,2022-01-08 07:00:00+00:00,454.82,445.27,9.550000000000011,True,,1,0,2022-01-08 05:55:00+00:00,2022-01-08 06:00:00+00:00,True,2022-01-08 06:00:00+00:00,2022-01-08 06:05:00+00:00,H2_ARRIVAL,2022-01-08 06:50:00+00:00,50.0
6,2022-01-09,Sunday,2022-01-08 23:00:00+00:00,2022-01-09 03:00:00+00:00,2022-01-09 03:00:00+00:00,2022-01-09 07:00:00+00:00,435.69,426.72,8.96999999999997,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-09 04:45:00+00:00,
6,2022-01-10,Monday,2022-01-09 23:00:00+00:00,2022-01-10 03:00:00+00:00,2022-01-10 03:00:00+00:00,2022-01-10 07:00:00+00:00,440.79,435.29,5.5,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-10 04:15:00+00:00,
6,2022-01-11,Tuesday,2022-01-10 23:00:00+00:00,2022-01-11 03:00:00+00:00,2022-01-11 03:00:00+00:00,2022-01-11 07:00:00+00:00,430.31,421.22,9.089999999999975,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-11 03:30:00+00:00,
6,2022-01-12,Wednesday,2022-01-11 23:00:00+00:00,2022-01-12 03:00:00+00:00,2022-01-12 03:00:00+00:00,2022-01-12 07:00:00+00:00,465.35,456.98,8.370000000000005,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-12 04:30:00+00:00,
