segment,baseline_n,baseline_rate,selected_n,selected_rate,lift
ALL_2020_2024,237,0.27848101265822783,53,0.3584905660377358,0.08000955337950799
2020,21,0.3333333333333333,8,0.375,0.041666666666666685
2021,54,0.24074074074074073,10,0.5,0.2592592592592593
2022,53,0.2830188679245283,16,0.125,-0.1580188679245283
2023,47,0.2553191489361702,13,0.38461538461538464,0.12929623567921444
2024,62,0.3064516129032258,6,0.6666666666666666,0.3602150537634408
ERA_2020_2022,128,0.2734375,34,0.29411764705882354,0.02068014705882354
ERA_2023_2024,109,0.28440366972477066,19,0.47368421052631576,0.1892805408015451
