rule1,rule2,f1,f2,rules_json,trades,wins,wr,tpd,avg_net,net_sum,eligible
ret15 <= -0.0038177812,prev1h_ret <= -0.0035074571,ret15,prev1h_ret,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",217,125,0.576036866359447,0.5945205479452055,2.0737327188940527e-05,0.004500000000000094,False
prev1h_ret <= -0.006611419,ema20_dist >= -0.00046124673,prev1h_ret,ema20_dist,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",156,88,0.5641025641025641,0.4273972602739726,-0.0002179487179487173,-0.0339999999999999,False
prev1h_ret <= -0.006611419,ema20_slope >= -4.854993e-05,prev1h_ret,ema20_slope,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",156,88,0.5641025641025641,0.4273972602739726,-0.0002179487179487173,-0.0339999999999999,False
prev1h_ret <= -0.0035074571,ema20_dist >= -0.00046124673,prev1h_ret,ema20_dist,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",262,146,0.5572519083969466,0.7178082191780822,-0.00035496183206106826,-0.09299999999999989,False
prev1h_ret <= -0.0035074571,ema20_slope >= -4.854993e-05,prev1h_ret,ema20_slope,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",262,146,0.5572519083969466,0.7178082191780822,-0.00035496183206106826,-0.09299999999999989,False
prev1h_ret <= -0.006611419,cci_delta15 <= -55.14396,prev1h_ret,cci_delta15,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}, {""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}]",117,65,0.5555555555555556,0.32054794520547947,-0.0003888888888888882,-0.04549999999999992,False
ema20_dist >= 0.0057260027,prev1h_ret <= -0.0035074571,ema20_dist,prev1h_ret,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",178,98,0.550561797752809,0.4876712328767123,-0.0004887640449438199,-0.08699999999999994,False
ema20_slope >= 0.00060310064,prev1h_ret <= -0.0035074571,ema20_slope,prev1h_ret,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",178,98,0.550561797752809,0.4876712328767123,-0.0004887640449438199,-0.08699999999999994,False
ema20_dist >= 0.0057260027,cci_delta15 <= -55.14396,ema20_dist,cci_delta15,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}]",115,63,0.5478260869565217,0.3150684931506849,-0.0005434782608695647,-0.062499999999999944,False
ema20_slope >= 0.00060310064,cci_delta15 <= -55.14396,ema20_slope,cci_delta15,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}, {""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}]",115,63,0.5478260869565217,0.3150684931506849,-0.0005434782608695647,-0.062499999999999944,False
ema20_dist >= 0.0057260027,ret15 <= -0.0038177812,ema20_dist,ret15,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}]",114,62,0.543859649122807,0.31232876712328766,-0.000622807017543859,-0.07099999999999992,False
ema20_slope >= 0.00060310064,ret15 <= -0.0038177812,ema20_slope,ret15,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}, {""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}]",114,62,0.543859649122807,0.31232876712328766,-0.000622807017543859,-0.07099999999999992,False
ema20_dist <= -0.016073803,prev1h_ret <= -0.0035074571,ema20_dist,prev1h_ret,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",282,153,0.5425531914893617,0.7726027397260274,-0.0006489361702127656,-0.18299999999999988,False
ema20_slope <= -0.0016891213,prev1h_ret <= -0.0035074571,ema20_slope,prev1h_ret,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",282,153,0.5425531914893617,0.7726027397260274,-0.0006489361702127656,-0.18299999999999988,False
cci_delta15 <= -55.14396,ema20_dist >= -0.00046124673,cci_delta15,ema20_dist,"[{""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",182,98,0.5384615384615384,0.4986301369863014,-0.00073076923076923,-0.13299999999999987,False
