partition,side,signal_ts,entry_ts,range_high_ts,range_low_ts,range_high,range_low,target_side_visits_at_entry,target_visit_bucket,opposite_visits_at_entry,entry_px,stop_px,target_px,risk_pct,target_boundary,target_wick_ts,target_break_ts,stop_first_ts,target_wick_before_stop,target_break_before_stop,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,SHORT,2020-01-21 20:00:00+00:00,2020-01-22 00:00:00+00:00,2020-01-19 20:00:00+00:00,2020-01-19 08:00:00+00:00,8760.93,8505.0,1,1,2,8742.78,8790.1,8648.140000000001,0.005412466057707011,8505.0,2020-01-23 05:35:00+00:00,2020-01-23 12:00:00+00:00,2020-01-22 07:20:00+00:00,False,False,True,2020-01-22 07:20:00+00:00,8790.1,-0.005412466057707066,-3.106233028853533,SL,440.0
external,LONG,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-01-30 20:00:00+00:00,2020-01-31 12:00:00+00:00,9599.0,9220.0,1,1,2,9284.0,9226.4,9399.2,0.006204222317966433,9599.0,2020-02-05 18:00:00+00:00,2020-02-05 20:00:00+00:00,2020-02-04 09:15:00+00:00,False,False,True,2020-02-04 09:15:00+00:00,9226.4,-0.006204222317966468,-3.502111158983234,SL,75.0
external,SHORT,2020-02-08 08:00:00+00:00,2020-02-08 12:00:00+00:00,2020-02-07 00:00:00+00:00,2020-02-06 20:00:00+00:00,9867.3,9662.0,1,1,2,9825.61,9870.57,9735.690000000002,0.004575797329631354,9662.0,2020-02-16 16:50:00+00:00,2020-02-17 12:00:00+00:00,2020-02-08 13:40:00+00:00,False,False,True,2020-02-08 13:40:00+00:00,9870.57,-0.004575797329631426,-2.687898664815713,SL,100.0
development,SHORT,2022-01-12 08:00:00+00:00,2022-01-12 12:00:00+00:00,2022-01-07 08:00:00+00:00,2022-01-07 12:00:00+00:00,42960.0,40456.56,2,2+,2,42906.98,43444.0,41832.94000000001,0.01251591232941579,40456.56,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,2022-01-12 13:30:00+00:00,False,False,True,2022-01-12 13:30:00+00:00,43444.0,-0.012515912329415846,-6.657956164707923,SL,90.0
development,LONG,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-18 20:00:00+00:00,2022-03-19 00:00:00+00:00,42322.8,41500.0,1,1,2,41587.9,41555.0,41653.700000000004,0.0007910954869084867,42322.8,2022-03-22 03:20:00+00:00,2022-03-22 12:00:00+00:00,2022-03-20 12:00:00+00:00,False,False,True,2022-03-20 12:00:00+00:00,41555.0,-0.0007910954869084774,-0.7955477434542387,SL,0.0
development,SHORT,2022-03-26 20:00:00+00:00,2022-03-27 00:00:00+00:00,2022-03-25 20:00:00+00:00,2022-03-26 00:00:00+00:00,44600.0,44041.0,1,1,2,44489.3,44785.0,43897.90000000001,0.006646541977509133,44041.0,2022-04-06 14:00:00+00:00,2022-04-06 20:00:00+00:00,2022-03-27 02:05:00+00:00,False,False,True,2022-03-27 02:05:00+00:00,44785.0,-0.006646541977509024,-3.723270988754512,SL,125.0
development,SHORT,2022-05-04 08:00:00+00:00,2022-05-04 12:00:00+00:00,2022-05-02 04:00:00+00:00,2022-05-01 20:00:00+00:00,39155.0,37625.0,1,1,2,38987.5,39091.1,38780.3,0.002657261942930389,37625.0,2022-05-05 15:05:00+00:00,2022-05-05 16:00:00+00:00,2022-05-04 12:05:00+00:00,False,False,True,2022-05-04 12:05:00+00:00,39091.1,-0.0026572619429303668,-1.7286309714651833,SL,5.0
reference_validation,SHORT,2025-03-13 00:00:00+00:00,2025-03-13 04:00:00+00:00,2025-03-10 08:00:00+00:00,2025-03-10 16:00:00+00:00,84031.5,77410.1,1,1,2,83537.2,84307.1,81997.39999999998,0.009216253357785618,77410.1,2025-04-06 23:10:00+00:00,2025-04-07 08:00:00+00:00,2025-03-14 15:05:00+00:00,False,False,True,2025-03-13 13:50:00+00:00,81997.39999999998,0.018432506715571284,8.816253357785643,TP_2R,590.0
reference_validation,LONG,2025-04-16 08:00:00+00:00,2025-04-16 12:00:00+00:00,2025-04-13 00:00:00+00:00,2025-04-13 16:00:00+00:00,86100.0,82991.5,1,1,2,84008.4,83100.0,85825.19999999998,0.010813204393846261,86100.0,2025-04-21 00:25:00+00:00,2025-04-21 04:00:00+00:00,2025-11-21 07:30:00+00:00,True,True,True,2025-04-21 00:25:00+00:00,85825.19999999998,0.021626408787692508,10.413204393846254,TP_2R,6505.0
reference_validation,LONG,2025-06-27 08:00:00+00:00,2025-06-27 12:00:00+00:00,2025-06-25 12:00:00+00:00,2025-06-26 12:00:00+00:00,108095.7,106500.0,1,1,2,106943.7,106616.8,107597.49999999999,0.003056748550872975,108095.7,2025-06-29 10:05:00+00:00,2025-06-29 12:00:00+00:00,2025-06-27 12:55:00+00:00,False,False,True,2025-06-27 12:55:00+00:00,106616.8,-0.003056748550873012,-1.9283742754365059,SL,55.0
