transition,partition,k,purity,n,target_break_n,opposite_break_n,no_break_n,target_break_prob,opposite_break_prob,no_break_prob,median_minutes_to_terminal
ASIA_TO_LONDON,external,1,ALL,86,63,3,20,0.7325581395348837,0.03488372093023256,0.23255813953488372,22.5
ASIA_TO_LONDON,external,1,OPP0,84,61,3,20,0.7261904761904762,0.03571428571428571,0.23809523809523808,22.5
ASIA_TO_LONDON,external,2,ALL,17,14,0,3,0.8235294117647058,0.0,0.17647058823529413,10.0
ASIA_TO_LONDON,external,2,OPP0,17,14,0,3,0.8235294117647058,0.0,0.17647058823529413,10.0
ASIA_TO_LONDON,external,3,ALL,5,4,0,1,0.8,0.0,0.2,10.0
ASIA_TO_LONDON,external,3,OPP0,5,4,0,1,0.8,0.0,0.2,10.0
ASIA_TO_LONDON,development,1,ALL,171,130,5,36,0.7602339181286549,0.029239766081871343,0.21052631578947367,20.0
ASIA_TO_LONDON,development,1,OPP0,168,127,5,36,0.7559523809523809,0.02976190476190476,0.21428571428571427,20.0
ASIA_TO_LONDON,development,2,ALL,47,40,1,6,0.851063829787234,0.02127659574468085,0.1276595744680851,10.0
ASIA_TO_LONDON,development,2,OPP0,45,38,1,6,0.8444444444444444,0.022222222222222223,0.13333333333333333,10.0
ASIA_TO_LONDON,development,3,ALL,10,6,1,3,0.6,0.1,0.3,15.0
ASIA_TO_LONDON,development,3,OPP0,10,6,1,3,0.6,0.1,0.3,15.0
ASIA_TO_LONDON,reference_validation,1,ALL,85,65,1,19,0.7647058823529411,0.011764705882352941,0.2235294117647059,20.0
ASIA_TO_LONDON,reference_validation,1,OPP0,82,63,1,18,0.7682926829268293,0.012195121951219513,0.21951219512195122,20.0
ASIA_TO_LONDON,reference_validation,2,ALL,24,17,0,7,0.7083333333333334,0.0,0.2916666666666667,25.0
ASIA_TO_LONDON,reference_validation,2,OPP0,23,16,0,7,0.6956521739130435,0.0,0.30434782608695654,22.5
ASIA_TO_LONDON,reference_validation,3,ALL,11,7,0,4,0.6363636363636364,0.0,0.36363636363636365,5.0
ASIA_TO_LONDON,reference_validation,3,OPP0,11,7,0,4,0.6363636363636364,0.0,0.36363636363636365,5.0
ASIA_TO_LONDON,august,1,ALL,2,1,1,0,0.5,0.5,0.0,147.5
ASIA_TO_LONDON,august,1,OPP0,2,1,1,0,0.5,0.5,0.0,147.5
ASIA_TO_LONDON,august,2,ALL,0,0,0,0,,,,
ASIA_TO_LONDON,august,2,OPP0,0,0,0,0,,,,
ASIA_TO_LONDON,august,3,ALL,0,0,0,0,,,,
ASIA_TO_LONDON,august,3,OPP0,0,0,0,0,,,,
LONDON_TO_NEWYORK,external,1,ALL,121,104,3,14,0.859504132231405,0.024793388429752067,0.11570247933884298,20.0
LONDON_TO_NEWYORK,external,1,OPP0,120,103,3,14,0.8583333333333333,0.025,0.11666666666666667,20.0
LONDON_TO_NEWYORK,external,2,ALL,30,25,1,4,0.8333333333333334,0.03333333333333333,0.13333333333333333,17.5
LONDON_TO_NEWYORK,external,2,OPP0,29,24,1,4,0.8275862068965517,0.034482758620689655,0.13793103448275862,20.0
LONDON_TO_NEWYORK,external,3,ALL,8,7,0,1,0.875,0.0,0.125,35.0
LONDON_TO_NEWYORK,external,3,OPP0,8,7,0,1,0.875,0.0,0.125,35.0
LONDON_TO_NEWYORK,development,1,ALL,188,145,26,17,0.7712765957446809,0.13829787234042554,0.09042553191489362,20.0
LONDON_TO_NEWYORK,development,1,OPP0,173,137,21,15,0.791907514450867,0.12138728323699421,0.08670520231213873,20.0
LONDON_TO_NEWYORK,development,2,ALL,55,37,8,10,0.6727272727272727,0.14545454545454545,0.18181818181818182,15.0
LONDON_TO_NEWYORK,development,2,OPP0,49,36,4,9,0.7346938775510204,0.08163265306122448,0.1836734693877551,12.5
LONDON_TO_NEWYORK,development,3,ALL,11,4,0,7,0.36363636363636365,0.0,0.6363636363636364,22.5
LONDON_TO_NEWYORK,development,3,OPP0,10,4,0,6,0.4,0.0,0.6,22.5
LONDON_TO_NEWYORK,reference_validation,1,ALL,98,81,12,5,0.826530612244898,0.12244897959183673,0.05102040816326531,20.0
LONDON_TO_NEWYORK,reference_validation,1,OPP0,85,69,12,4,0.8117647058823529,0.1411764705882353,0.047058823529411764,20.0
LONDON_TO_NEWYORK,reference_validation,2,ALL,17,14,2,1,0.8235294117647058,0.11764705882352941,0.058823529411764705,15.0
LONDON_TO_NEWYORK,reference_validation,2,OPP0,16,13,2,1,0.8125,0.125,0.0625,20.0
LONDON_TO_NEWYORK,reference_validation,3,ALL,7,6,1,0,0.8571428571428571,0.14285714285714285,0.0,10.0
LONDON_TO_NEWYORK,reference_validation,3,OPP0,7,6,1,0,0.8571428571428571,0.14285714285714285,0.0,10.0
LONDON_TO_NEWYORK,august,1,ALL,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,20.0
LONDON_TO_NEWYORK,august,1,OPP0,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,20.0
LONDON_TO_NEWYORK,august,2,ALL,1,1,0,0,1.0,0.0,0.0,5.0
LONDON_TO_NEWYORK,august,2,OPP0,1,1,0,0,1.0,0.0,0.0,5.0
LONDON_TO_NEWYORK,august,3,ALL,0,0,0,0,,,,
LONDON_TO_NEWYORK,august,3,OPP0,0,0,0,0,,,,
