candidate,n,trades_per_week,wr,pf,expectancy,net,max_loss_streak,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,adequate_blocks,positive_blocks_raw,positive_blocks_5bps,mature_stack_net,mature_stack_net_5bps,additive_net,additive_net_5bps,mature_overlap_rate,eligible,b1_n,b1_net,b1_net_5bps,b2_n,b2_net,b2_net_5bps,b3_n,b3_net,b3_net_5bps,b4_n,b4_net,b4_net_5bps,b5_n,b5_net,b5_net_5bps,b6_n,b6_net,b6_net_5bps,anatomy_rank,ref_min,hour
Z1_R180_H13,756,4.828467153284671,0.47883597883597884,1.0019070019304435,0.003934654684074699,2.9745989411604725,7,0.4775132275132275,0.8878384514213491,-0.24606534531592536,-186.02540105883958,6,4,1,448.81841275479366,240.56841275479366,451.79301169595414,54.54301169595408,0.1626984126984127,False,121,0.4777274483934226,-29.772272551606594,132,-36.13684722983118,-69.13684722983118,133,35.00133753745071,1.7513375374507092,122,21.386395229848194,-9.113604770151813,123,24.467320300837464,-6.282679699162549,125,-42.221334345538146,-73.47133434553815,1,180,13
Z2_R420_H03,609,3.889598540145985,0.39408866995073893,1.2114217590762149,0.4621871676182687,281.47198507952567,12,0.38095238095238093,1.0907055866366002,0.2121871676182687,129.22198507952564,6,4,4,448.81841275479366,240.56841275479366,730.2903978343193,369.79039783431926,0.14942528735632185,True,91,-3.8924947252694397,-26.64249472526945,97,190.52890629830574,166.27890629830574,89,-75.26470030014553,-97.51470030014556,111,30.74861806962319,2.998618069623173,108,61.73101816686583,34.73101816686582,113,77.62063757014586,49.37063757014588,2,420,3
Z3_R600_H08,597,3.812956204379562,0.34338358458961477,0.8912290010032967,-0.29432294952917104,-175.7108008689151,11,0.33668341708542715,0.8104083260511673,-0.5443229495291712,-324.96080086891516,6,3,1,448.81841275479366,240.56841275479366,273.10761188587855,-84.3923881141215,0.10720268006700168,False,95,-113.10743091582233,-136.85743091582233,95,-148.9039319796859,-172.6539319796859,97,20.57892310679081,-3.671076893209193,102,22.73889784978928,-2.7611021502107396,98,-8.340429382153358,-32.84042938215337,110,51.32317045216632,23.823170452166323,3,600,8
