role,partition,attempt,snapshot_min,episode_class,n,break_confirmed_rate,close_R_q25,close_R_q50,close_R_q75,running_mfe_R_q25,running_mfe_R_q50,running_mfe_R_q75,running_mae_R_q25,running_mae_R_q50,running_mae_R_q75,closes_above_H_q25,closes_above_H_q50,closes_above_H_q75,closes_le_H_q25,closes_le_H_q50,closes_le_H_q75,close_minus_L_R_q25,close_minus_L_R_q50,close_minus_L_R_q75
CENTRAL,development,PARENT,5,PARENT_WIN,276,0.41304347826086957,-0.06801758694046232,-0.013013190297876433,0.10832467082466798,0.01927806712962787,0.06636856550315037,0.19066913637416036,0.10323069688506915,0.16117855551074992,0.2562128712871298,0.0,0.0,1.0,0.0,1.0,1.0,0.9319824130595377,0.9869868097021235,1.1083246708246683
CENTRAL,development,PARENT,10,PARENT_WIN,275,0.5636363636363636,-0.10380289106752827,0.05275779376498788,0.22974321053543906,0.0357051826678009,0.16371681415928843,0.3984923784598863,0.11982019363762117,0.18429569068302168,0.27122687250300614,0.0,1.0,2.0,0.0,1.0,2.0,0.8961971089324717,1.0527577937649877,1.229743210535439
CENTRAL,development,PARENT,15,PARENT_WIN,212,0.4669811320754717,-0.13098341949754982,-0.023099728362885447,0.16833333333333425,0.031821464682940545,0.1120420166387924,0.2977804391702933,0.1212258596578547,0.18749600640296263,0.2605693608536693,0.0,0.0,3.0,0.0,3.0,3.0,0.8690165805024501,0.9769002716371145,1.1683333333333343
CENTRAL,development,PARENT,30,PARENT_WIN,154,0.42857142857142855,-0.20262150276746155,-0.07394155778385314,0.13961878303815933,0.027042096157612758,0.08149016996171331,0.2601406390237255,0.15552066980638865,0.23737677527151152,0.32792910267555186,0.0,0.0,3.75,2.25,6.0,6.0,0.7973784972325383,0.9260584422161469,1.1396187830381592
CENTRAL,development,PARENT,5,RESIDUAL_TRUE_FAILURE_PROXY,157,0.4140127388535032,-0.06071428571428355,-0.0130805687203783,0.023832528180353613,0.017177621376596123,0.04011107682813825,0.07728155339805742,0.0850340136054372,0.12734713529128475,0.1903614457831328,0.0,0.0,1.0,0.0,1.0,1.0,0.9392857142857166,0.9869194312796217,1.0238325281803535
CENTRAL,development,PARENT,10,RESIDUAL_TRUE_FAILURE_PROXY,157,0.5286624203821656,-0.1265060240963849,-0.062292358803986085,0.021848739495795078,0.025000000000001035,0.06717226435536372,0.12374100719424677,0.10069444444444407,0.14797136038186418,0.22580645161290425,0.0,1.0,1.0,1.0,1.0,2.0,0.8734939759036151,0.9377076411960139,1.0218487394957951
CENTRAL,development,PARENT,15,RESIDUAL_TRUE_FAILURE_PROXY,157,0.5859872611464968,-0.1462264150943426,-0.06344410876133166,0.01136363636363407,0.028052805280527168,0.07617187499999727,0.15479261758285437,0.11111111111110891,0.16572940787297252,0.24460431654676135,0.0,1.0,2.0,1.0,2.0,3.0,0.8537735849056577,0.9365558912386683,1.011363636363634
CENTRAL,development,PARENT,30,RESIDUAL_TRUE_FAILURE_PROXY,95,0.4631578947368421,-0.20428988292231637,-0.11992619926199463,0.005275952883976299,0.022716015410015326,0.06547085201793627,0.1866633275657944,0.14353811068791456,0.20805369127516904,0.341833750797514,0.0,0.0,4.0,2.0,6.0,6.0,0.7957101170776837,0.8800738007380053,1.0052759528839763
CENTRAL,development,PARENT,60,RESIDUAL_TRUE_FAILURE_PROXY,75,0.44,-0.31507494486599785,-0.21624713958810104,-0.05133463374570202,0.021042270020499923,0.05677419354838782,0.21325051759834135,0.20102218263562088,0.32469098583056993,0.48021585827313346,0.0,0.0,4.0,8.0,12.0,12.0,0.6849250551340021,0.783752860411899,0.9486653662542979
CENTRAL,development,PARENT,5,RESIDUAL_LATENT_RECOVERABLE,130,0.6153846153846154,-0.019306822593167034,0.012524296194120448,0.03965665236051369,0.03549015513698377,0.07470128498503746,0.12300354924578229,0.07892931438306042,0.1245074311035685,0.1822640190401623,0.0,1.0,1.0,0.0,0.0,1.0,0.9806931774068329,1.0125242961941203,1.0396566523605137
