candidate_id,shape_rule,scale_state,principal_scale_variable,scale_band,lookback_min,hold_min
ALL|NONE|LB15|H60,ALL,NONE,RAW_RANGE_LB,NONE,15,60
ALL|NONE|LB15|H120,ALL,NONE,RAW_RANGE_LB,NONE,15,120
ALL|NONE|LB15|H240,ALL,NONE,RAW_RANGE_LB,NONE,15,240
ALL|NONE|LB15|H360,ALL,NONE,RAW_RANGE_LB,NONE,15,360
ALL|NONE|LB15|H720,ALL,NONE,RAW_RANGE_LB,NONE,15,720
ALL|NONE|LB15|H960,ALL,NONE,RAW_RANGE_LB,NONE,15,960
ALL|RAW_RANGE_LB_LOW|LB15|H60,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,60
ALL|RAW_RANGE_LB_LOW|LB15|H120,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,120
ALL|RAW_RANGE_LB_LOW|LB15|H240,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,240
ALL|RAW_RANGE_LB_LOW|LB15|H360,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,360
ALL|RAW_RANGE_LB_LOW|LB15|H720,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,720
ALL|RAW_RANGE_LB_LOW|LB15|H960,ALL,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,960
ALL|RAW_RANGE_LB_MID|LB15|H60,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,60
ALL|RAW_RANGE_LB_MID|LB15|H120,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,120
ALL|RAW_RANGE_LB_MID|LB15|H240,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,240
ALL|RAW_RANGE_LB_MID|LB15|H360,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,360
ALL|RAW_RANGE_LB_MID|LB15|H720,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,720
ALL|RAW_RANGE_LB_MID|LB15|H960,ALL,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,960
ALL|RAW_RANGE_LB_HIGH|LB15|H60,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,60
ALL|RAW_RANGE_LB_HIGH|LB15|H120,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,120
ALL|RAW_RANGE_LB_HIGH|LB15|H240,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,240
ALL|RAW_RANGE_LB_HIGH|LB15|H360,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,360
ALL|RAW_RANGE_LB_HIGH|LB15|H720,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,720
ALL|RAW_RANGE_LB_HIGH|LB15|H960,ALL,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,960
ALL|RANGE_24H_LOW|LB15|H60,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,60
ALL|RANGE_24H_LOW|LB15|H120,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,120
ALL|RANGE_24H_LOW|LB15|H240,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,240
ALL|RANGE_24H_LOW|LB15|H360,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,360
ALL|RANGE_24H_LOW|LB15|H720,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,720
ALL|RANGE_24H_LOW|LB15|H960,ALL,RANGE_24H_LOW,RANGE_24H,LOW,15,960
ALL|RANGE_24H_MID|LB15|H60,ALL,RANGE_24H_MID,RANGE_24H,MID,15,60
ALL|RANGE_24H_MID|LB15|H120,ALL,RANGE_24H_MID,RANGE_24H,MID,15,120
ALL|RANGE_24H_MID|LB15|H240,ALL,RANGE_24H_MID,RANGE_24H,MID,15,240
ALL|RANGE_24H_MID|LB15|H360,ALL,RANGE_24H_MID,RANGE_24H,MID,15,360
ALL|RANGE_24H_MID|LB15|H720,ALL,RANGE_24H_MID,RANGE_24H,MID,15,720
ALL|RANGE_24H_MID|LB15|H960,ALL,RANGE_24H_MID,RANGE_24H,MID,15,960
ALL|RANGE_24H_HIGH|LB15|H60,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,60
ALL|RANGE_24H_HIGH|LB15|H120,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,120
ALL|RANGE_24H_HIGH|LB15|H240,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,240
ALL|RANGE_24H_HIGH|LB15|H360,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,360
ALL|RANGE_24H_HIGH|LB15|H720,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,720
ALL|RANGE_24H_HIGH|LB15|H960,ALL,RANGE_24H_HIGH,RANGE_24H,HIGH,15,960
ALL|RANGE_72H_LOW|LB15|H60,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,60
ALL|RANGE_72H_LOW|LB15|H120,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,120
ALL|RANGE_72H_LOW|LB15|H240,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,240
ALL|RANGE_72H_LOW|LB15|H360,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,360
ALL|RANGE_72H_LOW|LB15|H720,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,720
ALL|RANGE_72H_LOW|LB15|H960,ALL,RANGE_72H_LOW,RANGE_72H,LOW,15,960
ALL|RANGE_72H_MID|LB15|H60,ALL,RANGE_72H_MID,RANGE_72H,MID,15,60
ALL|RANGE_72H_MID|LB15|H120,ALL,RANGE_72H_MID,RANGE_72H,MID,15,120
ALL|RANGE_72H_MID|LB15|H240,ALL,RANGE_72H_MID,RANGE_72H,MID,15,240
ALL|RANGE_72H_MID|LB15|H360,ALL,RANGE_72H_MID,RANGE_72H,MID,15,360
ALL|RANGE_72H_MID|LB15|H720,ALL,RANGE_72H_MID,RANGE_72H,MID,15,720
ALL|RANGE_72H_MID|LB15|H960,ALL,RANGE_72H_MID,RANGE_72H,MID,15,960
ALL|RANGE_72H_HIGH|LB15|H60,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,60
ALL|RANGE_72H_HIGH|LB15|H120,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,120
ALL|RANGE_72H_HIGH|LB15|H240,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,240
ALL|RANGE_72H_HIGH|LB15|H360,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,360
ALL|RANGE_72H_HIGH|LB15|H720,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,720
ALL|RANGE_72H_HIGH|LB15|H960,ALL,RANGE_72H_HIGH,RANGE_72H,HIGH,15,960
ALL|RANGE_RATIO_24_72_LOW|LB15|H60,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,60
ALL|RANGE_RATIO_24_72_LOW|LB15|H120,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,120
ALL|RANGE_RATIO_24_72_LOW|LB15|H240,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,240
ALL|RANGE_RATIO_24_72_LOW|LB15|H360,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,360
ALL|RANGE_RATIO_24_72_LOW|LB15|H720,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,720
ALL|RANGE_RATIO_24_72_LOW|LB15|H960,ALL,RANGE_RATIO_24_72_LOW,RANGE_RATIO_24_72,LOW,15,960
ALL|RANGE_RATIO_24_72_MID|LB15|H60,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,60
ALL|RANGE_RATIO_24_72_MID|LB15|H120,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,120
ALL|RANGE_RATIO_24_72_MID|LB15|H240,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,240
ALL|RANGE_RATIO_24_72_MID|LB15|H360,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,360
ALL|RANGE_RATIO_24_72_MID|LB15|H720,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,720
ALL|RANGE_RATIO_24_72_MID|LB15|H960,ALL,RANGE_RATIO_24_72_MID,RANGE_RATIO_24_72,MID,15,960
ALL|RANGE_RATIO_24_72_HIGH|LB15|H60,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,60
ALL|RANGE_RATIO_24_72_HIGH|LB15|H120,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,120
ALL|RANGE_RATIO_24_72_HIGH|LB15|H240,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,240
ALL|RANGE_RATIO_24_72_HIGH|LB15|H360,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,360
ALL|RANGE_RATIO_24_72_HIGH|LB15|H720,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,720
ALL|RANGE_RATIO_24_72_HIGH|LB15|H960,ALL,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,15,960
DRIVE_UP|NONE|LB15|H60,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,60
DRIVE_UP|NONE|LB15|H120,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,120
DRIVE_UP|NONE|LB15|H240,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,240
DRIVE_UP|NONE|LB15|H360,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,360
DRIVE_UP|NONE|LB15|H720,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,720
DRIVE_UP|NONE|LB15|H960,DRIVE_UP,NONE,RAW_RANGE_LB,NONE,15,960
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H60,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,60
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H120,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,120
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H240,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,240
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H360,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,360
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H720,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,720
DRIVE_UP|RAW_RANGE_LB_LOW|LB15|H960,DRIVE_UP,RAW_RANGE_LB_LOW,RAW_RANGE_LB,LOW,15,960
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H60,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,60
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H120,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,120
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H240,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,240
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H360,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,360
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H720,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,720
DRIVE_UP|RAW_RANGE_LB_MID|LB15|H960,DRIVE_UP,RAW_RANGE_LB_MID,RAW_RANGE_LB,MID,15,960
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H60,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,60
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H120,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,120
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H240,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,240
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H360,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,360
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H720,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,720
DRIVE_UP|RAW_RANGE_LB_HIGH|LB15|H960,DRIVE_UP,RAW_RANGE_LB_HIGH,RAW_RANGE_LB,HIGH,15,960
DRIVE_UP|RANGE_24H_LOW|LB15|H60,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,60
DRIVE_UP|RANGE_24H_LOW|LB15|H120,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,120
DRIVE_UP|RANGE_24H_LOW|LB15|H240,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,240
DRIVE_UP|RANGE_24H_LOW|LB15|H360,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,360
DRIVE_UP|RANGE_24H_LOW|LB15|H720,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,720
DRIVE_UP|RANGE_24H_LOW|LB15|H960,DRIVE_UP,RANGE_24H_LOW,RANGE_24H,LOW,15,960
DRIVE_UP|RANGE_24H_MID|LB15|H60,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,60
DRIVE_UP|RANGE_24H_MID|LB15|H120,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,120
DRIVE_UP|RANGE_24H_MID|LB15|H240,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,240
DRIVE_UP|RANGE_24H_MID|LB15|H360,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,360
DRIVE_UP|RANGE_24H_MID|LB15|H720,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,720
DRIVE_UP|RANGE_24H_MID|LB15|H960,DRIVE_UP,RANGE_24H_MID,RANGE_24H,MID,15,960
DRIVE_UP|RANGE_24H_HIGH|LB15|H60,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,60
DRIVE_UP|RANGE_24H_HIGH|LB15|H120,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,120
DRIVE_UP|RANGE_24H_HIGH|LB15|H240,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,240
DRIVE_UP|RANGE_24H_HIGH|LB15|H360,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,360
DRIVE_UP|RANGE_24H_HIGH|LB15|H720,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,720
DRIVE_UP|RANGE_24H_HIGH|LB15|H960,DRIVE_UP,RANGE_24H_HIGH,RANGE_24H,HIGH,15,960
DRIVE_UP|RANGE_72H_LOW|LB15|H60,DRIVE_UP,RANGE_72H_LOW,RANGE_72H,LOW,15,60
DRIVE_UP|RANGE_72H_LOW|LB15|H120,DRIVE_UP,RANGE_72H_LOW,RANGE_72H,LOW,15,120
