role,partition,snapshot_min,feature,winner_median,fail_median,gap_dev,gap_ext,gap_rv,central_replicated
CENTRAL,development,0,entry_R,0.09926624737945478,0.05811763794728107,0.0411486094321737,0.0391788140688138,0.07194827079990727,True
CENTRAL,development,0,remaining_E40_R,0.30073375262054525,0.34188236205271894,-0.04114860943217369,-0.039178814068813794,-0.07194827079990729,True
CENTRAL,development,0,risk_to_H_R,0.09926624737945478,0.05811763794728107,0.0411486094321737,0.0391788140688138,0.07194827079990727,True
CENTRAL,development,0,reward_to_Hrisk,3.0000000000000595,5.882717622080641,-2.8827176220805812,-3.4366798707190798,-3.599960844553076,True
CENTRAL,development,0,parent_loss_dollars,0.593686452174752,0.546904398389586,0.04678205378516598,-0.29145083636628044,-0.0708940804410585,False
CENTRAL,development,0,required_exit_R_to_episode_be,0.14645580651731216,0.08637677492835641,0.06007903158895575,0.054099380458853485,0.06318001994071434,True
CENTRAL,development,0,mfe_from_entry_R,0.3784316490407661,0.07250625526702315,0.30592539377374295,0.2806328198323502,0.3268940671253536,True
CENTRAL,development,0,mae_from_entry_R,0.06375257277271475,0.1604177989305981,-0.09666522615788335,-0.125930753118648,-0.06797108493524039,True
CENTRAL,development,5,close_R,0.16326343791767883,0.035589115297439355,0.12767432262023948,0.10895013864580659,0.12171179428949766,True
CENTRAL,development,5,running_mfe_from_entry_R,0.11676421637093305,0.04603238662160217,0.07073182974933089,0.026896341607451676,0.05458569302868922,True
CENTRAL,development,5,running_mae_from_entry_R,0.04454084483598652,0.06908246876031604,-0.02454162392432952,-0.02412394322137537,-0.022133934293580695,True
CENTRAL,development,5,closes_above_H,1.0,1.0,0.0,0.0,0.0,False
CENTRAL,development,5,closes_le_H,0.0,0.0,0.0,0.0,0.0,False
CENTRAL,development,10,close_R,0.19958671389547386,0.030939658087651256,0.1686470558078226,0.23048487158105813,0.26002693849375275,True
CENTRAL,development,10,running_mfe_from_entry_R,0.17432552306375126,0.05851906762256325,0.115806455441188,0.1412857094896456,0.13520003067496164,True
CENTRAL,development,10,running_mae_from_entry_R,0.04963021921533769,0.09552376188094025,-0.04589354266560256,-0.04072955855018182,-0.051612619969612306,True
CENTRAL,development,10,closes_above_H,2.0,2.0,0.0,1.0,0.5,False
CENTRAL,development,10,closes_le_H,0.0,0.0,0.0,-1.0,-0.5,False
CENTRAL,development,15,close_R,0.24969977675259558,0.018482719741555572,0.23121705701104,0.16376464818138456,0.1880019375898665,True
CENTRAL,development,15,running_mfe_from_entry_R,0.18492213070253127,0.06565199862002272,0.11927013208250856,0.1551531552307862,0.11942629515321487,True
CENTRAL,development,15,running_mae_from_entry_R,0.07318549332172025,0.12229184239065047,-0.049106349068930216,-0.049032509378190654,-0.04506965843731961,True
CENTRAL,development,15,closes_above_H,3.0,2.0,1.0,1.0,1.0,True
CENTRAL,development,15,closes_le_H,0.0,1.0,-1.0,-1.0,-1.0,True
CENTRAL,development,30,close_R,0.18862947630070703,0.06262652260207291,0.12600295369863412,,,False
CENTRAL,development,30,running_mfe_from_entry_R,0.19949621639700263,0.13143651412084223,0.0680597022761604,,,False
CENTRAL,development,30,running_mae_from_entry_R,0.09310766893175262,0.09606745120132884,-0.0029597822695762166,,,False
CENTRAL,development,30,closes_above_H,6.0,6.0,0.0,,,False
CENTRAL,development,30,closes_le_H,0.0,0.0,0.0,,,False
