partition,distance,stop_fraction,winner_n,pre_h2_survive_n,pre_h2_survive_rate,conservative_survive_n,conservative_survive_rate
external,0.05,0.7999999999999999,41,10,0.24390243902439024,10,0.24390243902439024
external,0.1,0.75,41,18,0.43902439024390244,18,0.43902439024390244
external,0.15,0.7,41,25,0.6097560975609756,25,0.6097560975609756
external,0.2,0.6499999999999999,41,32,0.7804878048780488,32,0.7804878048780488
external,0.25,0.6,41,35,0.8536585365853658,35,0.8536585365853658
external,0.3,0.55,41,37,0.9024390243902439,37,0.9024390243902439
external,0.35,0.5,41,38,0.926829268292683,38,0.926829268292683
external,0.4,0.44999999999999996,41,40,0.975609756097561,40,0.975609756097561
external,0.45,0.39999999999999997,41,40,0.975609756097561,40,0.975609756097561
external,0.5,0.35,41,40,0.975609756097561,40,0.975609756097561
external,0.55,0.29999999999999993,41,40,0.975609756097561,40,0.975609756097561
external,0.6,0.25,41,40,0.975609756097561,40,0.975609756097561
external,0.65,0.19999999999999996,41,40,0.975609756097561,40,0.975609756097561
external,0.7,0.15000000000000002,41,41,1.0,41,1.0
external,0.75,0.09999999999999998,41,41,1.0,41,1.0
external,0.8,0.04999999999999993,41,41,1.0,41,1.0
external,0.85,0.0,41,41,1.0,41,1.0
development,0.05,0.7999999999999999,53,5,0.09433962264150944,5,0.09433962264150944
development,0.1,0.75,53,13,0.24528301886792453,13,0.24528301886792453
development,0.15,0.7,53,25,0.4716981132075472,25,0.4716981132075472
development,0.2,0.6499999999999999,53,35,0.660377358490566,35,0.660377358490566
development,0.25,0.6,53,37,0.6981132075471698,37,0.6981132075471698
development,0.3,0.55,53,42,0.7924528301886793,42,0.7924528301886793
development,0.35,0.5,53,44,0.8301886792452831,44,0.8301886792452831
development,0.4,0.44999999999999996,53,47,0.8867924528301887,47,0.8867924528301887
development,0.45,0.39999999999999997,53,47,0.8867924528301887,47,0.8867924528301887
development,0.5,0.35,53,47,0.8867924528301887,47,0.8867924528301887
development,0.55,0.29999999999999993,53,48,0.9056603773584906,48,0.9056603773584906
development,0.6,0.25,53,51,0.9622641509433962,51,0.9622641509433962
development,0.65,0.19999999999999996,53,51,0.9622641509433962,51,0.9622641509433962
development,0.7,0.15000000000000002,53,51,0.9622641509433962,51,0.9622641509433962
development,0.75,0.09999999999999998,53,52,0.9811320754716981,51,0.9622641509433962
development,0.8,0.04999999999999993,53,52,0.9811320754716981,51,0.9622641509433962
development,0.85,0.0,53,53,1.0,52,0.9811320754716981
reference_validation,0.05,0.7999999999999999,27,3,0.1111111111111111,3,0.1111111111111111
reference_validation,0.1,0.75,27,5,0.18518518518518517,5,0.18518518518518517
reference_validation,0.15,0.7,27,7,0.25925925925925924,7,0.25925925925925924
reference_validation,0.2,0.6499999999999999,27,8,0.2962962962962963,8,0.2962962962962963
reference_validation,0.25,0.6,27,11,0.4074074074074074,11,0.4074074074074074
reference_validation,0.3,0.55,27,15,0.5555555555555556,15,0.5555555555555556
reference_validation,0.35,0.5,27,17,0.6296296296296297,17,0.6296296296296297
reference_validation,0.4,0.44999999999999996,27,20,0.7407407407407407,20,0.7407407407407407
reference_validation,0.45,0.39999999999999997,27,22,0.8148148148148148,22,0.8148148148148148
reference_validation,0.5,0.35,27,22,0.8148148148148148,22,0.8148148148148148
reference_validation,0.55,0.29999999999999993,27,22,0.8148148148148148,22,0.8148148148148148
reference_validation,0.6,0.25,27,22,0.8148148148148148,22,0.8148148148148148
reference_validation,0.65,0.19999999999999996,27,24,0.8888888888888888,24,0.8888888888888888
reference_validation,0.7,0.15000000000000002,27,24,0.8888888888888888,24,0.8888888888888888
reference_validation,0.75,0.09999999999999998,27,26,0.9629629629629629,26,0.9629629629629629
reference_validation,0.8,0.04999999999999993,27,27,1.0,27,1.0
reference_validation,0.85,0.0,27,27,1.0,27,1.0
august,0.05,0.7999999999999999,3,0,0.0,0,0.0
august,0.1,0.75,3,1,0.3333333333333333,1,0.3333333333333333
august,0.15,0.7,3,1,0.3333333333333333,1,0.3333333333333333
august,0.2,0.6499999999999999,3,2,0.6666666666666666,2,0.6666666666666666
august,0.25,0.6,3,3,1.0,3,1.0
august,0.3,0.55,3,3,1.0,3,1.0
august,0.35,0.5,3,3,1.0,3,1.0
august,0.4,0.44999999999999996,3,3,1.0,3,1.0
august,0.45,0.39999999999999997,3,3,1.0,3,1.0
august,0.5,0.35,3,3,1.0,3,1.0
august,0.55,0.29999999999999993,3,3,1.0,3,1.0
august,0.6,0.25,3,3,1.0,3,1.0
august,0.65,0.19999999999999996,3,3,1.0,3,1.0
august,0.7,0.15000000000000002,3,3,1.0,3,1.0
august,0.75,0.09999999999999998,3,3,1.0,3,1.0
august,0.8,0.04999999999999993,3,3,1.0,3,1.0
august,0.85,0.0,3,3,1.0,3,1.0
