exec_min,execution_utc,selected_filter,dev_promoted,dev_n,dev_retention,dev_wr,dev_pf,dev_expectancy,dev_net,replicated
300,05:00,,False,51,0.9807692307692307,0.6470588235294118,1.7663668084819826,0.9484359228592494,48.37023206582172,False
540,09:00,,False,88,0.9887640449438202,0.625,1.364501329185471,0.5803466361446987,51.070503980733484,False
600,10:00,,False,96,0.9896907216494846,0.6145833333333334,1.0666956766065954,0.11243346135383375,10.79361228996804,False
960,16:00,,False,50,1.0,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,False
