partition,origin,path_class,cohort_n,baseline_transition_rate,failed_reclaim_n,failed_reclaim_transition_rate,non_failed_reclaim_n,non_failed_reclaim_transition_rate,failed_reclaim_lift_vs_non,fr_final_4h_beyond_rate,fr_median_break_to_reclaim_min,fr_p25_break_to_reclaim_min,fr_p75_break_to_reclaim_min,fr_median_reclaim_to_rebreak_min,fr_p25_reclaim_to_rebreak_min,fr_p75_reclaim_to_rebreak_min,fr_median_confirmation_to_exit_hours,fr_p25_confirmation_to_exit_hours,fr_p75_confirmation_to_exit_hours,path_n,path_share,path_transition_rate
external,BULL,,106,0.42452830188679247,20.0,0.45,86.0,0.4186046511627907,0.03139534883720929,0.6,50.0,13.75,121.25,20.0,5.0,28.75,14.791666666666666,9.583333333333332,45.604166666666664,,,
external,BULL,NO_BREAK,106,,,,,,,,,,,,,,,,,58.0,0.5471698113207547,0.3620689655172414
external,BULL,BREAK_NO_RECLAIM,106,,,,,,,,,,,,,,,,,24.0,0.22641509433962265,0.5833333333333334
external,BULL,BREAK_RECLAIM_NO_REBREAK,106,,,,,,,,,,,,,,,,,4.0,0.03773584905660377,0.25
external,BULL,FAILED_RECLAIM,106,,,,,,,,,,,,,,,,,20.0,0.18867924528301888,0.45
external,BEAR,,66,0.5303030303030303,6.0,0.8333333333333334,60.0,0.5,0.33333333333333337,0.8333333333333334,22.5,5.0,96.25,15.0,5.0,28.75,6.75,5.604166666666666,7.583333333333333,,,
external,BEAR,NO_BREAK,66,,,,,,,,,,,,,,,,,46.0,0.696969696969697,0.45652173913043476
external,BEAR,BREAK_NO_RECLAIM,66,,,,,,,,,,,,,,,,,13.0,0.19696969696969696,0.6153846153846154
external,BEAR,BREAK_RECLAIM_NO_REBREAK,66,,,,,,,,,,,,,,,,,1.0,0.015151515151515152,1.0
external,BEAR,FAILED_RECLAIM,66,,,,,,,,,,,,,,,,,6.0,0.09090909090909091,0.8333333333333334
development,BULL,,96,0.6458333333333334,13.0,0.8461538461538461,83.0,0.6144578313253012,0.23169601482854496,0.6153846153846154,40.0,25.0,55.0,10.0,5.0,15.0,6.833333333333333,5.916666666666667,7.416666666666667,,,
development,BULL,NO_BREAK,96,,,,,,,,,,,,,,,,,59.0,0.6145833333333334,0.559322033898305
development,BULL,BREAK_NO_RECLAIM,96,,,,,,,,,,,,,,,,,17.0,0.17708333333333334,0.8823529411764706
development,BULL,BREAK_RECLAIM_NO_REBREAK,96,,,,,,,,,,,,,,,,,7.0,0.07291666666666667,0.42857142857142855
development,BULL,FAILED_RECLAIM,96,,,,,,,,,,,,,,,,,13.0,0.13541666666666666,0.8461538461538461
development,BEAR,,110,0.5363636363636364,20.0,0.55,90.0,0.5333333333333333,0.01666666666666672,0.55,12.5,5.0,68.75,15.0,5.0,36.25,7.583333333333334,6.020833333333333,10.166666666666666,,,
development,BEAR,NO_BREAK,110,,,,,,,,,,,,,,,,,71.0,0.6454545454545455,0.4788732394366197
development,BEAR,BREAK_NO_RECLAIM,110,,,,,,,,,,,,,,,,,11.0,0.1,0.7272727272727273
development,BEAR,BREAK_RECLAIM_NO_REBREAK,110,,,,,,,,,,,,,,,,,8.0,0.07272727272727272,0.75
development,BEAR,FAILED_RECLAIM,110,,,,,,,,,,,,,,,,,20.0,0.18181818181818182,0.55
reference_validation,BULL,,74,0.6621621621621622,18.0,0.7777777777777778,56.0,0.625,0.1527777777777778,0.6666666666666666,10.0,5.0,45.0,10.0,5.0,15.0,6.958333333333333,6.041666666666667,9.520833333333334,,,
reference_validation,BULL,NO_BREAK,74,,,,,,,,,,,,,,,,,40.0,0.5405405405405406,0.6
reference_validation,BULL,BREAK_NO_RECLAIM,74,,,,,,,,,,,,,,,,,13.0,0.17567567567567569,0.7692307692307693
reference_validation,BULL,BREAK_RECLAIM_NO_REBREAK,74,,,,,,,,,,,,,,,,,3.0,0.04054054054054054,0.3333333333333333
reference_validation,BULL,FAILED_RECLAIM,74,,,,,,,,,,,,,,,,,18.0,0.24324324324324326,0.7777777777777778
reference_validation,BEAR,,65,0.7076923076923077,8.0,0.75,57.0,0.7017543859649122,0.04824561403508776,0.875,60.0,23.75,86.25,7.5,5.0,10.0,8.166666666666668,6.041666666666667,10.729166666666666,,,
reference_validation,BEAR,NO_BREAK,65,,,,,,,,,,,,,,,,,47.0,0.7230769230769231,0.6808510638297872
reference_validation,BEAR,BREAK_NO_RECLAIM,65,,,,,,,,,,,,,,,,,7.0,0.1076923076923077,0.8571428571428571
reference_validation,BEAR,BREAK_RECLAIM_NO_REBREAK,65,,,,,,,,,,,,,,,,,3.0,0.046153846153846156,0.6666666666666666
reference_validation,BEAR,FAILED_RECLAIM,65,,,,,,,,,,,,,,,,,8.0,0.12307692307692308,0.75
POOLED_OOS,BULL,,180,0.5222222222222223,38.0,0.6052631578947368,142.0,0.5,0.10526315789473684,0.631578947368421,22.5,5.0,96.25,12.5,5.0,25.0,9.75,6.770833333333333,15.666666666666666,,,
POOLED_OOS,BULL,NO_BREAK,180,,,,,,,,,,,,,,,,,98.0,0.5444444444444444,0.45918367346938777
POOLED_OOS,BULL,BREAK_NO_RECLAIM,180,,,,,,,,,,,,,,,,,37.0,0.20555555555555555,0.6486486486486487
