signals,h2,opposite,ambiguous,no_h2,h2_hit_rate,resolved_h2_wr,median_min_entry_to_h2,symbol,source,side,partition,gate
20,19,0,0,1,0.95,1.0,20.0,BTCUSDT,ALT_0330,LONG,external,
30,28,1,0,1,0.9333333333333333,0.9655172413793104,7.5,BTCUSDT,ALT_0330,LONG,development,
12,12,0,0,0,1.0,1.0,20.0,BTCUSDT,ALT_0330,LONG,reference_validation,
0,0,0,0,0,,,,BTCUSDT,ALT_0330,LONG,august,
62,59,1,0,2,0.9516129032258065,0.9833333333333333,15.0,BTCUSDT,ALT_0330,LONG,POOLED_MAJOR,
18,16,1,0,1,0.8888888888888888,0.9411764705882353,5.0,BTCUSDT,RAW_0530,LONG,external,
36,30,3,0,3,0.8333333333333334,0.9090909090909091,7.5,BTCUSDT,RAW_0530,LONG,development,
12,11,0,1,0,0.9166666666666666,1.0,25.0,BTCUSDT,RAW_0530,LONG,reference_validation,
1,1,0,0,0,1.0,1.0,5.0,BTCUSDT,RAW_0530,LONG,august,
66,57,4,1,4,0.8636363636363636,0.9344262295081968,10.0,BTCUSDT,RAW_0530,LONG,POOLED_MAJOR,
27,24,0,0,3,0.8888888888888888,1.0,22.5,BTCUSDT,LONDON,LONG,external,
30,23,4,0,3,0.7666666666666667,0.8518518518518519,5.0,BTCUSDT,LONDON,LONG,development,
11,11,0,0,0,1.0,1.0,10.0,BTCUSDT,LONDON,LONG,reference_validation,
1,1,0,0,0,1.0,1.0,10.0,BTCUSDT,LONDON,LONG,august,
68,58,4,0,6,0.8529411764705882,0.9354838709677419,10.0,BTCUSDT,LONDON,LONG,POOLED_MAJOR,
16,13,0,0,3,0.8125,1.0,25.0,BTCUSDT,RAW_2330,LONG,external,
17,14,1,0,2,0.8235294117647058,0.9333333333333333,27.5,BTCUSDT,RAW_2330,LONG,development,
14,13,0,0,1,0.9285714285714286,1.0,10.0,BTCUSDT,RAW_2330,LONG,reference_validation,
0,0,0,0,0,,,,BTCUSDT,RAW_2330,LONG,august,
47,40,1,0,6,0.851063829787234,0.975609756097561,20.0,BTCUSDT,RAW_2330,LONG,POOLED_MAJOR,
27,22,0,0,5,0.8148148148148148,1.0,10.0,BTCUSDT,SHORT_2000,SHORT,external,
19,16,1,0,2,0.8421052631578947,0.9411764705882353,12.5,BTCUSDT,SHORT_2000,SHORT,development,
10,9,0,0,1,0.9,1.0,10.0,BTCUSDT,SHORT_2000,SHORT,reference_validation,
1,1,0,0,0,1.0,1.0,20.0,BTCUSDT,SHORT_2000,SHORT,august,
56,47,1,0,8,0.8392857142857143,0.9791666666666666,10.0,BTCUSDT,SHORT_2000,SHORT,POOLED_MAJOR,
13,11,1,0,1,0.8461538461538461,0.9166666666666666,20.0,BNBUSDT,ALT_0330,LONG,external,
29,26,1,0,2,0.896551724137931,0.9629629629629629,42.5,BNBUSDT,ALT_0330,LONG,development,
14,14,0,0,0,1.0,1.0,40.0,BNBUSDT,ALT_0330,LONG,reference_validation,
0,0,0,0,0,,,,BNBUSDT,ALT_0330,LONG,august,
56,51,2,0,3,0.9107142857142857,0.9622641509433962,30.0,BNBUSDT,ALT_0330,LONG,POOLED_MAJOR,PASS
14,10,3,0,1,0.7142857142857143,0.7692307692307693,7.5,BNBUSDT,RAW_0530,LONG,external,
29,26,2,0,1,0.896551724137931,0.9285714285714286,5.0,BNBUSDT,RAW_0530,LONG,development,
12,12,0,0,0,1.0,1.0,0.0,BNBUSDT,RAW_0530,LONG,reference_validation,
0,0,0,0,0,,,,BNBUSDT,RAW_0530,LONG,august,
55,48,5,0,2,0.8727272727272727,0.9056603773584906,5.0,BNBUSDT,RAW_0530,LONG,POOLED_MAJOR,PASS
27,14,2,0,11,0.5185185185185185,0.875,17.5,BNBUSDT,LONDON,LONG,external,
20,20,0,0,0,1.0,1.0,7.5,BNBUSDT,LONDON,LONG,development,
13,12,0,0,1,0.9230769230769231,1.0,2.5,BNBUSDT,LONDON,LONG,reference_validation,
2,2,0,0,0,1.0,1.0,20.0,BNBUSDT,LONDON,LONG,august,
60,46,2,0,12,0.7666666666666667,0.9583333333333334,10.0,BNBUSDT,LONDON,LONG,POOLED_MAJOR,FAIL
15,10,2,0,3,0.6666666666666666,0.8333333333333334,15.0,BNBUSDT,RAW_2330,LONG,external,
20,16,1,0,3,0.8,0.9411764705882353,37.5,BNBUSDT,RAW_2330,LONG,development,
7,5,0,0,2,0.7142857142857143,1.0,20.0,BNBUSDT,RAW_2330,LONG,reference_validation,
0,0,0,0,0,,,,BNBUSDT,RAW_2330,LONG,august,
42,31,3,0,8,0.7380952380952381,0.9117647058823529,20.0,BNBUSDT,RAW_2330,LONG,POOLED_MAJOR,FAIL
20,17,1,0,2,0.85,0.9444444444444444,15.0,BNBUSDT,SHORT_2000,SHORT,external,
28,25,1,0,2,0.8928571428571429,0.9615384615384616,20.0,BNBUSDT,SHORT_2000,SHORT,development,
16,13,2,0,1,0.8125,0.8666666666666667,5.0,BNBUSDT,SHORT_2000,SHORT,reference_validation,
1,1,0,0,0,1.0,1.0,70.0,BNBUSDT,SHORT_2000,SHORT,august,
64,55,4,0,5,0.859375,0.9322033898305084,15.0,BNBUSDT,SHORT_2000,SHORT,POOLED_MAJOR,PASS
