rule,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F35,E20,session_end,baseline_net_pnl_usd,baseline_exit_reason,baseline_exit_px,e20_reached,e20_touch_bar_start,e20_floor_effective_start,activation_bar_close,activation_close_below_e20,latest_confirmed_pivot,floor_updates,final_active_floor,max_active_floor,exit_floor_kind,exit_bar_start,exit_ts,exit_px,hybrid_exit_reason,gross_return,hybrid_net_pnl_usd,hold_minutes,session_peak_high_after_e20,session_peak_extension_r,realized_exit_extension_r,giveback_from_peak_r,capture_ratio,exit_at_or_above_e20,baseline_win,hybrid_win,baseline_win_preserved,regime_at_signal,regime_bar_start,regime_available_ts,alignment,regime_at_entry,state_changed_signal_to_entry
SAME_BAR_REJECTION,august,2026-08-20,2026-08-20 15:05:00+00:00,2026-08-20 15:20:00+00:00,72208.9,72487.5,69771.8,2715.699999999997,70722.295,73030.64,2026-08-20 20:00:00+00:00,2.6529477668266304,TIME_EXIT_SESSION_END,72649.8,False,,,,False,72547.7,0,,,,2026-08-20 20:00:00+00:00,2026-08-20 20:00:00+00:00,72649.8,TIME_EXIT_SESSION_END,0.0061058955336532,2.6529477668266304,280.0,,,,,,False,True,True,True,BULL,2026-08-20 08:00:00+00:00,2026-08-20 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-01-28,2022-01-28 13:40:00+00:00,2022-01-28 13:55:00+00:00,36791.75,36884.88,36149.02,735.8600000000006,36406.571,37032.052,2022-01-28 20:00:00+00:00,2.8657049474406064,TP_E20,37032.052,True,2022-01-28 14:05:00+00:00,2022-01-28 14:10:00+00:00,36987.67,True,,0,37032.052,37032.052,E20,2022-01-28 14:10:00+00:00,2022-01-28 14:10:00+00:00,36985.0,LOCK_FLOOR_OPEN_EXIT,0.005252536234346,2.2262681171730363,15.0,37359.0,0.6443073410703153,0.1360584893865715,0.5082488516837438,0.21117016788999,False,True,True,True,SIDEWAYS,2022-01-28 08:00:00+00:00,2022-01-28 12:00:00+00:00,SIDEWAYS,SIDEWAYS,False
SAME_BAR_REJECTION,development,2022-02-01,2022-02-01 17:00:00+00:00,2022-02-01 17:15:00+00:00,38930.17,39100.0,37969.0,1131.0,38364.85,39326.2,2022-02-01 20:00:00+00:00,-7.684324728096426,CLOSE_INVALIDATION_F35,38363.01,False,,,,False,38332.25,0,,,,2022-02-01 19:50:00+00:00,2022-02-01 19:55:00+00:00,38363.01,PRE_E20_CLOSE_INVALIDATION_F35,-0.0145686494561928,-7.684324728096426,160.0,,,,,,False,False,False,True,BULL,2022-02-01 12:00:00+00:00,2022-02-01 16:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-03-16,2022-03-16 14:05:00+00:00,2022-03-16 14:15:00+00:00,40676.0,40760.0,39538.0,1222.0,39965.7,41004.4,2022-03-16 20:00:00+00:00,3.636778444291511,TP_E20,41004.4,True,2022-03-16 14:15:00+00:00,2022-03-16 14:20:00+00:00,40861.3,True,,0,41004.4,41004.4,E20,2022-03-16 14:20:00+00:00,2022-03-16 14:20:00+00:00,40861.3,LOCK_FLOOR_OPEN_EXIT,0.0045555118497395,1.8777559248697844,5.0,41188.0,0.3502454991816694,0.0828968903437012,0.2673486088379682,0.236682242990661,False,True,True,True,BULL,2022-03-16 08:00:00+00:00,2022-03-16 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-04-18,2022-04-18 13:35:00+00:00,2022-04-18 14:05:00+00:00,39402.7,39489.0,38780.0,709.0,39028.15,39630.8,2022-04-18 20:00:00+00:00,2.494471698639989,TP_E20,39630.8,True,2022-04-18 17:05:00+00:00,2022-04-18 17:10:00+00:00,39767.5,False,40557.9,3,40557.9,40557.9,STRUCTURAL,2022-04-18 19:05:00+00:00,2022-04-18 19:05:00+00:00,40557.9,LOCK_FLOOR_STOP,0.0293177878673289,14.258893933664485,300.0,41310.0,2.568406205923836,1.5076163610719344,1.0607898448519018,0.5869851729818789,True,True,True,True,BEAR,2022-04-18 08:00:00+00:00,2022-04-18 12:00:00+00:00,COUNTER,BEAR,False
SAME_BAR_REJECTION,development,2022-07-06,2022-07-06 13:35:00+00:00,2022-07-06 14:10:00+00:00,20254.1,20295.0,19950.0,345.0,20070.75,20364.0,2022-07-06 20:00:00+00:00,2.3130309418833543,TP_E20,20364.0,True,2022-07-06 17:00:00+00:00,2022-07-06 17:05:00+00:00,20327.0,True,20132.0,0,20364.0,20364.0,E20,2022-07-06 17:05:00+00:00,2022-07-06 17:05:00+00:00,20327.1,LOCK_FLOOR_OPEN_EXIT,0.0036042085306184,1.4021042653092457,175.0,20477.0,0.527536231884058,0.0930434782608653,0.4344927536231926,0.1763736263736184,False,True,True,True,BULL,2022-07-06 08:00:00+00:00,2022-07-06 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-07-08,2022-07-08 14:50:00+00:00,2022-07-08 15:00:00+00:00,21755.0,21814.1,21175.2,638.8999999999978,21398.815,21941.88,2022-07-08 20:00:00+00:00,3.8951045736611127,TP_E20,21941.88,True,2022-07-08 15:10:00+00:00,2022-07-08 15:15:00+00:00,21927.0,True,21690.0,0,21941.88,21941.88,E20,2022-07-08 15:15:00+00:00,2022-07-08 15:15:00+00:00,21926.9,LOCK_FLOOR_OPEN_EXIT,0.0079016318087796,3.5508159043898373,15.0,22127.7,0.4908436375019616,0.1765534512443313,0.3142901862576303,0.3596938775510271,False,True,True,True,BULL,2022-07-08 08:00:00+00:00,2022-07-08 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-07-22,2022-07-22 13:55:00+00:00,2022-07-22 14:50:00+00:00,23599.7,23690.0,23060.0,630.0,23280.5,23816.0,2022-07-22 20:00:00+00:00,-7.711533621190137,CLOSE_INVALIDATION_F35,23254.6,False,,,,False,23217.0,0,,,,2022-07-22 15:40:00+00:00,2022-07-22 15:45:00+00:00,23254.6,PRE_E20_CLOSE_INVALIDATION_F35,-0.0146230672423802,-7.711533621190137,55.0,,,,,,False,False,False,True,BULL,2022-07-22 08:00:00+00:00,2022-07-22 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-07-28,2022-07-28 13:35:00+00:00,2022-07-28 15:00:00+00:00,23121.7,23210.2,22583.1,627.1000000000022,22802.585,23335.620000000003,2022-07-28 20:00:00+00:00,4.225957433925798,TP_E20,23335.620000000003,True,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,23374.8,False,23899.9,6,23899.9,23899.9,STRUCTURAL,2022-07-28 18:05:00+00:00,2022-07-28 18:05:00+00:00,23899.9,LOCK_FLOOR_STOP,0.0336566947932028,16.428347396601442,185.0,24094.5,1.4101419231382497,1.0998245893796816,0.3103173337585678,0.7799389347506517,True,True,True,True,BULL,2022-07-28 08:00:00+00:00,2022-07-28 12:00:00+00:00,ALIGNED,BULL,False
SAME_BAR_REJECTION,development,2022-09-02,2022-09-02 14:40:00+00:00,2022-09-02 15:00:00+00:00,20354.1,20396.0,19978.0,418.0,20124.3,20479.6,2022-09-02 20:00:00+00:00,-6.128575569541206,CLOSE_INVALIDATION_F35,20120.9,False,,,,False,20081.5,0,,,,2022-09-02 16:55:00+00:00,2022-09-02 17:00:00+00:00,20120.9,PRE_E20_CLOSE_INVALIDATION_F35,-0.0114571511390824,-6.128575569541206,120.0,,,,,,False,False,False,True,BEAR,2022-09-02 08:00:00+00:00,2022-09-02 12:00:00+00:00,COUNTER,BEAR,False
