partition,side,regime,alignment,k1_n,target_break_rate,clean_rate,fill_given_clean,fills,h2_n,h2_given_fill,accept_given_h2,e20_given_h2,state_change_rate_filled
external,LONG,BULL,ALIGNED,53,0.9245283018867925,0.5283018867924528,0.75,21,19,0.9047619047619048,0.9473684210526315,0.7894736842105263,0.0
external,LONG,BEAR,COUNTER,23,0.8260869565217391,0.6956521739130435,0.75,12,10,0.8333333333333334,0.9,0.7,0.0
external,LONG,SIDEWAYS,SIDEWAYS,25,0.88,0.76,0.6842105263157895,13,12,0.9230769230769231,1.0,0.8333333333333334,0.0
external,SHORT,BULL,COUNTER,47,0.7021276595744681,0.6382978723404256,0.7333333333333333,22,14,0.6363636363636364,0.7857142857142857,0.7142857142857143,0.045454545454545456
external,SHORT,BEAR,ALIGNED,18,0.6111111111111112,0.8333333333333334,0.6,9,7,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.0
external,SHORT,SIDEWAYS,SIDEWAYS,29,0.8620689655172413,0.7931034482758621,0.8260869565217391,19,16,0.8421052631578947,0.9375,0.8125,0.05263157894736842
development,LONG,BULL,ALIGNED,86,0.7093023255813954,0.686046511627907,0.559322033898305,33,23,0.696969696969697,0.8260869565217391,0.8260869565217391,0.0
development,LONG,BEAR,COUNTER,66,0.7727272727272727,0.7424242424242424,0.673469387755102,33,27,0.8181818181818182,0.9629629629629629,0.8518518518518519,0.0
development,LONG,SIDEWAYS,SIDEWAYS,12,0.5833333333333334,0.9166666666666666,0.5454545454545454,6,3,0.5,1.0,1.0,0.16666666666666666
development,SHORT,BULL,COUNTER,84,0.7738095238095238,0.6785714285714286,0.543859649122807,31,23,0.7419354838709677,0.8695652173913043,0.8695652173913043,0.0
development,SHORT,BEAR,ALIGNED,87,0.7701149425287356,0.735632183908046,0.59375,38,29,0.7631578947368421,0.8620689655172413,0.8275862068965517,0.0
development,SHORT,SIDEWAYS,SIDEWAYS,21,0.7619047619047619,0.6666666666666666,0.7142857142857143,10,7,0.7,0.8571428571428571,0.7142857142857143,0.0
reference_validation,LONG,BULL,ALIGNED,46,0.9130434782608695,0.5869565217391305,0.5185185185185185,14,13,0.9285714285714286,1.0,1.0,0.0
reference_validation,LONG,BEAR,COUNTER,24,0.6666666666666666,0.7083333333333334,0.5882352941176471,10,7,0.7,1.0,1.0,0.0
reference_validation,LONG,SIDEWAYS,SIDEWAYS,12,1.0,0.75,0.7777777777777778,7,7,1.0,1.0,1.0,0.0
reference_validation,SHORT,BULL,COUNTER,39,0.7435897435897436,0.6410256410256411,0.72,18,12,0.6666666666666666,0.9166666666666666,0.75,0.0
reference_validation,SHORT,BEAR,ALIGNED,35,0.7428571428571429,0.6,0.5714285714285714,12,9,0.75,0.8888888888888888,0.8888888888888888,0.0
reference_validation,SHORT,SIDEWAYS,SIDEWAYS,18,0.7222222222222222,0.7222222222222222,0.3076923076923077,4,3,0.75,1.0,1.0,0.0
august,LONG,BULL,ALIGNED,3,1.0,1.0,1.0,3,3,1.0,1.0,0.6666666666666666,0.0
august,LONG,BEAR,COUNTER,1,1.0,0.0,,0,0,,,,
august,LONG,SIDEWAYS,SIDEWAYS,0,,,,0,0,,,,
august,SHORT,BULL,COUNTER,1,0.0,1.0,0.0,0,0,,,,
august,SHORT,BEAR,ALIGNED,1,0.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0
august,SHORT,SIDEWAYS,SIDEWAYS,0,,,,0,0,,,,
POOLED_MAJOR,LONG,BULL,ALIGNED,185,0.8216216216216217,0.6162162162162163,0.5964912280701754,68,55,0.8088235294117647,0.9090909090909091,0.8545454545454545,0.0
POOLED_MAJOR,LONG,BEAR,COUNTER,113,0.7610619469026548,0.7256637168141593,0.6707317073170732,55,44,0.8,0.9545454545454546,0.8409090909090909,0.0
POOLED_MAJOR,LONG,SIDEWAYS,SIDEWAYS,49,0.8367346938775511,0.7959183673469388,0.6666666666666666,26,22,0.8461538461538461,1.0,0.9090909090909091,0.038461538461538464
POOLED_MAJOR,SHORT,BULL,COUNTER,170,0.7470588235294118,0.6588235294117647,0.6339285714285714,71,49,0.6901408450704225,0.8571428571428571,0.7959183673469388,0.014084507042253521
POOLED_MAJOR,SHORT,BEAR,ALIGNED,140,0.7428571428571429,0.7142857142857143,0.59,59,45,0.7627118644067796,0.8666666666666667,0.8444444444444444,0.0
POOLED_MAJOR,SHORT,SIDEWAYS,SIDEWAYS,68,0.7941176470588235,0.7352941176470589,0.66,33,26,0.7878787878787878,0.9230769230769231,0.8076923076923077,0.030303030303030304
