lookback_min,hold_min,T70_supportive,T80_supportive,T90_supportive,supportive_thresholds,T80_strict_temporal,median_expectancy,median_pf,threshold_stable
60,120,False,False,False,0,False,-0.6458727915274959,0.7590888267972373,False
60,240,False,False,False,0,False,-0.8451473141298153,0.7481354615539619,False
60,360,False,False,False,0,False,-1.5139468558148552,0.6447754169274196,False
60,480,False,False,False,0,False,-0.7251820640562354,0.8306151761098037,False
120,120,False,False,True,1,False,0.5819742814352629,1.2655307412190708,False
120,240,False,False,False,0,False,0.04271921405581487,1.0152655597150877,False
120,360,False,False,False,0,False,-0.562831160210968,0.8602738716437482,False
120,480,False,False,False,0,False,0.15844752627814915,1.0371765046126986,False
180,120,False,False,True,1,False,0.7172573105390825,1.3575313244695268,False
180,240,False,True,True,2,True,0.9464144149529734,1.4006645346009878,True
180,360,False,False,False,0,False,-0.24650316965344385,0.9294408365936455,False
180,480,False,False,False,0,False,-0.41625588913924505,0.898222647961571,False
240,120,False,True,True,2,False,0.8813488042839341,1.4697598311174387,True
240,240,False,False,False,0,False,0.5007686722603762,1.1815054272434995,False
240,360,False,False,False,0,False,-0.5368183916128334,0.8589382759754574,False
240,480,False,False,False,0,False,-0.5708841705620561,0.86464872925582,False
360,120,False,False,True,1,False,0.5264610686593855,1.248635150660546,False
360,240,False,False,False,0,False,0.48155879111611716,1.161762802469755,False
360,360,False,False,False,0,False,-1.4429300840444814,0.702190238400879,False
360,480,False,False,False,0,False,-1.2376429212440745,0.7675623746000452,False
