exec_min,execution_start,reference_start,H_regime,L_regime,range_pct,trailing20_median,classified,vol_regime
300,2020-01-01 05:00:00+00:00,2020-01-01 00:00:00+00:00,130.97,128.62,0.018105474016718626,,False,UNCLASSIFIED
300,2020-01-02 05:00:00+00:00,2020-01-02 00:00:00+00:00,130.75,128.67,0.016035772107008038,,False,UNCLASSIFIED
300,2020-01-03 05:00:00+00:00,2020-01-03 00:00:00+00:00,130.18,125.78,0.03438037193311459,,False,UNCLASSIFIED
300,2020-01-06 05:00:00+00:00,2020-01-06 00:00:00+00:00,139.68,134.82,0.03540983606557387,,False,UNCLASSIFIED
300,2020-01-07 05:00:00+00:00,2020-01-07 00:00:00+00:00,145.25,142.06,0.022205979603912136,,False,UNCLASSIFIED
300,2020-01-08 05:00:00+00:00,2020-01-08 00:00:00+00:00,147.94,142.76,0.03563811489508089,,False,UNCLASSIFIED
300,2020-01-09 05:00:00+00:00,2020-01-09 00:00:00+00:00,141.52,139.46,0.014662965335611091,,False,UNCLASSIFIED
300,2020-01-10 05:00:00+00:00,2020-01-10 00:00:00+00:00,137.99,136.05,0.014158517004816797,,False,UNCLASSIFIED
300,2020-01-13 05:00:00+00:00,2020-01-13 00:00:00+00:00,147.0,142.53,0.030877629261216448,,False,UNCLASSIFIED
300,2020-01-14 05:00:00+00:00,2020-01-14 00:00:00+00:00,150.78,143.49,0.04954633499847074,,False,UNCLASSIFIED
300,2020-01-15 05:00:00+00:00,2020-01-15 00:00:00+00:00,172.18,160.42,0.07071557426337954,,False,UNCLASSIFIED
300,2020-01-16 05:00:00+00:00,2020-01-16 00:00:00+00:00,167.63,158.43,0.05643133165675022,,False,UNCLASSIFIED
300,2020-01-17 05:00:00+00:00,2020-01-17 00:00:00+00:00,167.49,162.27,0.0316593886462882,,False,UNCLASSIFIED
300,2020-01-20 05:00:00+00:00,2020-01-20 00:00:00+00:00,167.9,164.5,0.020457280385078255,,False,UNCLASSIFIED
300,2020-01-21 05:00:00+00:00,2020-01-21 00:00:00+00:00,168.9,165.73,0.01894629889728964,,False,UNCLASSIFIED
300,2020-01-22 05:00:00+00:00,2020-01-22 00:00:00+00:00,170.18,167.99,0.012952065529171705,,False,UNCLASSIFIED
300,2020-01-23 05:00:00+00:00,2020-01-23 00:00:00+00:00,168.38,164.36,0.024163010158081276,,False,UNCLASSIFIED
300,2020-01-24 05:00:00+00:00,2020-01-24 00:00:00+00:00,163.65,158.0,0.03513135395616357,,False,UNCLASSIFIED
300,2020-01-27 05:00:00+00:00,2020-01-27 00:00:00+00:00,169.94,166.57,0.02002912246292832,,False,UNCLASSIFIED
300,2020-01-28 05:00:00+00:00,2020-01-28 00:00:00+00:00,174.34,170.22,0.023914557696772722,,False,UNCLASSIFIED
300,2020-01-29 05:00:00+00:00,2020-01-29 00:00:00+00:00,177.97,175.53,0.013804809052333791,0.024038783927426997,True,LOW_VOL
300,2020-01-30 05:00:00+00:00,2020-01-30 00:00:00+00:00,174.8,171.07,0.021568797525081784,0.024038783927426997,True,LOW_VOL
300,2020-01-31 05:00:00+00:00,2020-01-31 00:00:00+00:00,186.34,182.02,0.02345531545227491,0.024038783927426997,True,LOW_VOL
300,2020-02-03 05:00:00+00:00,2020-02-03 00:00:00+00:00,195.45,187.32,0.04247981816756797,0.023684936574523814,True,HIGH_VOL
300,2020-02-04 05:00:00+00:00,2020-02-04 00:00:00+00:00,191.76,187.04,0.0249208025343189,0.023684936574523814,True,HIGH_VOL
300,2020-02-05 05:00:00+00:00,2020-02-05 00:00:00+00:00,190.49,188.26,0.011775577557755872,0.024038783927426997,True,LOW_VOL
300,2020-02-06 05:00:00+00:00,2020-02-06 00:00:00+00:00,207.0,201.28,0.028019986283922795,0.023684936574523814,True,HIGH_VOL
300,2020-02-07 05:00:00+00:00,2020-02-07 00:00:00+00:00,221.27,213.3,0.036679936488943084,0.024038783927426997,True,HIGH_VOL
300,2020-02-10 05:00:00+00:00,2020-02-10 00:00:00+00:00,229.96,222.25,0.03409920169832603,0.024541906346200088,True,HIGH_VOL
300,2020-02-11 05:00:00+00:00,2020-02-11 00:00:00+00:00,223.91,218.68,0.023633611242911,0.024541906346200088,True,LOW_VOL
300,2020-02-12 05:00:00+00:00,2020-02-12 00:00:00+00:00,249.29,237.17,0.049829379599555995,0.024038783927426997,True,HIGH_VOL
300,2020-02-13 05:00:00+00:00,2020-02-13 00:00:00+00:00,275.68,265.33,0.03826176965305641,0.024038783927426997,True,HIGH_VOL
300,2020-02-14 05:00:00+00:00,2020-02-14 00:00:00+00:00,270.57,264.38,0.02314234975231329,0.024038783927426997,True,LOW_VOL
300,2020-02-17 05:00:00+00:00,2020-02-17 00:00:00+00:00,261.71,242.32,0.07693986469059376,0.02377408446984186,True,HIGH_VOL
300,2020-02-18 05:00:00+00:00,2020-02-18 00:00:00+00:00,272.0,263.42,0.03204960591685026,0.024038783927426997,True,HIGH_VOL
300,2020-02-19 05:00:00+00:00,2020-02-19 00:00:00+00:00,283.17,277.79,0.019181403308613787,0.024541906346200088,True,LOW_VOL
300,2020-02-20 05:00:00+00:00,2020-02-20 00:00:00+00:00,264.32,257.1,0.027693605922289016,0.024541906346200088,True,HIGH_VOL
300,2020-02-21 05:00:00+00:00,2020-02-21 00:00:00+00:00,264.19,253.89,0.03976219888820264,0.02630720422830396,True,HIGH_VOL
300,2020-02-24 05:00:00+00:00,2020-02-24 00:00:00+00:00,277.26,265.66,0.04273189420172388,0.02630720422830396,True,HIGH_VOL
300,2020-02-25 05:00:00+00:00,2020-02-25 00:00:00+00:00,266.4,261.03,0.02036289175814802,0.027856796103105905,True,LOW_VOL
300,2020-02-26 05:00:00+00:00,2020-02-26 00:00:00+00:00,250.54,236.63,0.05710532257733439,0.027856796103105905,True,HIGH_VOL
300,2020-02-27 05:00:00+00:00,2020-02-27 00:00:00+00:00,224.15,210.01,0.06513727658006273,0.030034796100386528,True,HIGH_VOL
300,2020-02-28 05:00:00+00:00,2020-02-28 00:00:00+00:00,234.93,227.0,0.03433420648150155,0.033074403807588144,True,HIGH_VOL
300,2020-03-02 05:00:00+00:00,2020-03-02 00:00:00+00:00,222.46,216.24,0.028356507864144054,0.03421670408991379,True,LOW_VOL
300,2020-03-03 05:00:00+00:00,2020-03-03 00:00:00+00:00,232.3,227.69,0.020043913998130453,0.033074403807588144,True,LOW_VOL
300,2020-03-04 05:00:00+00:00,2020-03-04 00:00:00+00:00,229.0,222.7,0.02789462032322343,0.033074403807588144,True,LOW_VOL
