family,lookback_min,q33_2022,q67_2022,n_cal_2022
TREND,15,-0.0009636929753567374,0.001177417638664006,365
TREND,30,-0.0016895657516715254,0.0018778554649171069,365
TREND,60,-0.0025818458474963966,0.00276002232711899,365
TREND,120,-0.004005129049561185,0.004166081718100326,365
TREND,240,-0.0068197433653765715,0.004935656349708569,365
TREND,360,-0.006137233654877172,0.005081489679701197,365
EFFICIENCY,15,0.32500624708375025,0.7872020313880987,365
EFFICIENCY,30,0.24169269633592078,0.4941264459918572,365
EFFICIENCY,60,0.15897794060769715,0.3652780594565256,365
EFFICIENCY,120,0.10277519549299599,0.24517291877886346,365
EFFICIENCY,240,0.0765109686831285,0.17435780602652323,365
EFFICIENCY,360,0.0536743147069189,0.1277631586527567,365
RV,15,0.0008458689776619744,0.0018529312324974526,365
RV,30,0.001328314829890319,0.0022018042100301347,365
RV,60,0.0016157852752483562,0.0025725915815258907,365
RV,120,0.0019071235524795729,0.0028566161155369604,365
RV,240,0.0019726800659777945,0.0029373934266974417,365
RV,360,0.0018730086941846262,0.002707815951387624,365
RANGE_POS,15,0.3460704478825597,0.6303401777505157,365
RANGE_POS,30,0.3698363217067255,0.6678364622383721,365
RANGE_POS,60,0.36530843185865153,0.6690108733560023,365
RANGE_POS,120,0.3777681337699289,0.6746255578027051,365
RANGE_POS,240,0.3821301557675795,0.6639525928694618,365
RANGE_POS,360,0.3805788182761093,0.6593898928431802,365
DRIVE,15,-0.3180031446540642,0.3399079552925858,365
DRIVE,30,-0.18480269699050567,0.2639185839831305,365
DRIVE,60,-0.1289836170764278,0.17190528576666755,365
DRIVE,120,-0.09059868965230444,0.1217051922497657,365
DRIVE,240,-0.07997789706237071,0.0701553594642095,365
DRIVE,360,-0.054697428713931684,0.05281361819944601,365
