window,lookback_min,hold_min,n,wr,net,exp,pf,dd,max_loss_streak,pre_ret_60_median,pre_ret_240_median,rv_60_median,rv_240_median,atr_pct_60_median,atr_pct_240_median,trend_eff_240_median,disp_60_median,disp_240_median,fwd_ret_60_median,fwd_ret_120_median
2026-01,120,240,5,1.0,9.926082094077147,1.9852164188154293,,0.0,0,-0.006547812212666981,-0.009482454334206136,0.008026939605940267,0.030698362792634812,0.005520112013697252,0.006245533739621985,0.09067405724058052,0.7315770436857535,0.4304837523922885,0.0003771729041943672,0.0013164073911098306
2026-01,180,240,4,1.0,3.07491766803986,0.768729417009965,,0.0,0,-0.0019185076698607362,-0.0127610734548258,0.005448777657370448,0.015084794590461874,0.002671821591985037,0.003345182004202348,0.1649733853185525,0.6606336083585286,0.8657923534223098,0.002723509703952409,0.0023058762734422533
2026-01,240,240,3,1.0,6.050517358153508,2.0168391193845028,,0.0,0,-0.0001593766001239949,-0.017119857346752254,0.005584672155072777,0.013977964974030463,0.0026383207529752845,0.0032594737431584134,0.22011333939209912,0.7002910271078544,1.1631333135543402,0.0038430983792445694,0.0023255498142955577
2026-01,180,360,4,1.0,9.64704954674069,2.4117623866851723,,0.0,0,-0.0019185076698607362,-0.0127610734548258,0.005448777657370448,0.015084794590461874,0.002671821591985037,0.003345182004202348,0.1649733853185525,0.6606336083585286,0.8657923534223098,0.002723509703952409,0.0023058762734422533
2026-01,240,360,3,1.0,8.524493108217747,2.841497702739249,,0.0,0,-0.0001593766001239949,-0.017119857346752254,0.005584672155072777,0.013977964974030463,0.0026383207529752845,0.0032594737431584134,0.22011333939209912,0.7002910271078544,1.1631333135543402,0.0038430983792445694,0.0023255498142955577
2026-02,120,240,6,0.8333333333333334,35.286734678044176,5.881122446340696,71.04170021106415,0.503796089639613,1,-0.018466813716045027,-0.050628743963784806,0.03388226428814961,0.045096346675732785,0.015452955690840698,0.010935000386274764,0.20807185349080726,0.8152189032998733,1.066146179256591,0.0045780503140455675,0.0027999658214009626
2026-02,180,240,9,0.8888888888888888,50.30899309033157,5.589888121147952,100.85983243006068,0.5037960896396134,1,-0.0038287369889473677,-0.01712859356171459,0.011515454381192934,0.03603350043768694,0.005660952717896447,0.007977401017334703,0.2074307917620834,0.4738107727156129,1.0393180928936676,0.00108954679147244,0.003268640374417542
2026-02,240,240,10,0.8,44.64332426077911,4.464332426077911,37.169485788226346,0.7304853298466156,1,-0.00515184150261877,-0.018289912956917398,0.009463065431083124,0.021836440761965503,0.004117623365134825,0.005048581782919734,0.20807185349080726,0.5394167804936928,1.0506347456003313,0.00237882659951294,0.0037915502625053277
2026-02,180,360,9,0.7777777777777778,34.92908332799928,3.8810092586665865,5.050501825425559,5.81499829802264,1,-0.0038287369889473677,-0.01712859356171459,0.011515454381192934,0.03603350043768694,0.005660952717896447,0.007977401017334703,0.2074307917620834,0.4738107727156129,1.0393180928936676,0.00108954679147244,0.003268640374417542
2026-02,240,360,10,0.8,29.185055730858313,2.9185055730858314,2.720177741881529,9.710829734702223,1,-0.00515184150261877,-0.018289912956917398,0.009463065431083124,0.021836440761965503,0.004117623365134825,0.005048581782919734,0.20807185349080726,0.5394167804936928,1.0506347456003313,0.00237882659951294,0.0037915502625053277
2026-03,120,240,7,0.42857142857142855,-11.5533766922943,-1.6504823846134715,0.47595633970716267,13.675688005542552,2,-0.009689697764109773,-0.001259222024199369,0.006467744452310838,0.01670171228721982,0.003455021645694331,0.003969199861986938,0.04765381028551111,1.3650806053550113,0.21846884935533684,0.004699015910457627,-0.00738882958142395
2026-03,180,240,3,0.6666666666666666,8.542745024583079,2.847581674861026,32.898902096098304,0.2678068667958318,1,-0.00950977225004035,-0.0052111292299277245,0.006125983966981275,0.014993352629042523,0.0036244941261100103,0.003992431549798542,0.07652985513814252,1.56515435491019,0.40288549260957396,0.008347797759328923,0.011406960230887941
2026-03,240,240,5,0.2,-1.7867110722681852,-0.357342214453637,0.5917970693667634,2.495540166886688,3,-0.0010001912130259694,-0.018268287522360538,0.0027938077229523153,0.014680363228083384,0.0018708444134729176,0.0034539188022945193,0.24227709338963188,0.9665338215262377,1.229883708304366,-0.006031132223618063,-0.0026450612437186605
2026-03,180,360,3,0.3333333333333333,-1.8883062985672514,-0.6294354328557504,0.6142613136891714,4.89529924163648,2,-0.00950977225004035,-0.0052111292299277245,0.006125983966981275,0.014993352629042523,0.0036244941261100103,0.003992431549798542,0.07652985513814252,1.56515435491019,0.40288549260957396,0.008347797759328923,0.011406960230887941
