character_rule,pair_state,lookback_min,hold_min,trades,net_wins,net_losses,win_rate,gross_pnl,fees,net_pnl,expectancy,net_per_100,pf,max_dd,max_loss_streak,max_win_streak,H1_trades,H1_wr,H1_net,H1_exp,H1_pf,H2_trades,H2_wr,H2_net,H2_exp,H2_pf,min_half_exp,evaluable_anchors,positive_anchors,discovery_supportive,discovery_strict
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,120,198,80,118,0.40404040404040403,-310.52190274460565,148.5,-459.02190274460577,-2.3182924381040695,-231.82924381040695,0.40150094962391825,504.51853906188387,11,9,96,0.3958333333333333,-188.08598640258475,-1.9592290250269244,0.4518715329285661,102,0.4117647058823529,-270.935916342021,-2.6562344739413826,0.3607181680862771,-2.6562344739413826,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,240,198,77,121,0.3888888888888889,-375.66676916755324,148.5,-524.1667691675532,-2.6473069149876425,-264.73069149876426,0.4465850890422097,562.7806287177024,7,6,96,0.4270833333333333,-182.42393860483213,-1.9002493604670014,0.5178173948528091,102,0.35294117647058826,-341.7428305627211,-3.350419907477658,0.39920756802669627,-3.350419907477658,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,360,198,83,115,0.41919191919191917,-551.6125087767199,148.5,-700.1125087767199,-3.535921761498585,-353.5921761498585,0.4058583784599574,762.0530977573843,9,5,96,0.4479166666666667,-410.2434338974971,-4.273369103098928,0.3178079931302895,102,0.39215686274509803,-289.8690748792228,-2.8418536752864982,0.49762636941908134,-4.273369103098928,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,480,198,79,119,0.398989898989899,-502.5341720069607,148.5,-651.0341720069607,-3.2880513737725288,-328.8051373772529,0.4551000814539437,707.8109050852171,14,5,96,0.3958333333333333,-405.4307875384592,-4.223237370192283,0.3684747594226281,102,0.4019607843137255,-245.6033844685015,-2.407876318318642,0.5557028730227582,-4.223237370192283,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,120,183,72,111,0.39344262295081966,-105.87027070246852,137.25,-243.12027070246847,-1.328526069412396,-132.8526069412396,0.5616759942814169,286.1772924838543,10,6,95,0.3684210526315789,-145.6429622453838,-1.5330838131093032,0.5312655992129203,88,0.42045454545454547,-97.47730845708469,-1.107696687012326,0.6004102770715383,-1.5330838131093032,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,240,183,76,107,0.41530054644808745,-0.7956756033039696,137.25,-138.04567560330395,-0.754347954116415,-75.4347954116415,0.7600603820081976,173.2794098884685,10,7,95,0.4421052631578947,-23.16768429735903,-0.2438703610248319,0.9097677251791128,88,0.38636363636363635,-114.87799130594493,-1.3054317193857379,0.639405003521847,-1.3054317193857379,4,1,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,360,183,79,104,0.43169398907103823,-96.81601671841162,137.25,-234.06601671841156,-1.279049271685309,-127.9049271685309,0.6725501009545892,271.03850784161904,12,6,95,0.4105263157894737,-138.1171892714219,-1.4538651502254936,0.5737439080752654,88,0.45454545454545453,-95.9488274469897,-1.090327584624883,0.7544752025029767,-1.4538651502254936,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,480,183,75,108,0.4098360655737705,-194.03690021156163,137.25,-331.28690021156166,-1.8103109301178233,-181.03109301178233,0.6259465133633388,397.71001276572827,12,8,95,0.4,-278.07550030645785,-2.9271105295416615,0.4326929345614311,88,0.42045454545454547,-53.21139990510379,-0.604674998921634,0.8654577874053788,-2.9271105295416615,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,120,193,71,122,0.36787564766839376,-266.8661414518424,144.75,-411.6161414518424,-2.1327261215121367,-213.27261215121368,0.4063973193755385,438.73373061193433,9,5,104,0.3557692307692308,-230.50585686932038,-2.2164024698973113,0.4267905717014173,89,0.38202247191011235,-181.110284582522,-2.034947017781146,0.37824383722471283,-2.2164024698973113,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,240,193,66,127,0.34196891191709844,-373.62932752553127,144.75,-518.3793275255313,-2.6859032514276233,-268.5903251427623,0.4072444453115502,543.5506033972072,24,8,103,0.34951456310679613,-304.07621341853746,-2.952196246781917,0.39535741665211477,89,0.3258426966292135,-251.65234059366668,-2.8275543886928842,0.3228275019125385,-2.952196246781917,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,360,193,72,121,0.37305699481865284,-470.77988671790524,144.75,-615.5298867179052,-3.1892740244451048,-318.92740244451045,0.4437646718868232,633.5526831026906,15,6,103,0.34951456310679613,-414.0001583449129,-4.019419013057407,0.3199176668285845,89,0.39325842696629215,-240.96793352646338,-2.707504871083858,0.5159825822531162,-4.019419013057407,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,480,193,74,119,0.38341968911917096,-687.0109244050158,144.75,-831.7609244050158,-4.309642095362776,-430.96420953627756,0.40095257798426115,855.2877701995096,15,5,103,0.36893203883495146,-669.1496951516314,-6.496598982054674,0.23949169930920877,89,0.39325842696629215,-181.38628221687645,-2.0380481147963647,0.6433622718973574,-6.496598982054674,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,120,202,85,117,0.4207920792079208,-152.85170835959593,151.5,-304.35170835959593,-1.5066916255425542,-150.66916255425542,0.5453394928396432,346.7209493458091,10,13,115,0.34782608695652173,-275.5389057951806,-2.3959904851754836,0.3981712963575987,87,0.5172413793103449,-28.812802564415335,-0.3311816386714406,0.8638131843456553,-2.3959904851754836,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,240,202,82,120,0.40594059405940597,-259.0180434443515,151.5,-410.5180434443515,-2.0322675418037206,-203.22675418037207,0.5106552351784683,457.1193861544247,16,8,115,0.3739130434782609,-304.5104192762449,-2.647916689358651,0.4578814098922997,87,0.4482758620689655,-106.00762416810664,-1.2184784387138694,0.6175899331642529,-2.647916689358651,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,360,202,85,117,0.4207920792079208,-301.94366242526337,151.5,-453.44366242526337,-2.2447706060656603,-224.47706060656603,0.5533368153625723,499.4820287412285,10,7,115,0.4,-361.8821892891732,-3.1468016459928103,0.42393842427423845,87,0.4482758620689655,-91.56147313609023,-1.0524307257021865,0.7633946710507481,-3.1468016459928103,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,480,202,83,119,0.41089108910891087,-649.115446069492,151.5,-800.615446069492,-3.963442802324218,-396.3442802324218,0.4486071065167012,882.6580058688915,11,10,115,0.3739130434782609,-742.3526287082102,-6.455240249636611,0.27568175453857846,87,0.45977011494252873,-58.26281736128177,-0.669687555876802,0.8635814960721679,-6.455240249636611,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,360,120,219,92,127,0.4200913242009132,-18.581736494630725,164.25,-182.83173649463072,-0.8348481118476289,-83.48481118476289,0.6709240775811561,217.6213182027799,15,10,110,0.42727272727272725,-64.85834630862075,-0.5896213300783705,0.7615416851804856,109,0.41284403669724773,-117.97339018600996,-1.082324680605596,0.5840164005896609,-1.082324680605596,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,360,240,219,95,124,0.4337899543378995,28.02032035137259,164.25,-136.2296796486274,-0.6220533317288923,-62.20533317288923,0.8034264390941329,321.3816075397482,21,12,110,0.45454545454545453,48.518893846812205,0.44108085315283824,1.169076847180141,109,0.41284403669724773,-184.74857349543964,-1.6949410412425656,0.54501904435195,-1.6949410412425656,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,360,360,219,100,119,0.45662100456621,-105.89763655956719,164.25,-270.1476365595672,-1.2335508518701699,-123.35508518701698,0.7075874684134346,415.3425676458066,10,7,110,0.4818181818181818,-94.94660957054228,-0.8631509960958389,0.7508876666541743,109,0.43119266055045874,-175.20102698902488,-1.607348871458944,0.677178636640812,-1.607348871458944,4,0,False,False
EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,360,480,219,100,119,0.45662100456621,-368.8145821046654,164.25,-533.0645821046653,-2.4340848497929923,-243.40848497929923,0.5980940089610829,640.2444726489445,11,8,110,0.45454545454545453,-324.2379681002063,-2.947617891820057,0.5297675707382631,109,0.45871559633027525,-208.82661400445903,-1.9158404954537527,0.6720761967575648,-2.947617891820057,4,0,False,False
EFF_HIGH__EXT_LOW,EFF_HIGH__EXT_LOW,60,120,37,13,24,0.35135135135135137,-64.49551651932471,27.75,-92.24551651932471,-2.493122068089857,-249.3122068089857,0.3629890611457614,102.49065849587761,5,3,19,0.3157894736842105,-85.01620366967948,-4.474537035246288,0.1615771634545789,18,0.3888888888888889,-7.22931284964522,-0.4016284916469567,0.8334635315287036,-4.474537035246288,2,0,False,False
EFF_HIGH__EXT_LOW,EFF_HIGH__EXT_LOW,60,240,37,11,26,0.2972972972972973,-65.51562864068768,27.75,-93.26562864068768,-2.520692665964532,-252.0692665964532,0.3853061565756451,116.87023662973645,5,3,19,0.21052631578947367,-90.34613332070792,-4.755059648458311,0.10387838938863056,18,0.3888888888888889,-2.9194953199797444,-0.16219418444331912,0.9426514361928042,-4.755059648458311,2,0,False,False
EFF_HIGH__EXT_LOW,EFF_HIGH__EXT_LOW,60,360,37,13,24,0.35135135135135137,-108.182298060102,27.75,-135.93229806010203,-3.673845893516271,-367.38458935162714,0.38528035624264445,176.09317136311896,6,5,19,0.21052631578947367,-131.02008357652258,-6.895793872448557,0.1477028084724073,18,0.5,-4.912214483579409,-0.2729008046433005,0.9271218453454537,-6.895793872448557,2,0,False,False
