partition,origin,clause,retained,n,resume_n,resume_rate
external,BULL,structure_high_ok,True,163,104,0.6380368098159509
external,BULL,structure_high_ok,False,0,0,
external,BULL,structure_low_ok,True,163,104,0.6380368098159509
external,BULL,structure_low_ok,False,0,0,
external,BULL,ema_order_ok,True,157,100,0.6369426751592356
external,BULL,ema_order_ok,False,6,4,0.6666666666666666
external,BULL,close_side_ok,True,0,0,
external,BULL,close_side_ok,False,163,104,0.6380368098159509
external,BEAR,structure_high_ok,True,108,56,0.5185185185185185
external,BEAR,structure_high_ok,False,0,0,
external,BEAR,structure_low_ok,True,97,49,0.5051546391752577
external,BEAR,structure_low_ok,False,11,7,0.6363636363636364
external,BEAR,ema_order_ok,True,108,56,0.5185185185185185
external,BEAR,ema_order_ok,False,0,0,
external,BEAR,close_side_ok,True,10,7,0.7
external,BEAR,close_side_ok,False,98,49,0.5
development,BULL,structure_high_ok,True,219,105,0.4794520547945205
development,BULL,structure_high_ok,False,0,0,
development,BULL,structure_low_ok,True,219,105,0.4794520547945205
development,BULL,structure_low_ok,False,0,0,
development,BULL,ema_order_ok,True,219,105,0.4794520547945205
development,BULL,ema_order_ok,False,0,0,
development,BULL,close_side_ok,True,0,0,
development,BULL,close_side_ok,False,219,105,0.4794520547945205
development,BEAR,structure_high_ok,True,249,135,0.5421686746987951
development,BEAR,structure_high_ok,False,0,0,
development,BEAR,structure_low_ok,True,249,135,0.5421686746987951
development,BEAR,structure_low_ok,False,0,0,
development,BEAR,ema_order_ok,True,249,135,0.5421686746987951
development,BEAR,ema_order_ok,False,0,0,
development,BEAR,close_side_ok,True,0,0,
development,BEAR,close_side_ok,False,249,135,0.5421686746987951
reference_validation,BULL,structure_high_ok,True,150,72,0.48
reference_validation,BULL,structure_high_ok,False,0,0,
reference_validation,BULL,structure_low_ok,True,150,72,0.48
reference_validation,BULL,structure_low_ok,False,0,0,
reference_validation,BULL,ema_order_ok,True,149,72,0.48322147651006714
reference_validation,BULL,ema_order_ok,False,1,0,0.0
reference_validation,BULL,close_side_ok,True,0,0,
reference_validation,BULL,close_side_ok,False,150,72,0.48
reference_validation,BEAR,structure_high_ok,True,134,55,0.41044776119402987
reference_validation,BEAR,structure_high_ok,False,0,0,
reference_validation,BEAR,structure_low_ok,True,133,54,0.40601503759398494
reference_validation,BEAR,structure_low_ok,False,1,1,1.0
reference_validation,BEAR,ema_order_ok,True,134,55,0.41044776119402987
reference_validation,BEAR,ema_order_ok,False,0,0,
reference_validation,BEAR,close_side_ok,True,0,0,
reference_validation,BEAR,close_side_ok,False,134,55,0.41044776119402987
POOLED_MAJOR,BULL,structure_high_ok,True,532,281,0.5281954887218046
POOLED_MAJOR,BULL,structure_high_ok,False,0,0,
POOLED_MAJOR,BULL,structure_low_ok,True,532,281,0.5281954887218046
POOLED_MAJOR,BULL,structure_low_ok,False,0,0,
POOLED_MAJOR,BULL,ema_order_ok,True,525,277,0.5276190476190477
POOLED_MAJOR,BULL,ema_order_ok,False,7,4,0.5714285714285714
POOLED_MAJOR,BULL,close_side_ok,True,0,0,
POOLED_MAJOR,BULL,close_side_ok,False,532,281,0.5281954887218046
POOLED_MAJOR,BEAR,structure_high_ok,True,491,246,0.5010183299389002
POOLED_MAJOR,BEAR,structure_high_ok,False,0,0,
POOLED_MAJOR,BEAR,structure_low_ok,True,479,238,0.4968684759916493
POOLED_MAJOR,BEAR,structure_low_ok,False,12,8,0.6666666666666666
POOLED_MAJOR,BEAR,ema_order_ok,True,491,246,0.5010183299389002
POOLED_MAJOR,BEAR,ema_order_ok,False,0,0,
POOLED_MAJOR,BEAR,close_side_ok,True,10,7,0.7
POOLED_MAJOR,BEAR,close_side_ok,False,481,239,0.4968814968814969
