partition,variant,opportunities,confirmed,confirmation_rate,executed_trades,execution_rate,same_bar_confirmed,later_reclaim_confirmed,median_touch_to_confirmation_min,entry_on_h2_bar_open_count,tp_count,tp_rate,close_invalidation_count,time_exit_count,wr,pf,net_exp,total_net,h2_before_exit_rate,accept_close_before_exit_rate,median_entry_fraction,median_nominal_rr,median_hold_minutes
external,EARLY_RECLAIM,46,43,0.9347826086956522,43,0.9347826086956522,27,16,5.0,12,30,0.6976744186046512,2,11,0.7674418604651163,2.894985684744858,1.6198646988588175,69.65418205092915,0.9069767441860465,0.6511627906976745,0.8862942612942509,0.5849507655529815,90.0
external,SAME_BAR_REJECTION,46,27,0.5869565217391305,27,0.5869565217391305,27,0,5.0,4,18,0.6666666666666666,2,7,0.7407407407407407,2.1760904251256123,1.34187409616372,36.230600596420445,0.8888888888888888,0.5925925925925926,0.8873195441114384,0.5819264519879704,95.0
development,EARLY_RECLAIM,72,54,0.75,54,0.75,30,24,5.0,20,36,0.6666666666666666,13,5,0.6666666666666666,1.0750174472319254,0.13783716210616573,7.44320675373295,0.8148148148148148,0.42592592592592593,0.8788729882000899,0.6071914499478803,42.5
development,SAME_BAR_REJECTION,72,30,0.4166666666666667,30,0.4166666666666667,30,0,5.0,9,20,0.6666666666666666,7,3,0.6666666666666666,1.1694548445504862,0.30547719996090394,9.164315998827119,0.7666666666666667,0.4,0.876767243113096,0.613629196579323,50.0
reference_validation,EARLY_RECLAIM,31,21,0.6774193548387096,21,0.6774193548387096,11,10,5.0,6,15,0.7142857142857143,5,1,0.7142857142857143,0.9784184386759252,-0.027926352234141312,-0.5864533969169675,0.7619047619047619,0.42857142857142855,0.9164179104477612,0.5006587615283268,40.0
reference_validation,SAME_BAR_REJECTION,31,11,0.3548387096774194,11,0.3548387096774194,11,0,5.0,5,10,0.9090909090909091,1,0,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,0.9090909090909091,0.5454545454545454,0.9168292682926688,0.49956970740107026,40.0
august,EARLY_RECLAIM,3,3,1.0,3,1.0,1,2,10.0,2,2,0.6666666666666666,0,1,1.0,inf,1.4372739379019694,4.311821813705908,1.0,0.3333333333333333,0.8974113488235055,0.5527628388173103,5.0
august,SAME_BAR_REJECTION,3,1,0.3333333333333333,1,0.3333333333333333,1,0,5.0,0,0,0.0,0,1,1.0,inf,2.6529477668266304,2.6529477668266304,1.0,1.0,0.8974113488235055,0.5527628388173103,280.0
