partition,transition,date_utc,previous_session_start,previous_session_end,active_session_start,active_session_end,previous_session_high,previous_session_low,breakout_side,breakout_bar_start,breakout_ts,side,signal_level,k,visit_no,signal_bar_start,signal_ts,same_visits_at_signal,opp_visits_at_signal,structural_outcome,entry_depth,entry_fraction_from_low,planned_entry_px,stop_px,target_px,nominal_rr,filled,entry_ts,entry_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
external,LONDON_TO_NEWYORK,2020-01-02,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7175.0,7106.75,LOW,2020-01-02 16:45:00+00:00,2020-01-02 16:50:00+00:00,SHORT,LOW,1,1,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.25,7123.8125,7175.0,7106.75,0.3333333333333333,True,2020-01-02 13:55:00+00:00,7123.8125,2020-01-02 16:45:00+00:00,7106.75,TP_RANGE_EDGE,0.002395136031443812,0.7975680157219059,170.0
external,LONDON_TO_NEWYORK,2020-01-02,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7175.0,7106.75,LOW,2020-01-02 16:45:00+00:00,2020-01-02 16:50:00+00:00,SHORT,LOW,1,1,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,1,0,TARGET_BREAK,MID,0.5,7140.875,7175.0,7106.75,1.0,True,2020-01-02 14:40:00+00:00,7140.875,2020-01-02 16:45:00+00:00,7106.75,TP_RANGE_EDGE,0.004778826124249513,1.9894130621247568,125.0
external,LONDON_TO_NEWYORK,2020-01-02,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7175.0,7106.75,LOW,2020-01-02 16:45:00+00:00,2020-01-02 16:50:00+00:00,SHORT,LOW,1,1,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,1,0,TARGET_BREAK,DEEP,0.75,7157.9375,7175.0,7106.75,3.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-02,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7175.0,7106.75,LOW,2020-01-02 16:45:00+00:00,2020-01-02 16:50:00+00:00,SHORT,LOW,1,1,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,1,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.9,7168.175,7175.0,7106.75,9.000000000000266,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,1,1,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.75,7190.86,6863.44,7300.0,0.33333333333333426,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,1,1,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,1,0,TARGET_BREAK,MID,0.5,7081.719999999999,6863.44,7300.0,1.0000000000000042,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,1,1,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,1,0,TARGET_BREAK,DEEP,0.25,6972.58,6863.44,7300.0,2.9999999999999916,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,1,1,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,1,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,6907.096,6863.44,7300.0,9.000000000000021,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,2,2,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,2,0,TARGET_BREAK,SHALLOW,0.75,7190.86,6863.44,7300.0,0.33333333333333426,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,2,2,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,2,0,TARGET_BREAK,MID,0.5,7081.719999999999,6863.44,7300.0,1.0000000000000042,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
