partition,reference_start,execution_start,fill_ts,H,L,R,F85,E20,breakout,breakout_attack,breakout_ts,minutes_fill_to_breakout,post_breakout_path
external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,2020-02-04 15:25:00+00:00,188.6,184.71,3.8899999999999864,188.0165,189.378,True,2.0,2020-02-04 16:00:00+00:00,35.0,BACK_IN_RANGE_BEFORE_E20
external,2020-02-19 08:00:00+00:00,2020-02-19 13:30:00+00:00,2020-02-19 16:25:00+00:00,283.46,274.54,8.919999999999959,282.122,285.24399999999997,True,3.0,2020-02-19 17:20:00+00:00,55.0,DIRECT_CONTINUATION
external,2020-03-02 08:00:00+00:00,2020-03-02 13:30:00+00:00,2020-03-02 13:45:00+00:00,228.0,219.83,8.169999999999987,226.7745,229.634,True,3.0,2020-03-02 14:20:00+00:00,35.0,DIRECT_CONTINUATION
external,2020-03-31 08:00:00+00:00,2020-03-31 13:30:00+00:00,2020-03-31 15:30:00+00:00,133.26,131.0,2.259999999999991,132.921,133.712,False,,,,NO_BREAKOUT_BY_END
external,2020-04-06 08:00:00+00:00,2020-04-06 13:30:00+00:00,2020-04-06 15:05:00+00:00,158.4,149.06,9.340000000000003,156.999,160.268,True,2.0,2020-04-06 15:40:00+00:00,35.0,DIRECT_CONTINUATION
external,2020-04-21 08:00:00+00:00,2020-04-21 13:30:00+00:00,2020-04-21 14:40:00+00:00,173.36,167.92,5.440000000000026,172.544,174.448,False,,,,NO_BREAKOUT_BY_END
external,2020-06-01 08:00:00+00:00,2020-06-01 13:30:00+00:00,2020-06-01 16:10:00+00:00,240.7,234.72,5.97999999999999,239.803,241.896,False,,,,NO_BREAKOUT_BY_END
external,2020-06-10 08:00:00+00:00,2020-06-10 13:30:00+00:00,2020-06-10 16:05:00+00:00,243.96,242.5,1.460000000000008,243.741,244.252,True,2.0,2020-06-10 18:10:00+00:00,125.0,DIRECT_CONTINUATION
external,2020-07-01 08:00:00+00:00,2020-07-01 13:30:00+00:00,2020-07-01 13:50:00+00:00,229.13,225.49,3.6399999999999864,228.584,229.858,True,4.0,2020-07-01 15:55:00+00:00,125.0,BACK_IN_RANGE_BEFORE_E20
external,2020-07-14 08:00:00+00:00,2020-07-14 13:30:00+00:00,2020-07-14 17:55:00+00:00,241.55,237.73,3.8200000000000216,240.977,242.31400000000002,False,,,,NO_BREAKOUT_BY_END
external,2020-07-16 08:00:00+00:00,2020-07-16 13:30:00+00:00,2020-07-16 15:40:00+00:00,233.29,230.17,3.1200000000000045,232.822,233.914,True,2.0,2020-07-16 16:05:00+00:00,25.0,DIRECT_CONTINUATION
external,2020-08-05 08:00:00+00:00,2020-08-05 13:30:00+00:00,2020-08-05 19:10:00+00:00,402.11,389.5,12.610000000000014,400.2185,404.632,False,,,,NO_BREAKOUT_BY_END
external,2020-08-17 08:00:00+00:00,2020-08-17 13:30:00+00:00,2020-08-17 14:10:00+00:00,433.22,422.6,10.620000000000005,431.627,435.34400000000005,True,2.0,2020-08-17 15:45:00+00:00,95.0,E20_ON_BREAKOUT_BAR
external,2020-08-20 08:00:00+00:00,2020-08-20 13:30:00+00:00,2020-08-20 13:45:00+00:00,412.23,403.5,8.730000000000018,410.9205,413.976,True,2.0,2020-08-20 13:55:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
external,2020-09-14 08:00:00+00:00,2020-09-14 13:30:00+00:00,2020-09-14 13:40:00+00:00,375.95,361.42,14.529999999999973,373.7705,378.856,True,3.0,2020-09-14 15:15:00+00:00,95.0,E20_ON_BREAKOUT_BAR
external,2020-09-16 08:00:00+00:00,2020-09-16 13:30:00+00:00,2020-09-16 15:45:00+00:00,370.6,360.75,9.850000000000023,369.1225,372.57000000000005,True,2.0,2020-09-16 16:00:00+00:00,15.0,E20_ON_BREAKOUT_BAR
external,2020-09-25 08:00:00+00:00,2020-09-25 13:30:00+00:00,2020-09-25 17:05:00+00:00,348.67,337.5,11.170000000000016,346.9945,350.904,True,2.0,2020-09-25 17:40:00+00:00,35.0,RETEST_THEN_CONTINUATION
