partition,exec_min,execution_utc,reference_start,execution_start,entry_bar_start,exit_ts,entry_px,pnl_0,pnl_5,exit_reason,H,L,range_completion_ts,range_completion_elapsed_min,k1_ts,k1_elapsed_min,fill_elapsed_min,high_formation_ts,low_formation_ts,range_order
external,540,09:00,2020-01-02 04:00:00+00:00,2020-01-02 09:00:00+00:00,2020-01-02 10:35:00+00:00,2020-01-02 15:00:00+00:00,129.83249999999998,-2.4507191958868964,-2.9484196264756175,TIME_EXIT,130.22,128.67,2020-01-02 08:50:00+00:00,290.0,2020-01-02 10:10:00+00:00,70.0,95.0,2020-01-02 08:50:00+00:00,2020-01-02 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-01-13 04:00:00+00:00,2020-01-13 09:00:00+00:00,2020-01-13 11:10:00+00:00,2020-01-13 14:30:00+00:00,143.6325,-4.063864376098669,-4.559952467676753,CLOSE_INVALIDATION,144.07,142.32,2020-01-13 07:00:00+00:00,180.0,2020-01-13 10:55:00+00:00,115.0,130.0,2020-01-13 04:50:00+00:00,2020-01-13 07:00:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-01-16 04:00:00+00:00,2020-01-16 09:00:00+00:00,2020-01-16 11:20:00+00:00,2020-01-16 11:40:00+00:00,161.97250000000003,4.708891941533189,4.456463709678404,TARGET,162.8,159.49,2020-01-16 06:45:00+00:00,165.0,2020-01-16 11:05:00+00:00,125.0,140.0,2020-01-16 06:45:00+00:00,2020-01-16 04:05:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-02-17 04:00:00+00:00,2020-02-17 09:00:00+00:00,2020-02-17 09:25:00+00:00,2020-02-17 11:25:00+00:00,251.07999999999998,-16.092209654293466,-16.57627541176031,CLOSE_INVALIDATION,254.0,242.32,2020-02-17 06:25:00+00:00,145.0,2020-02-17 09:00:00+00:00,0.0,25.0,2020-02-17 06:25:00+00:00,2020-02-17 04:15:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-03-13 04:00:00+00:00,2020-03-13 09:00:00+00:00,2020-03-13 11:00:00+00:00,2020-03-13 15:00:00+00:00,126.125,3.0291377601585183,2.5259602111729733,TIME_EXIT,132.95,105.65,2020-03-13 08:05:00+00:00,245.0,2020-03-13 09:50:00+00:00,50.0,120.0,2020-03-13 08:05:00+00:00,2020-03-13 04:55:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-03-20 04:00:00+00:00,2020-03-20 09:00:00+00:00,2020-03-20 11:10:00+00:00,2020-03-20 13:25:00+00:00,147.90499999999997,-36.31832595246941,-36.78217570164226,CLOSE_INVALIDATION,152.64,133.7,2020-03-20 08:20:00+00:00,260.0,2020-03-20 10:45:00+00:00,105.0,130.0,2020-03-20 08:20:00+00:00,2020-03-20 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-04-02 04:00:00+00:00,2020-04-02 09:00:00+00:00,2020-04-02 10:40:00+00:00,2020-04-02 12:05:00+00:00,137.28,3.7520979020978067,3.50014782818382,TARGET,137.85,135.57,2020-04-02 07:25:00+00:00,205.0,2020-04-02 10:10:00+00:00,70.0,100.0,2020-04-02 07:25:00+00:00,2020-04-02 05:10:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-04-17 04:00:00+00:00,2020-04-17 09:00:00+00:00,2020-04-17 09:30:00+00:00,2020-04-17 09:55:00+00:00,170.6775,4.419030042038319,4.166746668704047,TARGET,171.5,168.21,2020-04-17 04:55:00+00:00,55.0,2020-04-17 09:15:00+00:00,15.0,30.0,2020-04-17 04:00:00+00:00,2020-04-17 04:55:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-04-24 04:00:00+00:00,2020-04-24 09:00:00+00:00,2020-04-24 09:40:00+00:00,2020-04-24 10:35:00+00:00,188.855,-5.496502607820797,-5.991158777128236,CLOSE_INVALIDATION,189.67,186.41,2020-04-24 07:55:00+00:00,235.0,2020-04-24 09:25:00+00:00,25.0,40.0,2020-04-24 07:55:00+00:00,2020-04-24 06:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-05-06 04:00:00+00:00,2020-05-06 09:00:00+00:00,2020-05-06 10:40:00+00:00,2020-05-06 11:50:00+00:00,208.7,3.9124101581217823,3.660379968137684,TARGET,209.6,206.0,2020-05-06 08:00:00+00:00,240.0,2020-05-06 10:30:00+00:00,90.0,100.0,2020-05-06 08:00:00+00:00,2020-05-06 05:45:00+00:00,LOW_BEFORE_HIGH
