entry_fraction,scope,name,source_n,fills_n,fill_rate,rebreak_n,rebreak_rate_fill,t10_n,t10_rate_fill,t10_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_t10_min
0.05,PARTITION,external,202,183,0.905940594059406,146,0.7978142076502732,139,0.7595628415300546,0.6881188118811881,25,0.1366120218579235,19,0.10382513661202186,0.0,15.0,30.0
0.05,PARTITION,development,333,297,0.8918918918918919,238,0.8013468013468014,222,0.7474747474747475,0.6666666666666666,38,0.12794612794612795,37,0.12457912457912458,0.0,25.0,40.0
0.05,PARTITION,reference_validation,194,173,0.8917525773195877,137,0.791907514450867,132,0.7630057803468208,0.6804123711340206,19,0.10982658959537572,22,0.12716763005780346,0.0,20.0,32.5
0.05,POOL,POOLED_REUSED_EXTVAL,396,356,0.898989898989899,283,0.7949438202247191,271,0.7612359550561798,0.6843434343434344,44,0.12359550561797752,41,0.1151685393258427,0.0,20.0,30.0
0.05,POOL,POOLED_MAJOR,729,653,0.8957475994513031,521,0.7978560490045942,493,0.7549770290964778,0.6762688614540466,82,0.12557427258805512,78,0.11944869831546708,0.0,20.0,35.0
0.05,CLOCK_EXTERNAL,00-04,29,27,0.9310344827586207,23,0.8518518518518519,23,0.8518518518518519,0.7931034482758621,2,0.07407407407407407,2,0.07407407407407407,0.0,20.0,30.0
0.05,CLOCK_EXTERNAL,04-08,43,38,0.8837209302325582,33,0.868421052631579,33,0.868421052631579,0.7674418604651163,2,0.05263157894736842,3,0.07894736842105263,0.0,15.0,35.0
0.05,CLOCK_EXTERNAL,08-12,40,40,1.0,31,0.775,29,0.725,0.725,7,0.175,4,0.1,0.0,10.0,25.0
0.05,CLOCK_EXTERNAL,12-16,32,31,0.96875,25,0.8064516129032258,23,0.7419354838709677,0.71875,4,0.12903225806451613,4,0.12903225806451613,0.0,25.0,30.0
0.05,CLOCK_EXTERNAL,16-20,31,25,0.8064516129032258,18,0.72,16,0.64,0.5161290322580645,6,0.24,3,0.12,0.0,25.0,47.5
0.05,CLOCK_EXTERNAL,20-00,27,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,25.0
0.05,CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,31,0.7380952380952381,27,0.6428571428571429,0.574468085106383,7,0.16666666666666666,8,0.19047619047619047,0.0,15.0,30.0
0.05,CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,32,0.8421052631578947,32,0.8421052631578947,0.7441860465116279,1,0.02631578947368421,5,0.13157894736842105,0.0,45.0,50.0
0.05,CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,40,0.8,39,0.78,0.6724137931034483,8,0.16,3,0.06,0.0,15.0,25.0
0.05,CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,58,0.7631578947368421,55,0.7236842105263158,0.6707317073170732,18,0.23684210526315788,3,0.039473684210526314,0.0,25.0,35.0
0.05,CLOCK_DEVELOPMENT,16-20,60,54,0.9,47,0.8703703703703703,42,0.7777777777777778,0.7,2,0.037037037037037035,10,0.18518518518518517,0.0,40.0,47.5
0.05,CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,30,0.8108108108108109,27,0.7297297297297297,0.627906976744186,2,0.05405405405405406,8,0.21621621621621623,0.0,17.5,60.0
0.05,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,23,0.71875,23,0.71875,0.6388888888888888,4,0.125,5,0.15625,0.0,20.0,25.0
0.05,CLOCK_REFERENCE_VALIDATION,04-08,26,20,0.7692307692307693,18,0.9,17,0.85,0.6538461538461539,2,0.1,1,0.05,0.0,10.0,25.0
0.05,CLOCK_REFERENCE_VALIDATION,08-12,29,24,0.8275862068965517,21,0.875,21,0.875,0.7241379310344828,2,0.08333333333333333,1,0.041666666666666664,0.0,30.0,60.0
0.05,CLOCK_REFERENCE_VALIDATION,12-16,43,41,0.9534883720930233,33,0.8048780487804879,32,0.7804878048780488,0.7441860465116279,7,0.17073170731707318,2,0.04878048780487805,0.0,20.0,25.0
0.05,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,19,0.7037037037037037,16,0.5925925925925926,0.5161290322580645,0,0.0,11,0.4074074074074074,0.0,15.0,32.5
0.05,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,23,0.7931034482758621,23,0.7931034482758621,0.7931034482758621,4,0.13793103448275862,2,0.06896551724137931,0.0,35.0,70.0
0.05,CLOCK_REUSED,00-04,65,59,0.9076923076923077,46,0.7796610169491526,46,0.7796610169491526,0.7076923076923077,6,0.1016949152542373,7,0.11864406779661017,0.0,20.0,25.0
0.05,CLOCK_REUSED,04-08,69,58,0.8405797101449275,51,0.8793103448275862,50,0.8620689655172413,0.7246376811594203,4,0.06896551724137931,4,0.06896551724137931,0.0,15.0,32.5
0.05,CLOCK_REUSED,08-12,69,64,0.927536231884058,52,0.8125,50,0.78125,0.7246376811594203,9,0.140625,5,0.078125,0.0,15.0,37.5
0.05,CLOCK_REUSED,12-16,75,72,0.96,58,0.8055555555555556,55,0.7638888888888888,0.7333333333333333,11,0.1527777777777778,6,0.08333333333333333,0.0,20.0,30.0
0.05,CLOCK_REUSED,16-20,62,52,0.8387096774193549,37,0.7115384615384616,32,0.6153846153846154,0.5161290322580645,6,0.11538461538461539,14,0.2692307692307692,0.0,15.0,40.0
0.05,CLOCK_REUSED,20-00,56,51,0.9107142857142857,39,0.7647058823529411,38,0.7450980392156863,0.6785714285714286,8,0.1568627450980392,5,0.09803921568627451,0.0,20.0,32.5
0.1,PARTITION,external,202,152,0.7524752475247525,115,0.756578947368421,109,0.7171052631578947,0.5396039603960396,25,0.16447368421052633,18,0.11842105263157894,0.0,20.0,35.0
0.1,PARTITION,development,333,260,0.7807807807807807,201,0.7730769230769231,194,0.7461538461538462,0.5825825825825826,38,0.14615384615384616,28,0.1076923076923077,0.0,30.0,40.0
0.1,PARTITION,reference_validation,194,145,0.7474226804123711,109,0.7517241379310344,105,0.7241379310344828,0.5412371134020618,19,0.1310344827586207,21,0.14482758620689656,0.0,30.0,40.0
0.1,POOL,POOLED_REUSED_EXTVAL,396,297,0.75,224,0.7542087542087542,214,0.7205387205387206,0.5404040404040404,44,0.14814814814814814,39,0.13131313131313133,0.0,25.0,35.0
0.1,POOL,POOLED_MAJOR,729,557,0.7640603566529492,425,0.7630161579892281,408,0.7324955116696589,0.5596707818930041,82,0.14721723518850988,67,0.12028725314183124,0.0,25.0,40.0
0.1,CLOCK_EXTERNAL,00-04,29,23,0.7931034482758621,19,0.8260869565217391,19,0.8260869565217391,0.6551724137931034,2,0.08695652173913043,2,0.08695652173913043,0.0,20.0,35.0
0.1,CLOCK_EXTERNAL,04-08,43,28,0.6511627906976745,23,0.8214285714285714,23,0.8214285714285714,0.5348837209302325,2,0.07142857142857142,3,0.10714285714285714,0.0,30.0,60.0
0.1,CLOCK_EXTERNAL,08-12,40,34,0.85,25,0.7352941176470589,24,0.7058823529411765,0.6,7,0.20588235294117646,3,0.08823529411764706,0.0,15.0,27.5
0.1,CLOCK_EXTERNAL,12-16,32,27,0.84375,21,0.7777777777777778,19,0.7037037037037037,0.59375,4,0.14814814814814814,4,0.14814814814814814,0.0,25.0,35.0
0.1,CLOCK_EXTERNAL,16-20,31,23,0.7419354838709677,16,0.6956521739130435,14,0.6086956521739131,0.45161290322580644,6,0.2608695652173913,3,0.13043478260869565,0.0,35.0,52.5
0.1,CLOCK_EXTERNAL,20-00,27,17,0.6296296296296297,11,0.6470588235294118,10,0.5882352941176471,0.37037037037037035,4,0.23529411764705882,3,0.17647058823529413,0.0,20.0,30.0
0.1,CLOCK_DEVELOPMENT,00-04,47,32,0.6808510638297872,21,0.65625,20,0.625,0.425531914893617,7,0.21875,5,0.15625,0.0,25.0,30.0
0.1,CLOCK_DEVELOPMENT,04-08,43,35,0.813953488372093,29,0.8285714285714286,29,0.8285714285714286,0.6744186046511628,1,0.02857142857142857,5,0.14285714285714285,0.0,50.0,55.0
0.1,CLOCK_DEVELOPMENT,08-12,58,42,0.7241379310344828,32,0.7619047619047619,32,0.7619047619047619,0.5517241379310345,8,0.19047619047619047,2,0.047619047619047616,0.0,17.5,27.5
0.1,CLOCK_DEVELOPMENT,12-16,82,69,0.8414634146341463,51,0.7391304347826086,48,0.6956521739130435,0.5853658536585366,18,0.2608695652173913,3,0.043478260869565216,0.0,25.0,40.0
0.1,CLOCK_DEVELOPMENT,16-20,60,49,0.8166666666666667,42,0.8571428571428571,39,0.7959183673469388,0.65,2,0.04081632653061224,8,0.16326530612244897,0.0,45.0,50.0
0.1,CLOCK_DEVELOPMENT,20-00,43,33,0.7674418604651163,26,0.7878787878787878,26,0.7878787878787878,0.6046511627906976,2,0.06060606060606061,5,0.15151515151515152,0.0,22.5,62.5
0.1,CLOCK_REFERENCE_VALIDATION,00-04,36,28,0.7777777777777778,19,0.6785714285714286,19,0.6785714285714286,0.5277777777777778,4,0.14285714285714285,5,0.17857142857142858,0.0,20.0,25.0
0.1,CLOCK_REFERENCE_VALIDATION,04-08,26,11,0.4230769230769231,9,0.8181818181818182,9,0.8181818181818182,0.34615384615384615,2,0.18181818181818182,0,0.0,0.0,30.0,65.0
0.1,CLOCK_REFERENCE_VALIDATION,08-12,29,19,0.6551724137931034,16,0.8421052631578947,16,0.8421052631578947,0.5517241379310345,2,0.10526315789473684,1,0.05263157894736842,0.0,60.0,72.5
0.1,CLOCK_REFERENCE_VALIDATION,12-16,43,38,0.8837209302325582,30,0.7894736842105263,29,0.7631578947368421,0.6744186046511628,7,0.18421052631578946,2,0.05263157894736842,0.0,22.5,30.0
0.1,CLOCK_REFERENCE_VALIDATION,16-20,31,25,0.8064516129032258,17,0.68,14,0.56,0.45161290322580644,0,0.0,11,0.44,0.0,15.0,27.5
0.1,CLOCK_REFERENCE_VALIDATION,20-00,29,24,0.8275862068965517,18,0.75,18,0.75,0.6206896551724138,4,0.16666666666666666,2,0.08333333333333333,0.0,47.5,72.5
0.1,CLOCK_REUSED,00-04,65,51,0.7846153846153846,38,0.7450980392156863,38,0.7450980392156863,0.5846153846153846,6,0.11764705882352941,7,0.13725490196078433,0.0,20.0,27.5
0.1,CLOCK_REUSED,04-08,69,39,0.5652173913043478,32,0.8205128205128205,32,0.8205128205128205,0.463768115942029,4,0.10256410256410256,3,0.07692307692307693,0.0,30.0,62.5
0.1,CLOCK_REUSED,08-12,69,53,0.7681159420289855,41,0.7735849056603774,40,0.7547169811320755,0.5797101449275363,9,0.16981132075471697,4,0.07547169811320754,0.0,30.0,55.0
0.1,CLOCK_REUSED,12-16,75,65,0.8666666666666667,51,0.7846153846153846,48,0.7384615384615385,0.64,11,0.16923076923076924,6,0.09230769230769231,0.0,25.0,32.5
