hour_wib,character_rule,component_size,component_cells,positive_halo,positive_exp_cells,wr_min,wr_mean,exp_floor,exp_mean,pf_median,dd_max,ls_max,component_rank
0,EFF_HIGH__RANGE_LOW,3,LB360/H240;LB360/H360;LB360/H480,0,3,0.578125,0.625,2.2466064571971116,2.9297193995748976,2.5275664165318035,102.47993254051357,16,1
0,DRIVE_DOWN__STR_B40_60,2,LB180/H240;LB240/H240,0,2,0.6122448979591837,0.6160398043514927,1.2067890186179986,1.2604838438544472,1.4286282458064274,93.21388189682477,6,2
1,RV_LOW__RANGE_MID,3,LB60/H240;LB120/H240;LB180/H240,5,3,0.5692307692307692,0.5925914628510158,1.5314609741501606,1.7133951882139062,1.6680628482997326,85.39913731994649,8,1
1,EFF_HIGH__EXT_MID,3,LB360/H120;LB360/H240;LB360/H360,0,3,0.5614035087719298,0.5730994152046783,1.276212773339038,1.4711660953860513,1.5248326704287163,119.26411433499297,11,2
2,DRIVE_UP__STR_B80_100,4,LB60/H480;LB120/H480;LB180/H360;LB180/H480,1,4,0.5915492957746479,0.6124543637747863,4.127831573745003,5.372438484716066,2.2930595485219425,98.91607653795904,6,1
2,EFF_HIGH__RV_LOW,3,LB240/H240;LB240/H360;LB240/H480,3,3,0.5566037735849056,0.5691823899371069,0.9267077224613649,1.260371835845125,1.4568870564588057,123.5169243130376,14,2
2,DRIVE_DOWN__RV_LOW,3,LB120/H120;LB180/H120;LB240/H120,1,3,0.5525114155251142,0.568289649289226,0.5565573492619392,0.6955245059768501,1.4113130972020551,77.98072347999305,12,3
3,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,1,2,0.5522388059701493,0.5671641791044777,2.944681071920461,3.3066044155922647,1.9000380751353467,69.00102438639979,7,1
3,DRIVE_UP__STR_B40_60,2,LB360/H360;LB360/H480,1,2,0.620253164556962,0.6329113924050633,2.7726899215457563,2.7815719732042616,1.8431259176347639,104.76675968882009,9,2
3,EFF_HIGH__RANGE_LOW,2,LB120/H120;LB120/H240,0,2,0.6,0.6,0.7443773356922001,0.9406839320474081,1.5675188257550354,34.841177931817,7,3
4,EFF_MID__RANGE_MID,2,LB120/H360;LB120/H480,0,2,0.5918367346938775,0.596938775510204,2.743610123444652,2.914125394087433,1.7205930757948296,103.52491285678889,5,1
5,DRIVE_DOWN__STR_B80_100,4,LB180/H120;LB180/H240;LB240/H120;LB360/H120,2,4,0.5760869565217391,0.6192539372728496,7.29046467139505,8.85701506325605,4.179027749299432,102.30372446992212,9,1
5,EFF_HIGH__RV_HIGH,2,LB120/H120;LB180/H120,2,2,0.5765765765765766,0.5771771771771772,3.527939062103468,3.7662526664109945,2.323146875923885,120.76688786621364,10,2
5,DRIVE_UP__RANGE_HIGH,2,LB360/H120;LB360/H240,1,2,0.5803571428571429,0.5892857142857143,1.269237810845562,1.626766818491908,1.561938115219923,111.97553774994869,14,3
6,EFF_LOW__RANGE_LOW,3,LB180/H360;LB240/H240;LB240/H360,3,3,0.5527950310559007,0.5787423279062076,1.2791359050225208,1.6474426141774081,1.4693747629415406,122.79874167163268,13,1
6,EFF_LOW__RV_LOW,3,LB180/H240;LB180/H360;LB180/H480,3,3,0.5578231292517006,0.5623582766439909,0.7323564912738503,1.2898754228998004,1.390232551128717,111.74768440314497,7,2
6,DRIVE_DOWN__STR_B80_100,3,LB180/H120;LB240/H120;LB360/H120,1,3,0.5730337078651685,0.5946266146908202,1.5194560078304868,2.1668376414007593,1.7793307234911364,108.58142384121987,8,3
7,DRIVE_DOWN__EXT_LOW,4,LB180/H240;LB240/H240;LB240/H360;LB240/H480,2,4,0.5694444444444444,0.6175820707070707,1.4538119531209384,3.547646156697151,2.7911501031442487,105.99712758044276,8,1
