visit_n,lane,parent_n,parent_pf,parent_net,parent_pf_5bps,parent_net_5bps,recovery_n,recovery_wr,recovery_pf,recovery_expectancy,recovery_net,recovery_wr_5bps,recovery_pf_5bps,recovery_expectancy_5bps,recovery_net_5bps,recovery_rescue_rate,recovery_rescue_rate_5bps,recovery_combined_pf,recovery_combined_expectancy,recovery_combined_net,recovery_combined_pf_5bps,recovery_combined_expectancy_5bps,recovery_combined_net_5bps,recovery_represented_parent_loss,recovery_overlay_pf,recovery_overlay_net,recovery_overlay_pf_5bps,recovery_overlay_net_5bps,adequate_blocks,positive_blocks_raw,positive_blocks_5bps,eligible,b1_n,b1_net,b1_net_5bps,b2_n,b2_net,b2_net_5bps,b3_n,b3_net,b3_net_5bps,b4_n,b4_net,b4_net_5bps,b5_n,b5_net,b5_net_5bps,b6_n,b6_net,b6_net_5bps
2,REC_H2,601,1.2780237033255166,338.9106208822296,1.1441769326833608,188.66062088222947,223,0.27802690582959644,1.7617935006780947,0.7795629772357823,173.84254392357946,0.26905829596412556,1.4393904381704359,0.5295629772357823,118.09254392357946,0.25112107623318386,0.24663677130044842,0.5970711610738515,-0.9195680000468403,-205.06366401044536,0.4661052405822609,-1.4195680000468403,-316.5636640104454,378.9062079340248,1.354306885021624,512.753164805809,1.1944799256696703,306.7531648058089,6,4,4,True,37,55.19498116958376,45.94498116958376,35,45.85579203802681,37.10579203802681,38,-18.35500665831896,-27.85500665831896,27,33.134540005920975,26.38454000592098,46,59.40003311900559,47.900033119005585,40,-1.387795750638741,-11.387795750638743
3,REC_H3,601,1.2780237033255166,338.9106208822296,1.1441769326833608,188.66062088222947,176,0.2159090909090909,1.1007803896043877,0.1334184220038104,23.48164227267063,0.21022727272727273,0.9233237360077665,-0.11658157799618972,-20.51835772732939,0.1875,0.1875,0.4132717026838222,-1.5138999538637599,-266.44639188002174,0.325663303022018,-2.0138999538637603,-354.4463918800218,289.92803415269236,1.249581939037259,362.39226315490015,1.1066802735367145,168.14226315490012,6,3,2,False,30,-2.540160247797966,-10.040160247797965,29,8.394622030338752,1.1446220303387502,26,24.004360950408255,17.504360950408255,19,-4.61444729628152,-9.364447296281522,39,-4.017035552737577,-13.767035552737584,33,2.254302388740691,-5.995697611259309
4,REC_H4,601,1.2780237033255166,338.9106208822296,1.1441769326833608,188.66062088222947,126,0.2222222222222222,1.4741951742182042,0.4613726676961262,58.13295612971191,0.20634920634920634,1.1805585904568352,0.21137266769612628,26.63295612971191,0.1984126984126984,0.19047619047619047,0.4385703633535808,-1.4070757394679188,-177.29154317295777,0.3440469931073441,-1.9070757394679188,-240.29154317295777,235.42449930266966,1.2959495920956106,397.04357701194147,1.147862555054616,215.2935770119414,6,4,4,False,21,22.368600844602955,17.118600844602955,20,21.36746129973327,16.367461299733264,18,9.572976155857782,5.072976155857781,19,-7.502983652025063,-12.252983652025062,28,-6.235458637877889,-13.235458637877887,20,18.562360119420863,13.562360119420859
