region_id,character_rule,cells,lookbacks,holds,strict_temporal_cells,median_expectancy,median_pf,median_max_dd,qualifies
1,EFF_HIGH__RV_LOW,5,240;360,240;360;480,2,1.8849132775924677,2.072569362266715,65.69901455039422,True
2,EFF_HIGH__RV_MID,1,60,360,0,0.5885982585297033,1.205126248718728,131.21703857120258,False
3,EFF_HIGH__RANGE_MID,2,180,360;480,0,1.7295036307072267,1.8064233700204302,79.84527686220707,False
4,EFF_HIGH__RANGE_MID,1,360,240,0,0.8234868370284948,1.3710877929174208,116.58972909505991,False
5,EFF_LOW__EXT_MID,1,120,360,0,0.5580566187945076,1.202154370421701,80.67092174980323,False
6,RV_LOW__RANGE_MID,2,180;240,480,1,2.3342364014289476,2.2695725800963658,57.430665533669135,False
7,RV_MID__RANGE_HIGH,1,60,360,0,0.43047250573458373,1.1639031327380025,95.77481193436599,False
8,RV_HIGH__RANGE_MID,4,240;360,240;360;480,1,1.9445871093851403,1.7350228859806307,59.528887771890325,True
