transition,partition,side,k,purity,n,target_break_n,opposite_break_n,no_break_n,target_break_prob,opposite_break_prob,no_break_prob
ASIA_TO_LONDON,external,LONG,1,ALL,104,67,7,30,0.6442307692307693,0.0673076923076923,0.28846153846153844
ASIA_TO_LONDON,external,LONG,1,OPP0,100,66,5,29,0.66,0.05,0.29
ASIA_TO_LONDON,external,LONG,2,ALL,24,15,1,8,0.625,0.041666666666666664,0.3333333333333333
ASIA_TO_LONDON,external,LONG,2,OPP0,24,15,1,8,0.625,0.041666666666666664,0.3333333333333333
ASIA_TO_LONDON,external,LONG,3,ALL,4,3,0,1,0.75,0.0,0.25
ASIA_TO_LONDON,external,LONG,3,OPP0,4,3,0,1,0.75,0.0,0.25
ASIA_TO_LONDON,external,SHORT,1,ALL,111,83,5,23,0.7477477477477478,0.04504504504504504,0.2072072072072072
ASIA_TO_LONDON,external,SHORT,1,OPP0,107,80,5,22,0.7476635514018691,0.04672897196261682,0.205607476635514
ASIA_TO_LONDON,external,SHORT,2,ALL,35,24,0,11,0.6857142857142857,0.0,0.3142857142857143
ASIA_TO_LONDON,external,SHORT,2,OPP0,31,21,0,10,0.6774193548387096,0.0,0.3225806451612903
ASIA_TO_LONDON,external,SHORT,3,ALL,6,6,0,0,1.0,0.0,0.0
ASIA_TO_LONDON,external,SHORT,3,OPP0,6,6,0,0,1.0,0.0,0.0
ASIA_TO_LONDON,development,LONG,1,ALL,164,108,6,50,0.6585365853658537,0.036585365853658534,0.3048780487804878
ASIA_TO_LONDON,development,LONG,1,OPP0,161,106,5,50,0.6583850931677019,0.031055900621118012,0.3105590062111801
ASIA_TO_LONDON,development,LONG,2,ALL,43,28,2,13,0.6511627906976745,0.046511627906976744,0.3023255813953488
ASIA_TO_LONDON,development,LONG,2,OPP0,43,28,2,13,0.6511627906976745,0.046511627906976744,0.3023255813953488
ASIA_TO_LONDON,development,LONG,3,ALL,8,7,1,0,0.875,0.125,0.0
ASIA_TO_LONDON,development,LONG,3,OPP0,8,7,1,0,0.875,0.125,0.0
ASIA_TO_LONDON,development,SHORT,1,ALL,155,105,8,42,0.6774193548387096,0.05161290322580645,0.2709677419354839
ASIA_TO_LONDON,development,SHORT,1,OPP0,150,103,8,39,0.6866666666666666,0.05333333333333334,0.26
ASIA_TO_LONDON,development,SHORT,2,ALL,44,29,3,12,0.6590909090909091,0.06818181818181818,0.2727272727272727
ASIA_TO_LONDON,development,SHORT,2,OPP0,44,29,3,12,0.6590909090909091,0.06818181818181818,0.2727272727272727
ASIA_TO_LONDON,development,SHORT,3,ALL,12,7,2,3,0.5833333333333334,0.16666666666666666,0.25
ASIA_TO_LONDON,development,SHORT,3,OPP0,12,7,2,3,0.5833333333333334,0.16666666666666666,0.25
ASIA_TO_LONDON,reference_validation,LONG,1,ALL,78,60,4,14,0.7692307692307693,0.05128205128205128,0.1794871794871795
ASIA_TO_LONDON,reference_validation,LONG,1,OPP0,77,59,4,14,0.7662337662337663,0.05194805194805195,0.18181818181818182
ASIA_TO_LONDON,reference_validation,LONG,2,ALL,18,12,1,5,0.6666666666666666,0.05555555555555555,0.2777777777777778
