source_tf,zone_kind,partition,signals,raw_wr,signal_coverage,oracle_tp_coverage,median_signals_week,median_tp_signals_week
D1,FLIP,development,3,0.0,0.01282051282051282,0.0,0.0,0.0
D1,FLIP,external,0,,0.0,0.0,0.0,0.0
D1,FLIP,reference_validation,1,1.0,0.012345679012345678,0.012345679012345678,0.0,0.0
D1,FLIP,august,0,,0.0,0.0,0.0,0.0
D1,ORIGIN,development,8,0.375,0.05128205128205128,0.019230769230769232,0.0,0.0
D1,ORIGIN,external,2,0.5,0.019417475728155338,0.009708737864077669,0.0,0.0
D1,ORIGIN,reference_validation,3,0.3333333333333333,0.037037037037037035,0.012345679012345678,0.0,0.0
D1,ORIGIN,august,0,,0.0,0.0,0.0,0.0
H1,FLIP,development,133,0.39097744360902253,0.532051282051282,0.2564102564102564,1.0,0.0
H1,FLIP,external,97,0.38144329896907214,0.6019417475728155,0.32038834951456313,1.0,0.0
H1,FLIP,reference_validation,82,0.32926829268292684,0.6296296296296297,0.2839506172839506,1.0,0.0
H1,FLIP,august,2,0.5,0.5,0.5,1.0,0.5
H1,ORIGIN,development,170,0.4294117647058823,0.7115384615384616,0.38461538461538464,1.0,0.0
H1,ORIGIN,external,100,0.35,0.6213592233009708,0.3106796116504854,1.0,0.0
H1,ORIGIN,reference_validation,99,0.3939393939393939,0.7037037037037037,0.345679012345679,1.0,0.0
H1,ORIGIN,august,2,0.5,0.5,0.5,1.0,0.5
H4,FLIP,development,25,0.48,0.14743589743589744,0.0641025641025641,0.0,0.0
H4,FLIP,external,20,0.25,0.1650485436893204,0.038834951456310676,0.0,0.0
H4,FLIP,reference_validation,22,0.4090909090909091,0.20987654320987653,0.09876543209876543,0.0,0.0
H4,FLIP,august,0,,0.0,0.0,0.0,0.0
H4,ORIGIN,development,44,0.36363636363636365,0.23076923076923078,0.09615384615384616,0.0,0.0
H4,ORIGIN,external,28,0.32142857142857145,0.23300970873786409,0.08737864077669903,0.0,0.0
H4,ORIGIN,reference_validation,18,0.5555555555555556,0.19753086419753085,0.1111111111111111,0.0,0.0
H4,ORIGIN,august,1,0.0,0.5,0.0,0.5,0.0
