role,partition,feature,win_n,fail_n,win_median,fail_median,gap_dev,effect_dev,gap_ext,gap_rv,support_same_direction,support_available,material_dev,central_replicated,strong_replicated
CENTRAL,development,parent_loss_R,14,13,0.0314132639106056,0.0305343511450381,0.0008789127655675008,0.020317697525849318,-0.005795823099936448,-0.02665957857826955,2,4,False,False,False
CENTRAL,development,parent_mfe_R,14,13,0.1390078065978339,0.1613157894736836,-0.022307982875849702,0.15311644169793456,0.02897114848400631,0.08516602461851275,2,4,False,False,False
CENTRAL,development,parent_mae_R,14,13,0.12959730778006046,0.1603053435114462,-0.030708035731385752,0.7100931970670536,-0.055639106682732156,-0.04728842734460531,3,4,True,True,True
CENTRAL,development,parent_hold_min,14,13,20.0,20.0,0.0,0.0,-7.5,2.5,0,4,False,False,False
CENTRAL,development,ref_width_pct,14,13,0.030897605869746252,0.0330234049374799,-0.002125799067733646,0.13659667749141433,-0.033178942353537244,0.023485521872756095,3,4,False,False,False
CENTRAL,development,exit_to_signal_min,14,13,7.5,10.0,-2.5,0.26666666666666666,0.0,-2.5,3,4,False,False,False
CENTRAL,development,signal_to_confirm_min,14,13,10.0,10.0,0.0,0.0,0.0,0.0,0,4,False,False,False
CENTRAL,development,signal_close_R,14,13,0.1013783574891028,0.0931586608442524,0.008219696644850408,0.060949815846822165,0.005721652378265052,-0.0033344985978240593,2,4,False,False,False
CENTRAL,development,confirm_close_R,14,13,0.21556683720045117,0.1603053435114516,0.055261493688999574,0.49684543749698384,0.10920343548987838,0.11099089318464689,3,4,False,False,False
CENTRAL,development,confirm_body_R,14,13,0.02278946491515165,0.062053281351528,-0.03926381643637635,0.441573060418858,0.0297778372047367,0.12195581911370795,2,4,False,False,False
CENTRAL,development,max_close_R_to_confirm,14,13,0.24105166223627417,0.1951219512195147,0.04592971101675947,0.47003019830302933,0.09690556772738546,0.07948653737414291,3,4,False,False,False
CENTRAL,development,running_mfe_R_to_confirm,14,13,0.3053598095949285,0.2519083969465699,0.053451412648358565,0.6551620250385275,0.09788768299115097,0.04509594130993527,3,4,True,True,True
CENTRAL,development,running_mae_R_to_confirm,14,13,0.08632357986941691,0.1121281464530877,-0.025804566583670793,0.35461589885729733,-0.0693414591807083,-0.07083592334343386,3,4,False,False,False
CENTRAL,development,above_H_frac_to_confirm,14,13,0.9,0.8,0.09999999999999998,0.3157894736842104,0.0,0.09999999999999998,3,4,False,False,False
CENTRAL,development,closes_above_H_to_confirm,14,13,4.0,4.0,0.0,0.0,0.0,0.0,0,4,False,False,False
CENTRAL,development,reentry_R,14,13,0.21695187875169647,0.1645569620253094,0.052394916726387075,0.4498492307302801,0.10041419352389383,0.11333347387061116,3,4,False,False,False
CENTRAL,development,preconfirm_30m_return_R,14,13,0.22908757853677458,0.1946068875893456,0.03448069094742898,0.2287606562649976,0.10158413354995838,0.10082938644203779,4,4,False,False,False
CENTRAL,development,preexit_60m_return_R,14,13,0.2239370355713874,0.2911392405063318,-0.06720220493494439,0.3908870911238707,0.12936572018708042,-0.003604521906358238,2,4,False,False,False
CENTRAL,development,preexit_60m_range_R,14,13,0.5749486652977401,0.6379965457685653,-0.06304788047082521,0.17317622945878122,0.053146967669680745,-0.037457591082408426,2,4,False,False,False
