feature,partition,n_follow,n_fake,median_follow,median_fake,smd,stable_discriminator
activation_age_h,development,89,47,3.25,4.5,-0.42892453245460765,False
activation_age_h,external,69,53,4.0,5.25,-0.4255067810358716,False
activation_age_h,reference_validation,32,31,3.9583333333333335,5.25,-0.1139740113079179,False
activation_bars_4h,development,89,47,0.0,1.0,-0.415369572274922,False
activation_bars_4h,external,69,53,1.0,1.0,-0.38930170495351774,False
activation_bars_4h,reference_validation,32,31,0.5,1.0,-0.08864979561399419,False
h4_spread,development,89,47,0.004969257670890187,0.0043898070983451574,-0.09531004547620342,False
h4_spread,external,69,53,0.010017166045548576,0.00605444012929854,0.19679016887547374,False
h4_spread,reference_validation,32,31,0.004284119995608255,0.0042021202852495,-0.2707416095708723,False
h4_spread_chg3,development,89,47,0.001818081721763582,0.001133878344214665,0.4028236956573757,False
h4_spread_chg3,external,69,53,0.0023621762654140494,0.0016521971234477947,0.16685660390492854,False
h4_spread_chg3,reference_validation,32,31,0.001702837967669359,0.0018538160719222274,-0.05784944541226553,False
h4_ema20_slope3,development,89,47,0.004779456082831305,0.0033173140623912354,0.3298457088568432,False
h4_ema20_slope3,external,69,53,0.007334859632131284,0.004623262361162147,0.36124497818354795,False
h4_ema20_slope3,reference_validation,32,31,0.003670384243437866,0.004502403561555162,-0.19183064239845585,False
h4_ema50_slope3,development,89,47,0.0025861581003733514,0.001902235649546812,0.17018494501555584,False
h4_ema50_slope3,external,69,53,0.004170436708312606,0.0030286222832260064,0.2998860013111795,False
h4_ema50_slope3,reference_validation,32,31,0.00206560907339247,0.0024366796190447137,-0.2767397401673894,False
h4_ext20,development,89,47,0.01855908660109743,0.011486733772703725,0.5046284185426595,False
h4_ext20,external,69,53,0.027573637346011294,0.017491814822370028,0.5542260476861889,False
h4_ext20,reference_validation,32,31,0.013978581101910359,0.013644584096645715,-0.1460739877153731,False
h4_atr_pct,development,89,47,0.014166451242508376,0.01400849892855048,-0.19390379538014324,False
h4_atr_pct,external,69,53,0.01986675685450957,0.01956963977339688,0.13450354606423123,False
h4_atr_pct,reference_validation,32,31,0.01033079365227766,0.011799969066874721,-0.2908969989947018,False
h1_strong,development,89,47,1.0,1.0,0.4456937827030922,False
h1_strong,external,69,53,1.0,1.0,0.6817414173701632,False
