partition,group,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,med_risk,med_hold,breakout_rate,primary_pass
external,ALL,1,1,0,1,0.0,0.0,-4.998080142795058,-4.998080142795058,0.009196160285590152,60.0,0.0,False
external,PRESSURE_2,1,1,0,1,0.0,0.0,-4.998080142795058,-4.998080142795058,0.009196160285590152,60.0,0.0,False
external,PRESSURE_3PLUS,0,0,0,0,,,,,,,,False
external,LONG,1,1,0,1,0.0,0.0,-4.998080142795058,-4.998080142795058,0.009196160285590152,60.0,0.0,False
external,SHORT,0,0,0,0,,,,,,,,False
development,ALL,1,1,0,1,0.0,0.0,-6.657956164707923,-6.657956164707923,0.01251591232941579,90.0,0.0,False
development,PRESSURE_2,1,1,0,1,0.0,0.0,-6.657956164707923,-6.657956164707923,0.01251591232941579,90.0,0.0,False
development,PRESSURE_3PLUS,0,0,0,0,,,,,,,,False
development,LONG,0,0,0,0,,,,,,,,False
development,SHORT,1,1,0,1,0.0,0.0,-6.657956164707923,-6.657956164707923,0.01251591232941579,90.0,0.0,False
reference_validation,ALL,0,0,0,0,,,,,,,,False
reference_validation,PRESSURE_2,0,0,0,0,,,,,,,,False
reference_validation,PRESSURE_3PLUS,0,0,0,0,,,,,,,,False
reference_validation,LONG,0,0,0,0,,,,,,,,False
reference_validation,SHORT,0,0,0,0,,,,,,,,False
august,ALL,0,0,0,0,,,,,,,,False
august,PRESSURE_2,0,0,0,0,,,,,,,,False
august,PRESSURE_3PLUS,0,0,0,0,,,,,,,,False
august,LONG,0,0,0,0,,,,,,,,False
august,SHORT,0,0,0,0,,,,,,,,False
