variant,partition,side,trades,positive_rate,tp_rate,mean_net_ret,total_net_ret,pf
S1_STACK,development,LONG,1490,0.28187919463087246,0.2557046979865772,-0.0012972556400110081,-1.9329109036164023,0.6656878271706202
S1_STACK,development,SHORT,1457,0.3260123541523679,0.3061084420041181,-0.0013358147187648114,-1.9462820452403302,0.6980645146573338
S1_STACK,external,LONG,1582,0.3388116308470291,0.3179519595448799,-0.0013632734586523055,-2.1566986115879474,0.7019473816267718
S1_STACK,external,SHORT,1234,0.34683954619124796,0.3354943273905997,-0.002039684458722606,-2.516970622063696,0.622965651264923
S1_STACK,reference_validation,LONG,517,0.23210831721470018,0.1895551257253385,-0.0013554858978036708,-0.7007862091644979,0.5904960725909786
S1_STACK,reference_validation,SHORT,761,0.3219448094612352,0.28777923784494086,-0.0014128396298255818,-1.0751709582972677,0.6743643211305131
S1_STACK,august,LONG,14,0.14285714285714285,0.14285714285714285,-0.0009548780668582493,-0.013368292936015491,0.5993713864341362
S1_STACK,august,SHORT,11,0.09090909090909091,0.09090909090909091,-0.0014979599637901667,-0.016477559601691835,0.37767831138641006
S2_STACK_SLOPE,development,LONG,1174,0.3049403747870528,0.272572402044293,-0.0011382502543797806,-1.3363057986418625,0.7081308198688416
S2_STACK_SLOPE,development,SHORT,1129,0.3516386182462356,0.31975199291408324,-0.0013048655628039954,-1.4731932204057108,0.714283092850472
S2_STACK_SLOPE,external,LONG,1266,0.3459715639810427,0.315955766192733,-0.001429716722932926,-1.8100213712330842,0.692791195254916
S2_STACK_SLOPE,external,SHORT,914,0.33916849015317285,0.324945295404814,-0.002315566848805113,-2.116428099807873,0.5856057151980992
S2_STACK_SLOPE,reference_validation,LONG,375,0.22666666666666666,0.18666666666666668,-0.0015516122630330224,-0.5818545986373834,0.5541357530740245
S2_STACK_SLOPE,reference_validation,SHORT,597,0.3316582914572864,0.2964824120603015,-0.0015515876169336917,-0.926297807309414,0.660236497503591
S2_STACK_SLOPE,august,LONG,4,0.5,0.5,0.0029392194958129635,0.011756877983251854,2.4262651892528773
S2_STACK_SLOPE,august,SHORT,11,0.09090909090909091,0.09090909090909091,-0.001784744906988544,-0.019632193976873984,0.33747079300993893
S3_STACK_MOMENTUM,development,LONG,1191,0.25272879932829556,0.1486146095717884,-0.0013595972588034504,-1.6192803352349094,0.5534680842579286
S3_STACK_MOMENTUM,development,SHORT,1002,0.2874251497005988,0.20758483033932135,-0.0015240433952046026,-1.5270914819950119,0.5933080713491027
S3_STACK_MOMENTUM,external,LONG,1062,0.2928436911487759,0.20527306967984935,-0.0012516711413431748,-1.3292747521064516,0.6395447628961299
S3_STACK_MOMENTUM,external,SHORT,617,0.30307941653160453,0.2593192868719611,-0.002354255197681625,-1.4525754569695626,0.5319357649237102
S3_STACK_MOMENTUM,reference_validation,LONG,411,0.2116788321167883,0.08029197080291971,-0.0013528031839342778,-0.5560021085969882,0.4502651644096902
S3_STACK_MOMENTUM,reference_validation,SHORT,529,0.30623818525519847,0.22684310018903592,-0.0011481511811891763,-0.6073719748490742,0.6774779626967584
S3_STACK_MOMENTUM,august,LONG,5,0.2,0.2,0.0003257828974938086,0.001628914487469043,1.1945882030509265
S3_STACK_MOMENTUM,august,SHORT,16,0.1875,0.0,-0.0013028203192960567,-0.020845125108736907,0.2292733944644464
S4_STACK_MOMENTUM_FLOW,development,LONG,990,0.2494949494949495,0.13535353535353536,-0.0015023582414685774,-1.4873346590538916,0.5110178096817927
S4_STACK_MOMENTUM_FLOW,development,SHORT,879,0.2923777019340159,0.19681456200227532,-0.0014326962211700025,-1.2593399784084323,0.6046640216263063
S4_STACK_MOMENTUM_FLOW,external,LONG,751,0.3235685752330226,0.20239680426098536,-0.0010415515041960622,-0.7822051796512428,0.685032170679358
S4_STACK_MOMENTUM_FLOW,external,SHORT,502,0.3187250996015936,0.23904382470119523,-0.0023707006497106892,-1.1900917261547659,0.5170085455310383
S4_STACK_MOMENTUM_FLOW,reference_validation,LONG,340,0.19705882352941176,0.058823529411764705,-0.0016864745556717333,-0.5734013489283893,0.33902682949655816
S4_STACK_MOMENTUM_FLOW,reference_validation,SHORT,438,0.317351598173516,0.2191780821917808,-0.0011046733652553195,-0.48384693398183,0.6859297355628968
S4_STACK_MOMENTUM_FLOW,august,LONG,5,0.2,0.2,0.00023901090178179914,0.0011950545089089958,1.1357253727599077
S4_STACK_MOMENTUM_FLOW,august,SHORT,12,0.16666666666666666,0.0,-0.0017057634674648794,-0.020469161609578554,0.124298476852397
