episode_id,partition,origin_state,outcome,transition,n_intervals,first_close_break_age,first_sideways_ts,decisive_4h_start,decisive_4h_end,frozen_boundary,first_break_pos,minutes_remaining_after_first_break,reclaim_after_break,no_reclaim,acceptance_share,final_acceptance_streak
249,external,BULL,RESUME,False,26,1,2020-12-08 12:00:00+00:00,2020-12-08 08:00:00+00:00,2020-12-08 12:00:00+00:00,18855.35,20,140.0,True,False,0.9310344827586207,19
251,external,BULL,RESUME,False,7,1,2020-12-21 12:00:00+00:00,2020-12-21 08:00:00+00:00,2020-12-21 12:00:00+00:00,23100.0,28,100.0,False,True,1.0,21
291,external,BULL,TRANSITION,True,8,2,2021-02-22 12:00:00+00:00,2021-02-22 12:00:00+00:00,2021-02-22 16:00:00+00:00,53905.0,3,225.0,True,False,0.9565217391304348,35
309,external,BULL,TRANSITION,True,16,2,2021-03-21 00:00:00+00:00,2021-03-21 00:00:00+00:00,2021-03-21 04:00:00+00:00,57881.0,31,85.0,False,True,1.0,18
311,external,BEAR,RESUME,False,2,1,2021-03-24 12:00:00+00:00,2021-03-24 08:00:00+00:00,2021-03-24 12:00:00+00:00,55890.68,2,230.0,False,True,1.0,47
319,external,BULL,TRANSITION,True,13,2,2021-04-16 08:00:00+00:00,2021-04-16 08:00:00+00:00,2021-04-16 12:00:00+00:00,61404.0,1,235.0,True,False,0.8125,38
323,external,BEAR,TRANSITION,True,2,1,2021-04-26 04:00:00+00:00,2021-04-26 00:00:00+00:00,2021-04-26 04:00:00+00:00,51278.54,19,145.0,False,True,1.0,30
325,external,BULL,TRANSITION,True,3,1,2021-04-29 16:00:00+00:00,2021-04-29 12:00:00+00:00,2021-04-29 16:00:00+00:00,53852.0,20,140.0,True,False,0.8275862068965517,2
332,external,BULL,TRANSITION,True,3,1,2021-05-06 20:00:00+00:00,2021-05-06 16:00:00+00:00,2021-05-06 20:00:00+00:00,56423.01,31,85.0,False,True,1.0,18
353,external,BEAR,TRANSITION,True,2,1,2021-05-31 12:00:00+00:00,2021-05-31 08:00:00+00:00,2021-05-31 12:00:00+00:00,36501.0,25,115.0,True,False,0.9583333333333334,22
363,external,BULL,TRANSITION,True,2,1,2021-06-12 04:00:00+00:00,2021-06-12 00:00:00+00:00,2021-06-12 04:00:00+00:00,35750.0,31,85.0,True,False,0.7222222222222222,8
367,external,BULL,RESUME,False,5,1,2021-06-16 12:00:00+00:00,2021-06-16 08:00:00+00:00,2021-06-16 12:00:00+00:00,39527.0,37,55.0,False,True,1.0,12
370,external,BEAR,RESUME,False,3,1,2021-06-23 04:00:00+00:00,2021-06-23 00:00:00+00:00,2021-06-23 04:00:00+00:00,33240.0,9,195.0,False,True,1.0,40
386,external,BULL,TRANSITION,True,2,2,2021-07-05 04:00:00+00:00,2021-07-05 04:00:00+00:00,2021-07-05 08:00:00+00:00,34251.0,2,230.0,True,False,0.5531914893617021,12
407,external,BULL,RESUME,False,2,1,2021-07-30 12:00:00+00:00,2021-07-30 08:00:00+00:00,2021-07-30 12:00:00+00:00,39365.33,9,195.0,False,True,1.0,40
409,external,BULL,TRANSITION,True,2,1,2021-08-02 00:00:00+00:00,2021-08-01 20:00:00+00:00,2021-08-02 00:00:00+00:00,41030.19,16,160.0,True,False,0.6666666666666666,21
418,external,BULL,RESUME,False,3,1,2021-08-15 08:00:00+00:00,2021-08-15 04:00:00+00:00,2021-08-15 08:00:00+00:00,46000.0,46,10.0,False,True,1.0,3
424,external,BEAR,TRANSITION,True,2,2,2021-08-19 16:00:00+00:00,2021-08-19 16:00:00+00:00,2021-08-19 20:00:00+00:00,46050.0,30,90.0,False,True,1.0,19
426,external,BULL,TRANSITION,True,2,1,2021-08-24 16:00:00+00:00,2021-08-24 12:00:00+00:00,2021-08-24 16:00:00+00:00,48801.01,19,145.0,False,True,1.0,30
475,external,BEAR,TRANSITION,True,2,1,2021-10-25 04:00:00+00:00,2021-10-25 00:00:00+00:00,2021-10-25 04:00:00+00:00,61780.0,12,180.0,True,False,0.8108108108108109,15
484,external,BULL,TRANSITION,True,2,2,2021-10-31 08:00:00+00:00,2021-10-31 08:00:00+00:00,2021-10-31 12:00:00+00:00,60631.23,25,115.0,True,False,0.3333333333333333,5
499,external,BEAR,TRANSITION,True,3,2,2021-11-07 00:00:00+00:00,2021-11-07 00:00:00+00:00,2021-11-07 04:00:00+00:00,61645.75,12,180.0,False,True,1.0,37
501,external,BULL,TRANSITION,True,3,1,2021-11-11 00:00:00+00:00,2021-11-10 20:00:00+00:00,2021-11-11 00:00:00+00:00,66300.0,10,190.0,False,True,1.0,39
510,external,BEAR,RESUME,False,2,1,2021-11-20 20:00:00+00:00,2021-11-20 16:00:00+00:00,2021-11-20 20:00:00+00:00,58980.0,29,95.0,False,True,1.0,20
529,external,BEAR,TRANSITION,True,4,1,2021-12-07 00:00:00+00:00,2021-12-06 20:00:00+00:00,2021-12-07 00:00:00+00:00,49699.49,22,130.0,False,True,1.0,27
549,external,BEAR,RESUME,False,2,1,2021-12-19 04:00:00+00:00,2021-12-19 00:00:00+00:00,2021-12-19 04:00:00+00:00,47336.99,39,45.0,False,True,1.0,10
555,external,BULL,RESUME,False,4,1,2021-12-26 04:00:00+00:00,2021-12-26 00:00:00+00:00,2021-12-26 04:00:00+00:00,50379.25,9,195.0,True,False,0.55,20
559,external,BEAR,RESUME,False,2,1,2021-12-31 12:00:00+00:00,2021-12-31 08:00:00+00:00,2021-12-31 12:00:00+00:00,47911.68,7,205.0,False,True,1.0,42
586,development,BEAR,RESUME,False,2,1,2022-01-25 00:00:00+00:00,2022-01-24 20:00:00+00:00,2022-01-25 00:00:00+00:00,36118.05,3,225.0,True,False,0.9347826086956522,42
597,development,BULL,TRANSITION,True,2,1,2022-01-31 04:00:00+00:00,2022-01-31 00:00:00+00:00,2022-01-31 04:00:00+00:00,37252.0,9,195.0,False,True,1.0,40
613,development,BEAR,RESUME,False,2,1,2022-02-23 12:00:00+00:00,2022-02-23 08:00:00+00:00,2022-02-23 12:00:00+00:00,38450.0,6,210.0,False,True,1.0,43
620,development,BULL,TRANSITION,True,3,1,2022-03-03 16:00:00+00:00,2022-03-03 12:00:00+00:00,2022-03-03 16:00:00+00:00,43321.0,38,50.0,False,True,1.0,11
657,development,BEAR,RESUME,False,5,1,2022-04-13 16:00:00+00:00,2022-04-13 12:00:00+00:00,2022-04-13 16:00:00+00:00,40700.0,28,100.0,True,False,0.6666666666666666,12
663,development,BEAR,TRANSITION,True,2,1,2022-04-18 20:00:00+00:00,2022-04-18 16:00:00+00:00,2022-04-18 20:00:00+00:00,40574.1,28,100.0,True,False,0.6190476190476191,1
665,development,BULL,TRANSITION,True,3,2,2022-04-21 20:00:00+00:00,2022-04-21 20:00:00+00:00,2022-04-22 00:00:00+00:00,40800.0,8,200.0,True,False,0.975609756097561,34
667,development,BEAR,TRANSITION,True,2,1,2022-04-25 20:00:00+00:00,2022-04-25 16:00:00+00:00,2022-04-25 20:00:00+00:00,40000.0,34,70.0,True,False,0.7333333333333333,9
673,development,BEAR,RESUME,False,2,2,2022-05-02 04:00:00+00:00,2022-05-02 04:00:00+00:00,2022-05-02 08:00:00+00:00,38680.6,1,235.0,True,False,0.875,41
711,development,BULL,TRANSITION,True,2,1,2022-06-01 16:00:00+00:00,2022-06-01 12:00:00+00:00,2022-06-01 16:00:00+00:00,31222.0,32,80.0,True,False,0.9411764705882353,13
715,development,BEAR,RESUME,False,2,2,2022-06-05 16:00:00+00:00,2022-06-05 16:00:00+00:00,2022-06-05 20:00:00+00:00,29988.0,2,230.0,True,False,0.44680851063829785,3
766,development,BULL,TRANSITION,True,2,1,2022-08-01 00:00:00+00:00,2022-07-31 20:00:00+00:00,2022-08-01 00:00:00+00:00,23426.3,29,95.0,False,True,1.0,20
786,development,BULL,TRANSITION,True,2,1,2022-08-15 08:00:00+00:00,2022-08-15 04:00:00+00:00,2022-08-15 08:00:00+00:00,24138.0,36,60.0,True,False,0.9230769230769231,11
798,development,BEAR,RESUME,False,4,1,2022-08-30 00:00:00+00:00,2022-08-29 20:00:00+00:00,2022-08-30 00:00:00+00:00,20140.0,3,225.0,True,False,0.9130434782608695,10
850,development,BEAR,TRANSITION,True,2,1,2022-10-13 20:00:00+00:00,2022-10-13 16:00:00+00:00,2022-10-13 20:00:00+00:00,19260.0,34,70.0,False,True,1.0,15
876,development,BULL,TRANSITION,True,2,1,2022-11-07 00:00:00+00:00,2022-11-06 20:00:00+00:00,2022-11-07 00:00:00+00:00,21133.8,23,125.0,True,False,0.9230769230769231,14
900,development,BEAR,TRANSITION,True,4,1,2022-11-29 08:00:00+00:00,2022-11-29 04:00:00+00:00,2022-11-29 08:00:00+00:00,16390.4,6,210.0,False,True,1.0,43
914,development,BULL,TRANSITION,True,3,1,2022-12-15 16:00:00+00:00,2022-12-15 12:00:00+00:00,2022-12-15 16:00:00+00:00,17560.0,16,160.0,False,True,1.0,33
916,development,BEAR,TRANSITION,True,4,1,2022-12-20 08:00:00+00:00,2022-12-20 04:00:00+00:00,2022-12-20 08:00:00+00:00,16795.0,9,195.0,True,False,0.25,2
953,development,BULL,TRANSITION,True,3,1,2023-02-03 20:00:00+00:00,2023-02-03 16:00:00+00:00,2023-02-03 20:00:00+00:00,23365.0,41,35.0,True,False,0.25,1
957,development,BEAR,TRANSITION,True,3,2,2023-02-07 20:00:00+00:00,2023-02-07 20:00:00+00:00,2023-02-08 00:00:00+00:00,23159.4,6,210.0,True,False,0.9767441860465116,19
992,development,BULL,TRANSITION,True,2,1,2023-03-22 20:00:00+00:00,2023-03-22 16:00:00+00:00,2023-03-22 20:00:00+00:00,27288.0,44,20.0,False,True,1.0,5
1001,development,BEAR,TRANSITION,True,2,1,2023-03-26 12:00:00+00:00,2023-03-26 08:00:00+00:00,2023-03-26 12:00:00+00:00,27788.0,48,0.0,False,True,1.0,1
1046,development,BULL,TRANSITION,True,2,1,2023-05-06 16:00:00+00:00,2023-05-06 12:00:00+00:00,2023-05-06 16:00:00+00:00,28660.0,26,110.0,True,False,0.9565217391304348,21
1066,development,BEAR,TRANSITION,True,2,1,2023-05-26 16:00:00+00:00,2023-05-26 12:00:00+00:00,2023-05-26 16:00:00+00:00,26644.0,29,95.0,False,True,1.0,20
1109,development,BULL,RESUME,False,2,1,2023-06-30 16:00:00+00:00,2023-06-30 12:00:00+00:00,2023-06-30 16:00:00+00:00,30222.0,20,140.0,True,False,0.9310344827586207,21
1189,development,BULL,TRANSITION,True,2,1,2023-08-31 16:00:00+00:00,2023-08-31 12:00:00+00:00,2023-08-31 16:00:00+00:00,26950.0,45,15.0,False,True,1.0,4
1244,development,BEAR,TRANSITION,True,2,2,2023-11-15 16:00:00+00:00,2023-11-15 16:00:00+00:00,2023-11-15 20:00:00+00:00,37258.4,34,70.0,False,True,1.0,15
1267,development,BEAR,TRANSITION,True,3,2,2023-12-13 16:00:00+00:00,2023-12-13 16:00:00+00:00,2023-12-13 20:00:00+00:00,42125.0,2,230.0,True,False,0.46808510638297873,14
1289,development,BULL,TRANSITION,True,2,1,2024-01-03 12:00:00+00:00,2024-01-03 08:00:00+00:00,2024-01-03 12:00:00+00:00,44598.0,41,35.0,False,True,1.0,8
1312,development,BULL,TRANSITION,True,2,2,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,2024-02-01 04:00:00+00:00,42341.0,8,200.0,True,False,0.8780487804878049,35
1327,development,BULL,RESUME,False,2,1,2024-02-17 16:00:00+00:00,2024-02-17 12:00:00+00:00,2024-02-17 16:00:00+00:00,51334.9,19,145.0,True,False,0.9666666666666667,19
1344,development,BULL,RESUME,False,3,1,2024-03-05 20:00:00+00:00,2024-03-05 16:00:00+00:00,2024-03-05 20:00:00+00:00,65021.1,14,170.0,True,False,0.8,21
1365,development,BULL,TRANSITION,True,2,2,2024-04-01 08:00:00+00:00,2024-04-01 08:00:00+00:00,2024-04-01 12:00:00+00:00,69577.2,1,235.0,True,False,0.75,6
1367,development,BEAR,TRANSITION,True,2,1,2024-04-04 16:00:00+00:00,2024-04-04 12:00:00+00:00,2024-04-04 16:00:00+00:00,66940.0,15,165.0,False,True,1.0,34
1403,development,BULL,RESUME,False,2,1,2024-05-19 20:00:00+00:00,2024-05-19 16:00:00+00:00,2024-05-19 20:00:00+00:00,66503.2,37,55.0,False,True,1.0,12
1442,development,BEAR,RESUME,False,2,1,2024-06-20 08:00:00+00:00,2024-06-20 04:00:00+00:00,2024-06-20 08:00:00+00:00,65711.9,40,40.0,False,True,1.0,9
1450,development,BULL,TRANSITION,True,3,1,2024-07-02 16:00:00+00:00,2024-07-02 12:00:00+00:00,2024-07-02 16:00:00+00:00,62502.2,27,105.0,False,True,1.0,22
1452,development,BEAR,RESUME,False,3,1,2024-07-06 20:00:00+00:00,2024-07-06 16:00:00+00:00,2024-07-06 20:00:00+00:00,57000.0,1,235.0,False,True,1.0,48
1466,development,BULL,RESUME,False,2,1,2024-07-18 16:00:00+00:00,2024-07-18 12:00:00+00:00,2024-07-18 16:00:00+00:00,63823.0,37,55.0,True,False,0.9166666666666666,4
1478,development,BULL,TRANSITION,True,2,2,2024-08-11 20:00:00+00:00,2024-08-11 20:00:00+00:00,2024-08-12 00:00:00+00:00,59500.0,1,235.0,False,True,1.0,48
1499,development,BULL,TRANSITION,True,4,1,2024-08-26 20:00:00+00:00,2024-08-26 16:00:00+00:00,2024-08-26 20:00:00+00:00,63522.7,1,235.0,True,False,0.5208333333333334,9
1503,development,BEAR,TRANSITION,True,2,1,2024-09-03 00:00:00+00:00,2024-09-02 20:00:00+00:00,2024-09-03 00:00:00+00:00,58787.2,11,185.0,False,True,1.0,38
1508,development,BEAR,TRANSITION,True,4,1,2024-09-09 04:00:00+00:00,2024-09-09 00:00:00+00:00,2024-09-09 04:00:00+00:00,54820.2,2,230.0,True,False,0.9148936170212766,8
1510,development,BULL,TRANSITION,True,3,1,2024-09-16 00:00:00+00:00,2024-09-15 20:00:00+00:00,2024-09-16 00:00:00+00:00,59360.1,37,55.0,False,True,1.0,12
1542,development,BULL,TRANSITION,True,2,1,2024-10-21 16:00:00+00:00,2024-10-21 12:00:00+00:00,2024-10-21 16:00:00+00:00,68000.0,16,160.0,False,True,1.0,33
1551,development,BULL,TRANSITION,True,3,1,2024-10-31 16:00:00+00:00,2024-10-31 12:00:00+00:00,2024-10-31 16:00:00+00:00,71444.2,23,125.0,False,True,1.0,26
1555,development,BEAR,TRANSITION,True,2,1,2024-11-05 16:00:00+00:00,2024-11-05 12:00:00+00:00,2024-11-05 16:00:00+00:00,69495.3,31,85.0,True,False,0.8888888888888888,5
1563,development,BULL,TRANSITION,True,2,2,2024-11-24 12:00:00+00:00,2024-11-24 12:00:00+00:00,2024-11-24 16:00:00+00:00,97199.9,7,205.0,True,False,0.7619047619047619,24
1569,development,BULL,TRANSITION,True,2,2,2024-12-02 04:00:00+00:00,2024-12-02 04:00:00+00:00,2024-12-02 08:00:00+00:00,96150.0,41,35.0,False,True,1.0,8
1587,development,BEAR,TRANSITION,True,2,1,2024-12-24 16:00:00+00:00,2024-12-24 12:00:00+00:00,2024-12-24 16:00:00+00:00,96499.0,29,95.0,False,True,1.0,20
1589,development,BULL,TRANSITION,True,2,1,2024-12-26 12:00:00+00:00,2024-12-26 08:00:00+00:00,2024-12-26 12:00:00+00:00,97570.0,1,235.0,False,True,1.0,48
1597,reference_validation,BULL,TRANSITION,True,2,2,2025-01-07 16:00:00+00:00,2025-01-07 16:00:00+00:00,2025-01-07 20:00:00+00:00,97438.2,14,170.0,True,False,0.9428571428571428,22
1605,reference_validation,BULL,RESUME,False,2,1,2025-01-20 00:00:00+00:00,2025-01-19 20:00:00+00:00,2025-01-20 00:00:00+00:00,103458.6,25,115.0,True,False,0.7916666666666666,17
1677,reference_validation,BULL,TRANSITION,True,3,1,2025-03-16 12:00:00+00:00,2025-03-16 08:00:00+00:00,2025-03-16 12:00:00+00:00,83564.5,37,55.0,False,True,1.0,12
1701,reference_validation,BEAR,TRANSITION,True,2,2,2025-04-01 08:00:00+00:00,2025-04-01 08:00:00+00:00,2025-04-01 12:00:00+00:00,83490.0,1,235.0,False,True,1.0,48
1703,reference_validation,BULL,TRANSITION,True,3,1,2025-04-03 00:00:00+00:00,2025-04-02 20:00:00+00:00,2025-04-03 00:00:00+00:00,83846.0,27,105.0,False,True,1.0,22
1725,reference_validation,BULL,TRANSITION,True,2,2,2025-04-20 08:00:00+00:00,2025-04-20 08:00:00+00:00,2025-04-20 12:00:00+00:00,84613.5,7,205.0,True,False,0.9285714285714286,38
1739,reference_validation,BULL,TRANSITION,True,3,1,2025-05-04 00:00:00+00:00,2025-05-03 20:00:00+00:00,2025-05-04 00:00:00+00:00,95804.8,48,0.0,False,True,1.0,1
1743,reference_validation,BULL,TRANSITION,True,3,1,2025-05-12 16:00:00+00:00,2025-05-12 12:00:00+00:00,2025-05-12 16:00:00+00:00,102940.0,30,90.0,True,False,0.6842105263157895,7
1783,reference_validation,BULL,TRANSITION,True,2,1,2025-06-12 04:00:00+00:00,2025-06-12 00:00:00+00:00,2025-06-12 04:00:00+00:00,108282.0,37,55.0,True,False,0.9166666666666666,10
1794,reference_validation,BULL,TRANSITION,True,2,1,2025-07-01 00:00:00+00:00,2025-06-30 20:00:00+00:00,2025-07-01 00:00:00+00:00,107203.8,23,125.0,True,False,0.8076923076923077,15
1809,reference_validation,BULL,TRANSITION,True,3,2,2025-07-15 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-15 08:00:00+00:00,116862.4,2,230.0,True,False,0.1702127659574468,6
1861,reference_validation,BULL,TRANSITION,True,2,2,2025-08-24 12:00:00+00:00,2025-08-24 12:00:00+00:00,2025-08-24 16:00:00+00:00,114510.0,25,115.0,True,False,0.5416666666666666,2
1888,reference_validation,BULL,RESUME,False,2,1,2025-09-09 16:00:00+00:00,2025-09-09 12:00:00+00:00,2025-09-09 16:00:00+00:00,111050.0,44,20.0,False,True,1.0,5
1896,reference_validation,BULL,TRANSITION,True,19,1,2025-09-19 12:00:00+00:00,2025-09-19 08:00:00+00:00,2025-09-19 12:00:00+00:00,116489.7,23,125.0,True,False,0.9615384615384616,11
1898,reference_validation,BEAR,RESUME,False,3,1,2025-09-24 16:00:00+00:00,2025-09-24 12:00:00+00:00,2025-09-24 16:00:00+00:00,113254.8,33,75.0,False,True,1.0,16
1900,reference_validation,BEAR,TRANSITION,True,2,1,2025-09-28 16:00:00+00:00,2025-09-28 12:00:00+00:00,2025-09-28 16:00:00+00:00,109749.9,35,65.0,True,False,0.8571428571428571,7
1902,reference_validation,BULL,RESUME,False,8,1,2025-10-07 16:00:00+00:00,2025-10-07 12:00:00+00:00,2025-10-07 16:00:00+00:00,122160.0,38,50.0,True,False,0.9090909090909091,7
1918,reference_validation,BEAR,TRANSITION,True,2,1,2025-10-23 08:00:00+00:00,2025-10-23 04:00:00+00:00,2025-10-23 08:00:00+00:00,109160.0,28,100.0,False,True,1.0,21
1920,reference_validation,BULL,RESUME,False,2,1,2025-10-29 00:00:00+00:00,2025-10-28 20:00:00+00:00,2025-10-29 00:00:00+00:00,113422.0,1,235.0,False,True,1.0,48
1922,reference_validation,BULL,TRANSITION,True,4,1,2025-10-29 12:00:00+00:00,2025-10-29 08:00:00+00:00,2025-10-29 12:00:00+00:00,113422.0,2,230.0,False,True,1.0,47
1930,reference_validation,BEAR,RESUME,False,2,1,2025-11-07 20:00:00+00:00,2025-11-07 16:00:00+00:00,2025-11-07 20:00:00+00:00,102480.4,19,145.0,True,False,0.7666666666666667,10
1940,reference_validation,BEAR,TRANSITION,True,3,1,2025-11-23 16:00:00+00:00,2025-11-23 12:00:00+00:00,2025-11-23 16:00:00+00:00,85599.9,1,235.0,False,True,1.0,48
1952,reference_validation,BULL,TRANSITION,True,2,2,2025-12-05 12:00:00+00:00,2025-12-05 12:00:00+00:00,2025-12-05 16:00:00+00:00,90822.5,18,150.0,True,False,0.6451612903225806,2
1954,reference_validation,BEAR,TRANSITION,True,2,1,2025-12-07 20:00:00+00:00,2025-12-07 16:00:00+00:00,2025-12-07 20:00:00+00:00,90257.3,16,160.0,False,True,1.0,33
1972,reference_validation,BULL,TRANSITION,True,2,2,2025-12-23 04:00:00+00:00,2025-12-23 04:00:00+00:00,2025-12-23 08:00:00+00:00,87698.5,19,145.0,True,False,0.8333333333333334,22
2002,reference_validation,BULL,RESUME,False,2,1,2026-01-16 16:00:00+00:00,2026-01-16 12:00:00+00:00,2026-01-16 16:00:00+00:00,95080.0,40,40.0,False,True,1.0,9
2015,reference_validation,BEAR,TRANSITION,True,2,2,2026-01-27 20:00:00+00:00,2026-01-27 20:00:00+00:00,2026-01-28 00:00:00+00:00,88834.1,4,220.0,False,True,1.0,45
2027,reference_validation,BEAR,TRANSITION,True,2,1,2026-02-13 16:00:00+00:00,2026-02-13 12:00:00+00:00,2026-02-13 16:00:00+00:00,68385.0,42,30.0,False,True,1.0,7
2037,reference_validation,BULL,TRANSITION,True,3,1,2026-02-22 16:00:00+00:00,2026-02-22 12:00:00+00:00,2026-02-22 16:00:00+00:00,67763.7,20,140.0,True,False,0.9655172413793104,4
2043,reference_validation,BULL,TRANSITION,True,2,1,2026-02-27 12:00:00+00:00,2026-02-27 08:00:00+00:00,2026-02-27 12:00:00+00:00,66462.0,40,40.0,True,False,0.7777777777777778,6
2056,reference_validation,BEAR,TRANSITION,True,2,1,2026-03-09 16:00:00+00:00,2026-03-09 12:00:00+00:00,2026-03-09 16:00:00+00:00,68171.6,8,200.0,True,False,0.9024390243902439,36
2066,reference_validation,BULL,TRANSITION,True,2,1,2026-03-18 12:00:00+00:00,2026-03-18 08:00:00+00:00,2026-03-18 12:00:00+00:00,73330.3,43,25.0,False,True,1.0,6
