episode_id,partition,origin_state,outcome,transition,n_intervals,first_close_break_age,first_sideways_ts,decisive_4h_start,decisive_4h_end,frozen_boundary,first_break_pos,minutes_remaining_after_first_break,reclaim_after_break,no_reclaim,acceptance_share,final_acceptance_streak
5,external,BULL,RESUME,False,4,1,2020-01-10 00:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,7870.11,11,185.0,False,True,1.0,38
7,external,BULL,TRANSITION,True,32,1,2020-01-19 12:00:00+00:00,2020-01-19 08:00:00+00:00,2020-01-19 12:00:00+00:00,8816.0,37,55.0,False,True,1.0,12
9,external,BEAR,TRANSITION,True,2,1,2020-01-26 12:00:00+00:00,2020-01-26 08:00:00+00:00,2020-01-26 12:00:00+00:00,8425.0,6,210.0,True,False,0.627906976744186,16
25,external,BULL,TRANSITION,True,9,1,2020-02-15 16:00:00+00:00,2020-02-15 12:00:00+00:00,2020-02-15 16:00:00+00:00,10101.0,47,5.0,False,True,1.0,2
29,external,BULL,TRANSITION,True,2,1,2020-02-20 00:00:00+00:00,2020-02-19 20:00:00+00:00,2020-02-20 00:00:00+00:00,10026.08,19,145.0,False,True,1.0,30
39,external,BEAR,TRANSITION,True,2,2,2020-03-02 12:00:00+00:00,2020-03-02 12:00:00+00:00,2020-03-02 16:00:00+00:00,8809.05,17,155.0,True,False,0.8125,2
45,external,BULL,TRANSITION,True,34,1,2020-03-07 20:00:00+00:00,2020-03-07 16:00:00+00:00,2020-03-07 20:00:00+00:00,8994.14,13,175.0,False,True,1.0,36
59,external,BULL,RESUME,False,18,1,2020-03-28 00:00:00+00:00,2020-03-27 20:00:00+00:00,2020-03-28 00:00:00+00:00,6436.26,45,15.0,False,True,1.0,4
61,external,BULL,TRANSITION,True,2,2,2020-04-01 08:00:00+00:00,2020-04-01 08:00:00+00:00,2020-04-01 12:00:00+00:00,6320.0,1,235.0,False,True,1.0,48
66,external,BULL,TRANSITION,True,5,2,2020-04-10 04:00:00+00:00,2020-04-10 04:00:00+00:00,2020-04-10 08:00:00+00:00,7070.43,13,175.0,False,True,1.0,36
68,external,BEAR,RESUME,False,2,1,2020-04-12 16:00:00+00:00,2020-04-12 12:00:00+00:00,2020-04-12 16:00:00+00:00,6908.0,7,205.0,True,False,0.6190476190476191,23
78,external,BULL,TRANSITION,True,5,1,2020-04-20 12:00:00+00:00,2020-04-20 08:00:00+00:00,2020-04-20 12:00:00+00:00,7055.0,31,85.0,True,False,0.3888888888888889,5
80,external,BEAR,TRANSITION,True,2,1,2020-04-22 12:00:00+00:00,2020-04-22 08:00:00+00:00,2020-04-22 12:00:00+00:00,6940.0,4,220.0,True,False,0.5555555555555556,2
82,external,BULL,RESUME,False,3,2,2020-05-04 04:00:00+00:00,2020-05-04 04:00:00+00:00,2020-05-04 08:00:00+00:00,8656.0,8,200.0,True,False,0.8048780487804879,3
84,external,BULL,RESUME,False,22,2,2020-05-10 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-10 04:00:00+00:00,9528.23,1,235.0,False,True,1.0,48
92,external,BULL,TRANSITION,True,9,1,2020-05-20 16:00:00+00:00,2020-05-20 12:00:00+00:00,2020-05-20 16:00:00+00:00,9450.0,47,5.0,False,True,1.0,2
108,external,BULL,RESUME,False,28,1,2020-06-11 16:00:00+00:00,2020-06-11 12:00:00+00:00,2020-06-11 16:00:00+00:00,9681.21,19,145.0,False,True,1.0,30
116,external,BEAR,TRANSITION,True,2,2,2020-06-29 20:00:00+00:00,2020-06-29 20:00:00+00:00,2020-06-30 00:00:00+00:00,9188.0,13,175.0,True,False,0.7777777777777778,1
126,external,BULL,TRANSITION,True,3,1,2020-07-09 16:00:00+00:00,2020-07-09 12:00:00+00:00,2020-07-09 16:00:00+00:00,9220.0,41,35.0,True,False,0.625,1
149,external,BULL,RESUME,False,4,1,2020-08-07 20:00:00+00:00,2020-08-07 16:00:00+00:00,2020-08-07 20:00:00+00:00,11613.05,7,205.0,True,False,0.9523809523809523,35
155,external,BEAR,TRANSITION,True,2,2,2020-08-13 20:00:00+00:00,2020-08-13 20:00:00+00:00,2020-08-14 00:00:00+00:00,11630.0,13,175.0,False,True,1.0,36
173,external,BULL,TRANSITION,True,12,2,2020-09-02 08:00:00+00:00,2020-09-02 08:00:00+00:00,2020-09-02 12:00:00+00:00,11575.78,37,55.0,False,True,1.0,12
183,external,BULL,RESUME,False,3,1,2020-09-20 16:00:00+00:00,2020-09-20 12:00:00+00:00,2020-09-20 16:00:00+00:00,10890.29,4,220.0,False,True,1.0,45
185,external,BULL,TRANSITION,True,4,2,2020-09-21 08:00:00+00:00,2020-09-21 08:00:00+00:00,2020-09-21 12:00:00+00:00,10751.0,22,130.0,False,True,1.0,27
189,external,BEAR,TRANSITION,True,2,2,2020-09-24 16:00:00+00:00,2020-09-24 16:00:00+00:00,2020-09-24 20:00:00+00:00,10574.08,1,235.0,False,True,1.0,48
199,external,BULL,TRANSITION,True,7,2,2020-10-01 16:00:00+00:00,2020-10-01 16:00:00+00:00,2020-10-01 20:00:00+00:00,10627.19,4,220.0,True,False,0.9777777777777777,9
201,external,BEAR,TRANSITION,True,4,1,2020-10-04 08:00:00+00:00,2020-10-04 04:00:00+00:00,2020-10-04 08:00:00+00:00,10596.0,31,85.0,False,True,1.0,18
215,external,BULL,RESUME,False,8,1,2020-11-02 12:00:00+00:00,2020-11-02 08:00:00+00:00,2020-11-02 12:00:00+00:00,13605.9,8,200.0,False,True,1.0,41
219,external,BULL,RESUME,False,4,1,2020-11-07 20:00:00+00:00,2020-11-07 16:00:00+00:00,2020-11-07 20:00:00+00:00,15177.0,27,105.0,False,True,1.0,22
225,external,BULL,RESUME,False,3,1,2020-11-14 12:00:00+00:00,2020-11-14 08:00:00+00:00,2020-11-14 12:00:00+00:00,15955.6,5,215.0,False,True,1.0,44
239,external,BULL,RESUME,False,19,2,2020-11-26 00:00:00+00:00,2020-11-26 00:00:00+00:00,2020-11-26 04:00:00+00:00,18635.01,30,90.0,False,True,1.0,19
