status,n
TARGET_BROKE_BEFORE_CONFIRMATION,733
TRADE,442
OPPOSITE_BROKE_BEFORE_CONFIRMATION,104
NO_CONFIRMATION,34
ZONE_NOT_REACHED,6
NO_ELIGIBLE_5M,3
NO_ENTRY_BAR,1
