partition,from_state,to_state,n,prob
external,BULL,BULL,2096,0.9257950530035336
external,BULL,BEAR,5,0.002208480565371025
external,BULL,SIDEWAYS,163,0.0719964664310954
external,BEAR,BULL,11,0.010934393638170975
external,BEAR,BEAR,887,0.8817097415506958
external,BEAR,SIDEWAYS,108,0.1073558648111332
external,SIDEWAYS,BULL,157,0.14093357271095153
external,SIDEWAYS,BEAR,115,0.10323159784560143
external,SIDEWAYS,SIDEWAYS,842,0.755834829443447
development,BULL,BULL,2675,0.908936459395175
development,BULL,BEAR,49,0.016649677200135916
development,BULL,SIDEWAYS,219,0.0744138634046891
development,BEAR,BULL,49,0.017150857542877145
development,BEAR,BEAR,2559,0.8956947847392369
development,BEAR,SIDEWAYS,249,0.08715435771788589
development,SIDEWAYS,BULL,219,0.28258064516129033
development,SIDEWAYS,BEAR,248,0.32
development,SIDEWAYS,SIDEWAYS,308,0.39741935483870966
reference_validation,BULL,BULL,1312,0.8846931894807822
reference_validation,BULL,BEAR,21,0.014160485502360081
reference_validation,BULL,SIDEWAYS,150,0.10114632501685772
reference_validation,BEAR,BULL,20,0.013802622498274672
reference_validation,BEAR,BEAR,1295,0.893719806763285
reference_validation,BEAR,SIDEWAYS,134,0.0924775707384403
reference_validation,SIDEWAYS,BULL,151,0.29206963249516443
reference_validation,SIDEWAYS,BEAR,133,0.2572533849129594
reference_validation,SIDEWAYS,SIDEWAYS,233,0.4506769825918762
POOLED_MAJOR,BULL,BULL,6083,0.9092675635276533
POOLED_MAJOR,BULL,BEAR,75,0.011210762331838564
POOLED_MAJOR,BULL,SIDEWAYS,532,0.07952167414050822
POOLED_MAJOR,BEAR,BULL,80,0.015057406361754188
POOLED_MAJOR,BEAR,BEAR,4742,0.8925277620929795
POOLED_MAJOR,BEAR,SIDEWAYS,491,0.09241483154526632
POOLED_MAJOR,SIDEWAYS,BULL,527,0.21894474449522228
POOLED_MAJOR,SIDEWAYS,BEAR,497,0.2064810968009971
POOLED_MAJOR,SIDEWAYS,SIDEWAYS,1383,0.5745741587037806
