scope,rule,delta_threshold,bad_total,bad_flagged,bad_capture,good_total,good_flagged,good_sacrifice,flagged_n,flag_precision_bad,late_bad_total,late_bad_flagged,late_bad_capture,late_good_total,late_good_flagged,late_good_sacrifice,late_flagged_n,late_precision_bad
development,PLUS15_SAFE,0.46809760450579196,38,28,0.7368421052631579,159,9,0.05660377358490566,37,0.7567567567567568,6,1,0.16666666666666666,6,0,0.0,1,1.0
development,PERSIST_BOTH,0.46809760450579196,38,22,0.5789473684210527,159,3,0.018867924528301886,25,0.88,6,1,0.16666666666666666,6,0,0.0,1,1.0
development,REFINED_STATE,0.46809760450579196,38,23,0.6052631578947368,159,3,0.018867924528301886,26,0.8846153846153846,6,1,0.16666666666666666,6,0,0.0,1,1.0
external,PLUS15_SAFE,0.46809760450579196,23,9,0.391304347826087,98,14,0.14285714285714285,23,0.391304347826087,2,2,1.0,3,0,0.0,2,1.0
external,PERSIST_BOTH,0.46809760450579196,23,7,0.30434782608695654,98,11,0.11224489795918367,18,0.3888888888888889,2,2,1.0,3,0,0.0,2,1.0
external,REFINED_STATE,0.46809760450579196,23,9,0.391304347826087,98,11,0.11224489795918367,20,0.45,2,2,1.0,3,0,0.0,2,1.0
reference_validation,PLUS15_SAFE,0.46809760450579196,17,8,0.47058823529411764,91,15,0.16483516483516483,23,0.34782608695652173,4,1,0.25,6,0,0.0,1,1.0
reference_validation,PERSIST_BOTH,0.46809760450579196,17,4,0.23529411764705882,91,9,0.0989010989010989,13,0.3076923076923077,4,1,0.25,6,0,0.0,1,1.0
reference_validation,REFINED_STATE,0.46809760450579196,17,5,0.29411764705882354,91,9,0.0989010989010989,14,0.35714285714285715,4,1,0.25,6,0,0.0,1,1.0
POOLED_REUSED_EXTVAL,PLUS15_SAFE,0.46809760450579196,40,17,0.425,189,29,0.15343915343915343,46,0.3695652173913043,6,3,0.5,9,0,0.0,3,1.0
POOLED_REUSED_EXTVAL,PERSIST_BOTH,0.46809760450579196,40,11,0.275,189,20,0.10582010582010581,31,0.3548387096774194,6,3,0.5,9,0,0.0,3,1.0
POOLED_REUSED_EXTVAL,REFINED_STATE,0.46809760450579196,40,14,0.35,189,20,0.10582010582010581,34,0.4117647058823529,6,3,0.5,9,0,0.0,3,1.0
POOLED_MAJOR,PLUS15_SAFE,0.46809760450579196,78,45,0.5769230769230769,348,38,0.10919540229885058,83,0.5421686746987951,12,4,0.3333333333333333,15,0,0.0,4,1.0
POOLED_MAJOR,PERSIST_BOTH,0.46809760450579196,78,33,0.4230769230769231,348,23,0.06609195402298851,56,0.5892857142857143,12,4,0.3333333333333333,15,0,0.0,4,1.0
POOLED_MAJOR,REFINED_STATE,0.46809760450579196,78,37,0.47435897435897434,348,23,0.06609195402298851,60,0.6166666666666667,12,4,0.3333333333333333,15,0,0.0,4,1.0
