lookback_min,scale_variable,q33,q67,n_fit,fit_partition
15,RAW_RANGE_LB,0.005074295068391309,0.008370435524036254,74282,development_only
15,RANGE_24H,0.05949066912326617,0.090378917424669,74282,development_only
15,RANGE_72H,0.10144570369510379,0.14903014647346047,74282,development_only
15,RANGE_RATIO_24_72,0.5294302445609338,0.7124277230613266,74282,development_only
30,RAW_RANGE_LB,0.00723690823496728,0.01192689841067195,74451,development_only
30,RANGE_24H,0.05947897017651488,0.09036500042147855,74451,development_only
30,RANGE_72H,0.10144493444599853,0.14903485458798768,74451,development_only
30,RANGE_RATIO_24_72,0.5294008352168399,0.7122028567149494,74451,development_only
60,RAW_RANGE_LB,0.010391548354189336,0.01707625973682625,74537,development_only
60,RANGE_24H,0.05945804454787125,0.09033988400904407,74537,development_only
60,RANGE_72H,0.10139313322587773,0.1489939454145146,74537,development_only
60,RANGE_RATIO_24_72,0.5293263758675304,0.7121919815372533,74537,development_only
120,RAW_RANGE_LB,0.015079586707623544,0.02452153110047848,74611,development_only
120,RANGE_24H,0.059454418279319285,0.09034416826003834,74611,development_only
120,RANGE_72H,0.10138430464554904,0.14896622834034118,74611,development_only
120,RANGE_RATIO_24_72,0.5293739303837623,0.7124034672524756,74611,development_only
240,RAW_RANGE_LB,0.022051282051281963,0.0353745774703246,74704,development_only
240,RANGE_24H,0.05944661683908333,0.09032621640013615,74704,development_only
240,RANGE_72H,0.1013574660633485,0.1489540923768075,74704,development_only
240,RANGE_RATIO_24_72,0.5293739303837623,0.7123808053598033,74704,development_only
360,RAW_RANGE_LB,0.02783194702410508,0.04384887172400182,74744,development_only
360,RANGE_24H,0.05944512854422288,0.09033622595742374,74744,development_only
360,RANGE_72H,0.10138355478532882,0.1489562797583277,74744,development_only
360,RANGE_RATIO_24_72,0.5293959124563997,0.7124629218456145,74744,development_only
