partition,clock,execution_start,k1_before_leave,leave_completed_by_entry,integer_episode_bars,episode_ge_1,feature_known_by_entry
external,05:00,2020-03-09 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-03-24 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-04-24 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-05-06 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-05-12 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-05-19 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-06-10 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-06-19 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-07-01 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-07-03 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-08-28 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-10-15 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-12-21 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-12-25 05:00:00+00:00,True,True,True,True,True
external,05:00,2020-12-31 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-02-01 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-02-24 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-04-15 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-04-30 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-07-07 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-08-11 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-08-23 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-08-25 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-09-06 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-09-23 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-10-05 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-10-14 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-10-28 05:00:00+00:00,True,True,True,True,True
external,05:00,2021-11-02 05:00:00+00:00,True,True,True,True,True
external,09:00,2020-01-02 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-01-13 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-01-16 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-02-17 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-03-13 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-03-20 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-04-02 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-04-17 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-04-24 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-05-06 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-05-13 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-06-08 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-06-12 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-06-22 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-06-30 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-07-01 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-07-20 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-07-23 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-08-05 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-09-16 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-09-18 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-09-29 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-10-05 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-10-07 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-11-16 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-11-20 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-12-16 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-12-17 09:00:00+00:00,True,True,True,True,True
external,09:00,2020-12-24 09:00:00+00:00,True,True,True,True,True
external,09:00,2021-01-29 09:00:00+00:00,True,True,True,True,True
external,09:00,2021-02-01 09:00:00+00:00,True,True,True,True,True
external,09:00,2021-02-02 09:00:00+00:00,True,True,True,True,True
external,09:00,2021-02-05 09:00:00+00:00,True,True,True,True,True
external,09:00,2021-02-09 09:00:00+00:00,True,True,True,True,True
