strategy,scope,n,wins,wr,pf,expectancy,net,max_loss_streak,h2_rate,median_entry_depth_R,median_reward_H_R,median_risk_F35_R
ENTRY1_SAME_SIGNAL,POOLED_MAJOR,45,39,0.8666666666666667,1.1687034130699434,0.12981501996379494,5.841675898370772,2,0.8666666666666667,0.8652064026958701,0.13479359730412993,0.5152064026958715
ENTRY1_SAME_SIGNAL,ALT_0330,30,28,0.9333333333333333,1.9794528792326866,0.3911647439730368,11.734942319191104,1,0.9333333333333333,0.8637008956215703,0.13629910437842985,0.5137008956215681
ENTRY1_SAME_SIGNAL,RAW_0530,15,11,0.7333333333333333,0.7397631318105096,-0.39288442805468843,-5.893266420820327,1,0.7333333333333333,0.8675272161741829,0.13247278382581704,0.5175272161741845
ENTRY1_SAME_SIGNAL,external,9,8,0.8888888888888888,2.213607505425601,0.9592831504441399,8.63354835399726,1,0.8888888888888888,0.8656099241902137,0.1343900758097865,0.5156099241902153
ENTRY1_SAME_SIGNAL,development,26,22,0.8461538461538461,0.8393681560180966,-0.1470437838041303,-3.823138378907388,2,0.8461538461538461,0.8653772294896879,0.13462277051031224,0.5153772294896843
ENTRY1_SAME_SIGNAL,reference_validation,10,9,0.9,1.2777956700558557,0.10312659232809032,1.0312659232809032,1,0.9,0.8626731314178644,0.13732686858213555,0.5126731314178652
ENTRY2,POOLED_MAJOR,45,37,0.8222222222222222,1.0048868689782677,0.0038884517133559917,0.17498032710101963,2,0.8666666666666667,0.8767123287671192,0.12328767123288072,0.5267123287671177
ENTRY2,ALT_0330,30,26,0.8666666666666667,1.6968240124925589,0.3011189044676199,9.033567134028598,1,0.9333333333333333,0.8761755851672048,0.12382441483279508,0.526175585167205
ENTRY2,RAW_0530,15,11,0.7333333333333333,0.6121851521642229,-0.5905724537951719,-8.858586806927578,1,0.7333333333333333,0.877216916780343,0.12278308321965702,0.5272169167803391
ENTRY2,external,9,8,0.8888888888888888,1.7397727300360355,0.6713835630059933,6.04245206705394,1,0.8888888888888888,0.8767123287671192,0.12328767123288072,0.5267123287671177
ENTRY2,development,26,21,0.8076923076923077,0.8096912950103936,-0.17208629499025016,-4.474243669746504,2,0.8461538461538461,0.8703783808396262,0.1296216191603738,0.5203783808396223
ENTRY2,reference_validation,10,8,0.8,0.6624758709214578,-0.13932280702064168,-1.3932280702064168,1,0.9,0.8928387880963251,0.10716121190367485,0.542838788096324
