partition,guard,n,wr,pf,expectancy,net,max_dd,max_loss_streak,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,max_dd_5bps,max_loss_streak_5bps,guard_exits,parent_winners_guarded,parent_winner_guard_rate,parent_winners_flipped_nonpositive,winner_pnl_delta,loss_pnl_delta,delta_net,delta_net_5bps
development,BASELINE,601,0.4059900166389351,1.2780237033255166,0.5639111828323288,338.9106208822296,148.06095812456638,10,0.40266222961730447,1.1441769326833608,0.31391118283232855,188.66062088222947,168.56095812456653,10,0,0,0.0,0,0.0,0.0,0.0,0.0
development,G1_PRE_L25,601,0.3910149750415973,1.2635778116759944,0.5281705486393949,317.43049973227636,121.20493474361552,10,0.3876871880199667,1.1289872885826089,0.2781705486393948,167.18049973227625,149.2049347436155,10,52,9,0.036885245901639344,9,-116.37861761820662,94.89849646825338,-21.48012114995323,-21.480121149953234
development,G2_POST_H05,601,0.7021630615640599,1.4650362144031581,0.7673468528876392,461.1754585854711,111.74559069476794,5,0.5873544093178037,1.2975522321628512,0.5173468528876392,310.9254585854711,131.25690631749674,6,219,37,0.15163934426229508,1,-198.42668129181783,320.6915189950594,122.26483770324158,122.26483770324158
development,G3_POST_H10,601,0.78369384359401,1.4603006297661374,0.7202950635602846,432.89733319973107,122.01530949649862,5,0.6871880199667221,1.288313604228228,0.47029506356028444,282.64733319973095,141.25941785832998,5,300,69,0.2827868852459016,1,-372.1634309137528,466.1501432312542,93.98671231750137,93.98671231750141
external,BASELINE,281,0.4092526690391459,1.5465971940535803,1.494029510304015,419.82229239542824,130.72341119413184,10,0.40569395017793597,1.4317170296866153,1.2440295103040147,349.5722923954281,145.22341119413184,10,0,0,0.0,0,0.0,0.0,0.0,0.0
external,G1_PRE_L25,281,0.39501779359430605,1.4590455690373152,1.2843932552796782,360.9145047335896,134.91033456555974,10,0.3914590747330961,1.3506678616363443,1.0343932552796782,290.6645047335896,149.41033456555974,10,19,4,0.034782608695652174,4,-129.85599874201426,70.94821108017562,-58.90778766183865,-58.90778766183865
external,G2_POST_H05,281,0.7829181494661922,1.5666779243362212,1.1614472782811738,326.3666851970098,100.24566561019539,3,0.701067615658363,1.4314152886075966,0.9114472782811737,256.1166851970098,113.67483441737852,3,148,38,0.33043478260869563,2,-372.86906476395586,279.4134575655375,-93.45560719841839,-93.45560719841836
external,G3_POST_H10,281,0.8576512455516014,1.4406962463115327,0.8441764109142461,237.21357146690315,115.79870798402561,2,0.7864768683274022,1.3032245004946716,0.5941764109142461,166.96357146690315,128.7987079840256,3,192,62,0.5391304347826087,2,-561.5268355733747,378.91811464484954,-182.6087209285251,-182.6087209285251
reference_validation,BASELINE,337,0.44510385756676557,1.5654565040642079,0.7813931147549744,263.3294796724264,64.8471694764039,14,0.4391691394658754,1.3492422229172052,0.5313931147549742,179.07947967242632,77.8471694764039,14,0,0,0.0,0,0.0,0.0,0.0,0.0
reference_validation,G1_PRE_L25,337,0.42729970326409494,1.4918950759709557,0.6973392574438204,235.00332975856747,79.18827283201635,14,0.42433234421364985,1.2864982515058008,0.4473392574438203,150.75332975856745,92.18827283201635,14,35,6,0.04,6,-66.32029771254523,37.99414779868633,-28.32614991385889,-28.326149913858902
reference_validation,G2_POST_H05,337,0.744807121661721,1.647752958209168,0.7231003097434388,243.68480438353885,56.493443948089805,4,0.5281899109792285,1.3921093431065201,0.4731003097434387,159.43480438353885,63.23835640721303,7,138,32,0.21333333333333335,2,-142.9251266456033,123.28045135671579,-19.644675288887523,-19.64467528888752
reference_validation,G3_POST_H10,337,0.827893175074184,1.5762291685667762,0.6100673979293296,205.5927131021841,55.59785472501338,3,0.6320474777448071,1.3198994265767143,0.3600673979293296,121.34271310218408,62.93328776461204,6,184,51,0.34,2,-235.4308243032558,177.6940577330135,-57.73676657024229,-57.73676657024228
