episode_id,first_sideways_ts,last_sideways_ts,partition,n_intervals,duration_hours,origin_state,exit_state,bracketed_directional,class,same_direction_resume,opposite_direction_transition,gap_or_boundary
1,2020-01-01 04:00:00+00:00,2020-01-08 00:00:00+00:00,external,42,168,,BULL,False,,False,False,True
3,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
5,2020-01-10 00:00:00+00:00,2020-01-10 12:00:00+00:00,external,4,16,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
7,2020-01-19 12:00:00+00:00,2020-01-24 16:00:00+00:00,external,32,128,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
9,2020-01-26 12:00:00+00:00,2020-01-26 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
11,2020-02-02 04:00:00+00:00,2020-02-02 04:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
13,2020-02-03 00:00:00+00:00,2020-02-03 00:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
15,2020-02-03 12:00:00+00:00,2020-02-05 12:00:00+00:00,external,13,52,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
17,2020-02-10 12:00:00+00:00,2020-02-11 12:00:00+00:00,external,7,28,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
19,2020-02-13 12:00:00+00:00,2020-02-13 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
21,2020-02-14 08:00:00+00:00,2020-02-14 08:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
23,2020-02-15 08:00:00+00:00,2020-02-15 08:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
25,2020-02-15 16:00:00+00:00,2020-02-17 00:00:00+00:00,external,9,36,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
27,2020-02-18 20:00:00+00:00,2020-02-18 20:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
29,2020-02-20 00:00:00+00:00,2020-02-20 04:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
31,2020-02-22 08:00:00+00:00,2020-02-23 04:00:00+00:00,external,6,24,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
33,2020-02-24 04:00:00+00:00,2020-02-24 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
35,2020-02-24 16:00:00+00:00,2020-02-27 08:00:00+00:00,external,17,68,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
37,2020-02-28 08:00:00+00:00,2020-02-28 20:00:00+00:00,external,4,16,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
39,2020-03-02 12:00:00+00:00,2020-03-02 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
41,2020-03-03 16:00:00+00:00,2020-03-03 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
43,2020-03-04 12:00:00+00:00,2020-03-05 00:00:00+00:00,external,4,16,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
45,2020-03-07 20:00:00+00:00,2020-03-13 08:00:00+00:00,external,34,136,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
47,2020-03-14 20:00:00+00:00,2020-03-16 16:00:00+00:00,external,12,48,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
49,2020-03-17 08:00:00+00:00,2020-03-17 08:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
51,2020-03-17 16:00:00+00:00,2020-03-17 20:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
53,2020-03-18 04:00:00+00:00,2020-03-18 04:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
55,2020-03-18 16:00:00+00:00,2020-03-19 04:00:00+00:00,external,4,16,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
57,2020-03-22 16:00:00+00:00,2020-03-23 16:00:00+00:00,external,7,28,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
59,2020-03-28 00:00:00+00:00,2020-03-30 20:00:00+00:00,external,18,72,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
61,2020-04-01 08:00:00+00:00,2020-04-01 12:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
64,2020-04-09 12:00:00+00:00,2020-04-09 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
