scope,name,checkpoint,mode,threshold,bad_total,bad_too_late,bad_eligible,bad_flagged,bad_capture_all,bad_recall_eligible,good_total,good_resolved_safe,good_eligible,good_flagged,good_sacrifice_all,good_fpr_eligible,flagged_n,flag_precision_bad
PARTITION,external,RECLAIM,SAFE,0.6534535825318841,23,0,23,5,0.21739130434782608,0.21739130434782608,98,0,98,11,0.11224489795918367,0.11224489795918367,16,0.3125
PARTITION,development,RECLAIM,SAFE,0.6534535825318841,38,0,38,13,0.34210526315789475,0.34210526315789475,159,0,159,15,0.09433962264150944,0.09433962264150944,28,0.4642857142857143
PARTITION,reference_validation,RECLAIM,SAFE,0.6534535825318841,17,0,17,5,0.29411764705882354,0.29411764705882354,91,0,91,16,0.17582417582417584,0.17582417582417584,21,0.23809523809523808
POOL,POOLED_MAJOR,RECLAIM,SAFE,0.6534535825318841,78,0,78,23,0.2948717948717949,0.2948717948717949,348,0,348,42,0.1206896551724138,0.1206896551724138,65,0.35384615384615387
PARTITION,external,RECLAIM,AGGRESSIVE,0.580230323009824,23,0,23,6,0.2608695652173913,0.2608695652173913,98,0,98,19,0.19387755102040816,0.19387755102040816,25,0.24
PARTITION,development,RECLAIM,AGGRESSIVE,0.580230323009824,38,0,38,20,0.5263157894736842,0.5263157894736842,159,0,159,31,0.1949685534591195,0.1949685534591195,51,0.39215686274509803
PARTITION,reference_validation,RECLAIM,AGGRESSIVE,0.580230323009824,17,0,17,6,0.35294117647058826,0.35294117647058826,91,0,91,26,0.2857142857142857,0.2857142857142857,32,0.1875
POOL,POOLED_MAJOR,RECLAIM,AGGRESSIVE,0.580230323009824,78,0,78,32,0.41025641025641024,0.41025641025641024,348,0,348,76,0.21839080459770116,0.21839080459770116,108,0.2962962962962963
PARTITION,external,FILL,SAFE,0.6495502737932632,23,0,23,5,0.21739130434782608,0.21739130434782608,98,0,98,10,0.10204081632653061,0.10204081632653061,15,0.3333333333333333
PARTITION,development,FILL,SAFE,0.6495502737932632,38,0,38,12,0.3157894736842105,0.3157894736842105,159,0,159,15,0.09433962264150944,0.09433962264150944,27,0.4444444444444444
PARTITION,reference_validation,FILL,SAFE,0.6495502737932632,17,0,17,5,0.29411764705882354,0.29411764705882354,91,0,91,14,0.15384615384615385,0.15384615384615385,19,0.2631578947368421
POOL,POOLED_MAJOR,FILL,SAFE,0.6495502737932632,78,0,78,22,0.28205128205128205,0.28205128205128205,348,0,348,39,0.11206896551724138,0.11206896551724138,61,0.36065573770491804
