rule_text,conditions,atoms_repr,selected_n,event_n,event_rate,lift_vs_buy_baseline,wilson_lower,mean_r,pf_r,cum_r,eligible
approach_start_distance_to_level_range_units >= 0.978378228578 AND initial_risk_range_units >= 1.31026395801,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'initial_risk_range_units', 'op': '>=', 'threshold': 1.3102639580060815, 'quantile': 0.75}]",4,2,0.5,0.125,0.15003570882017148,-0.036042174309700886,0.9279156513805982,-0.14416869723880354,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units <= 1.01904453724,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '<=', 'threshold': 1.0190445372434982, 'quantile': 0.25}]",2,1,0.5,0.125,0.09452865480086614,-0.23076923076922945,0.5384615384615411,-0.4615384615384589,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units >= 1.01904453724,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '>=', 'threshold': 1.0190445372434982, 'quantile': 0.25}]",10,5,0.5,0.125,0.23658959361548731,-0.25098661262046207,0.6414476962564828,-2.5098661262046207,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units <= 1.10860006597,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '<=', 'threshold': 1.1086000659690294, 'quantile': 0.5}]",5,3,0.6,0.22499999999999998,0.23071993220883708,-0.22883373944776073,0.6186104342537321,-1.1441686972388037,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units >= 1.10860006597,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '>=', 'threshold': 1.1086000659690294, 'quantile': 0.5}]",7,3,0.42857142857142855,0.05357142857142855,0.15821692226262685,-0.26103369864346804,0.6345528218991447,-1.8272358905042763,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units <= 1.22797163375,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '<=', 'threshold': 1.2279716337452877, 'quantile': 0.75}]",9,3,0.3333333333333333,-0.041666666666666685,0.12058159868274293,-0.5715742996932004,0.2651187575373138,-5.144168697238803,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_target_distance_range_units >= 1.22797163375,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_target_distance_range_units', 'op': '>=', 'threshold': 1.2279716337452877, 'quantile': 0.75}]",3,3,1.0,0.625,0.43849391955098227,0.7242547031652412,3.1727641094957235,2.1727641094957235,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r <= 0.80242228366,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 0.8024222836602144, 'quantile': 0.25}]",3,2,0.6666666666666666,0.29166666666666663,0.2076549551264879,0.28527710092039876,1.8558313027611963,0.8558313027611963,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r >= 0.80242228366,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 0.8024222836602144, 'quantile': 0.25}]",9,4,0.4444444444444444,0.06944444444444442,0.188775429471914,-0.42524843227825293,0.4532520156422462,-3.8272358905042765,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r <= 1.16560173697,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 1.1656017369727043, 'quantile': 0.5}]",6,2,0.3333333333333333,-0.041666666666666685,0.09676933255921683,-0.3573614495398006,0.4639578256902991,-2.1441686972388037,False
