stop_slippage_bps,accepted,blocked,n,wins,wr,pf,expectancy,total_net,max_loss_streak
0,227,15,227,164,0.7224669603524229,2.2537382795519254,1.2764745072039243,289.75971313529084,3
2,227,15,227,163,0.7180616740088106,2.201420825145184,1.2272449099577192,278.58459456040225,3
5,227,15,227,157,0.6916299559471366,2.121935886288156,1.1534005140884125,261.82191669806963,6
10,227,15,227,149,0.6563876651982379,1.9835055839446298,1.0303265209728667,233.88412026084075,6
