partition,transition,date_utc,side,k,opp_visits_at_signal,signal_bar_start,signal_ts,previous_session_high,previous_session_low,range,active_session_end,structural_outcome,breakout_side,breakout_ts,minutes_to_terminal
external,LONDON_TO_NEWYORK,2020-01-01,LONG,1,0,2020-01-01 14:20:00+00:00,2020-01-01 14:25:00+00:00,131.97,129.75,2.219999999999999,2020-01-01 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-01 14:30:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-01-10,LONG,1,0,2020-01-10 14:40:00+00:00,2020-01-10 14:45:00+00:00,139.99,135.3,4.689999999999998,2020-01-10 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-10 15:00:00+00:00,15.0
external,LONDON_TO_NEWYORK,2020-01-10,LONG,2,0,2020-01-10 14:50:00+00:00,2020-01-10 14:55:00+00:00,139.99,135.3,4.689999999999998,2020-01-10 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-10 15:00:00+00:00,5.0
external,ASIA_TO_LONDON,2020-01-14,LONG,1,0,2020-01-14 09:15:00+00:00,2020-01-14 09:20:00+00:00,150.78,143.49,7.289999999999992,2020-01-14 13:30:00+00:00,TARGET_BREAK,HIGH,2020-01-14 09:30:00+00:00,10.0
external,LONDON_TO_NEWYORK,2020-01-14,LONG,1,0,2020-01-14 13:50:00+00:00,2020-01-14 13:55:00+00:00,153.4,149.0,4.400000000000006,2020-01-14 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-14 14:00:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-01-21,LONG,1,0,2020-01-21 13:35:00+00:00,2020-01-21 13:40:00+00:00,168.81,166.06,2.75,2020-01-21 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-21 13:45:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-01-24,LONG,1,0,2020-01-24 14:10:00+00:00,2020-01-24 14:15:00+00:00,162.15,155.72,6.430000000000007,2020-01-24 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-24 14:35:00+00:00,20.0
external,LONDON_TO_NEWYORK,2020-01-27,LONG,1,0,2020-01-27 13:30:00+00:00,2020-01-27 13:35:00+00:00,170.3,165.28,5.02000000000001,2020-01-27 20:00:00+00:00,TARGET_BREAK,HIGH,2020-01-27 13:40:00+00:00,5.0
external,ASIA_TO_LONDON,2020-01-30,LONG,1,0,2020-01-30 08:10:00+00:00,2020-01-30 08:15:00+00:00,177.02,171.07,5.950000000000017,2020-01-30 13:30:00+00:00,NO_BREAK,,,
external,LONDON_TO_NEWYORK,2020-02-04,LONG,1,0,2020-02-04 15:15:00+00:00,2020-02-04 15:20:00+00:00,188.6,184.71,3.8899999999999864,2020-02-04 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-04 16:05:00+00:00,45.0
external,LONDON_TO_NEWYORK,2020-02-04,LONG,2,0,2020-02-04 15:40:00+00:00,2020-02-04 15:45:00+00:00,188.6,184.71,3.8899999999999864,2020-02-04 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-04 16:05:00+00:00,20.0
external,LONDON_TO_NEWYORK,2020-02-05,LONG,1,0,2020-02-05 15:45:00+00:00,2020-02-05 15:50:00+00:00,199.0,190.53,8.469999999999999,2020-02-05 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-05 15:55:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-02-14,LONG,1,0,2020-02-14 14:10:00+00:00,2020-02-14 14:15:00+00:00,273.72,262.67,11.050000000000011,2020-02-14 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-14 14:20:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-02-17,LONG,1,0,2020-02-17 14:50:00+00:00,2020-02-17 14:55:00+00:00,254.0,243.0,11.0,2020-02-17 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-17 15:05:00+00:00,10.0
external,LONDON_TO_NEWYORK,2020-02-18,LONG,1,0,2020-02-18 15:00:00+00:00,2020-02-18 15:05:00+00:00,269.17,258.78,10.390000000000043,2020-02-18 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-18 15:10:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-02-19,LONG,1,0,2020-02-19 16:15:00+00:00,2020-02-19 16:20:00+00:00,283.46,274.54,8.919999999999959,2020-02-19 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-19 17:25:00+00:00,65.0
external,LONDON_TO_NEWYORK,2020-02-19,LONG,2,0,2020-02-19 17:05:00+00:00,2020-02-19 17:10:00+00:00,283.46,274.54,8.919999999999959,2020-02-19 20:00:00+00:00,TARGET_BREAK,HIGH,2020-02-19 17:25:00+00:00,15.0
external,ASIA_TO_LONDON,2020-03-02,LONG,1,0,2020-03-02 09:35:00+00:00,2020-03-02 09:40:00+00:00,223.0,216.24,6.759999999999991,2020-03-02 13:30:00+00:00,TARGET_BREAK,HIGH,2020-03-02 10:05:00+00:00,25.0
external,ASIA_TO_LONDON,2020-03-02,LONG,2,0,2020-03-02 09:55:00+00:00,2020-03-02 10:00:00+00:00,223.0,216.24,6.759999999999991,2020-03-02 13:30:00+00:00,TARGET_BREAK,HIGH,2020-03-02 10:05:00+00:00,5.0
external,LONDON_TO_NEWYORK,2020-03-02,LONG,1,0,2020-03-02 13:35:00+00:00,2020-03-02 13:40:00+00:00,228.0,219.83,8.169999999999987,2020-03-02 20:00:00+00:00,TARGET_BREAK,HIGH,2020-03-02 14:25:00+00:00,45.0
