partition,boundary,fraction,winner_n,nonwinner_n,winner_close_breach_rate,nonwinner_close_breach_rate,close_separation_pp,winner_wick_breach_rate,nonwinner_wick_breach_rate,wick_separation_pp
external,F85,0.85,32,7,0.46875,1.0,53.125,0.625,1.0,37.5
external,F80,0.8,32,7,0.28125,1.0,71.875,0.4375,1.0,56.25
external,F75,0.75,32,7,0.15625,0.7142857142857143,55.80357142857143,0.21875,0.8571428571428571,63.83928571428571
external,F70,0.7,32,7,0.09375,0.7142857142857143,62.05357142857143,0.125,0.7142857142857143,58.92857142857143
external,F65,0.65,32,7,0.0625,0.7142857142857143,65.17857142857143,0.0625,0.7142857142857143,65.17857142857143
external,F60,0.6,32,7,0.0625,0.5714285714285714,50.89285714285714,0.0625,0.5714285714285714,50.89285714285714
external,F55,0.55,32,7,0.03125,0.42857142857142855,39.732142857142854,0.0625,0.42857142857142855,36.607142857142854
external,F50,0.5,32,7,0.0,0.42857142857142855,42.857142857142854,0.03125,0.42857142857142855,39.732142857142854
development,F85,0.85,32,9,0.46875,1.0,53.125,0.5,1.0,50.0
development,F80,0.8,32,9,0.40625,0.8888888888888888,48.263888888888886,0.4375,1.0,56.25
development,F75,0.75,32,9,0.3125,0.8888888888888888,57.638888888888886,0.34375,0.8888888888888888,54.513888888888886
development,F70,0.7,32,9,0.28125,0.8888888888888888,60.763888888888886,0.3125,0.8888888888888888,57.638888888888886
development,F65,0.65,32,9,0.15625,0.8888888888888888,73.26388888888889,0.21875,0.8888888888888888,67.01388888888889
development,F60,0.6,32,9,0.15625,0.8888888888888888,73.26388888888889,0.15625,0.8888888888888888,73.26388888888889
development,F55,0.55,32,9,0.125,0.7777777777777778,65.27777777777779,0.15625,0.8888888888888888,73.26388888888889
development,F50,0.5,32,9,0.09375,0.7777777777777778,68.40277777777779,0.15625,0.7777777777777778,62.15277777777778
reference_validation,F85,0.85,13,2,0.23076923076923078,1.0,76.92307692307692,0.5384615384615384,1.0,46.15384615384615
reference_validation,F80,0.8,13,2,0.15384615384615385,1.0,84.61538461538461,0.38461538461538464,1.0,61.53846153846154
reference_validation,F75,0.75,13,2,0.15384615384615385,1.0,84.61538461538461,0.15384615384615385,1.0,84.61538461538461
reference_validation,F70,0.7,13,2,0.15384615384615385,1.0,84.61538461538461,0.15384615384615385,1.0,84.61538461538461
reference_validation,F65,0.65,13,2,0.07692307692307693,1.0,92.3076923076923,0.15384615384615385,1.0,84.61538461538461
reference_validation,F60,0.6,13,2,0.07692307692307693,1.0,92.3076923076923,0.07692307692307693,1.0,92.3076923076923
reference_validation,F55,0.55,13,2,0.07692307692307693,1.0,92.3076923076923,0.07692307692307693,1.0,92.3076923076923
reference_validation,F50,0.5,13,2,0.07692307692307693,1.0,92.3076923076923,0.07692307692307693,1.0,92.3076923076923
august,F85,0.85,0,0,,,,,,
august,F80,0.8,0,0,,,,,,
august,F75,0.75,0,0,,,,,,
august,F70,0.7,0,0,,,,,,
august,F65,0.65,0,0,,,,,,
august,F60,0.6,0,0,,,,,,
august,F55,0.55,0,0,,,,,,
august,F50,0.5,0,0,,,,,,
POOLED_MAJOR,F85,0.85,77,18,0.42857142857142855,1.0,57.14285714285714,0.5584415584415584,1.0,44.15584415584416
POOLED_MAJOR,F80,0.8,77,18,0.3116883116883117,0.9444444444444444,63.275613275613274,0.42857142857142855,1.0,57.14285714285714
POOLED_MAJOR,F75,0.75,77,18,0.22077922077922077,0.8333333333333334,61.25541125541126,0.2597402597402597,0.8888888888888888,62.914862914862915
POOLED_MAJOR,F70,0.7,77,18,0.18181818181818182,0.8333333333333334,65.15151515151516,0.2077922077922078,0.8333333333333334,62.554112554112564
POOLED_MAJOR,F65,0.65,77,18,0.1038961038961039,0.8333333333333334,72.94372294372295,0.14285714285714285,0.8333333333333334,69.04761904761905
POOLED_MAJOR,F60,0.6,77,18,0.1038961038961039,0.7777777777777778,67.38816738816739,0.1038961038961039,0.7777777777777778,67.38816738816739
POOLED_MAJOR,F55,0.55,77,18,0.07792207792207792,0.6666666666666666,58.87445887445887,0.1038961038961039,0.7222222222222222,61.832611832611825
POOLED_MAJOR,F50,0.5,77,18,0.05194805194805195,0.6666666666666666,61.471861471861466,0.09090909090909091,0.6666666666666666,57.57575757575757
