outcome,n,raid_depth_pct_median,raid_depth_pct_p25,raid_depth_pct_p75,reclaim_delay_h1_bars_median,reclaim_delay_h1_bars_p25,reclaim_delay_h1_bars_p75,bars_reclaim_to_bos_median,bars_reclaim_to_bos_p25,bars_reclaim_to_bos_p75,displacement_range_units_median,displacement_range_units_p25,displacement_range_units_p75,bear_path_efficiency_median,bear_path_efficiency_p25,bear_path_efficiency_p75,bos_extension_range_units_median,bos_extension_range_units_p25,bos_extension_range_units_p75,zone_width_range_units_median,zone_width_range_units_p25,zone_width_range_units_p75,bos_to_return_min_median,bos_to_return_min_p25,bos_to_return_min_p75,return_penetration_zone_width_median,return_penetration_zone_width_p25,return_penetration_zone_width_p75
AMBIGUOUS,9,2.3064941633570424,1.629523715609893,5.474108283384105,2.0,0.0,2.0,5.0,4.0,11.0,3.1432009626955515,3.010735459061058,4.521452145214527,0.31980435008845914,0.18825512784490112,0.7268292682926814,0.0969162995594973,0.06459217350306495,0.808664259927799,1.1191335740072206,0.9931100785130669,2.4158270745557875,0.0,0.0,0.0,0.140690545337207,0.045418326693228976,0.1582278481012686
CONTINUATION,110,0.7312557499156824,0.400299512190333,1.3608630141025313,0.5,0.0,1.0,7.0,4.0,10.0,2.734400434074888,2.2376869126657537,3.4350304890850616,0.5395793354760504,0.3851408649015321,0.7911008781323577,0.330910278221729,0.08225839678628344,0.5788168264751516,0.9625551787323552,0.7459458400400316,1.2673699096833926,117.5,15.0,307.5,0.12761443037680417,0.04291947389448845,0.2823980568528617
INVALIDATED,225,0.8418520745640423,0.314746454245185,1.5393386545039967,0.0,0.0,1.0,6.0,3.0,10.0,3.131712259371859,2.6600603188280925,4.005132254243993,0.6591928251121051,0.4251012145748974,0.9223021582733831,0.4233576642335776,0.22314049586776832,0.7872582480090728,0.8221970554926441,0.6324324324324339,1.1220556745182062,505.0,110.0,1570.0,0.1916909620991272,0.06504065040649631,0.3932399010717282
UNRESOLVED,39,0.8236874080705947,0.5046101338836095,1.4527283282079972,0.0,0.0,1.0,6.0,4.0,9.0,3.4662576687116915,2.862472893139556,4.674905042409012,0.6062937062937085,0.43268100076563015,0.981389578163771,0.520268893868412,0.3418921394180443,0.7516328468709352,0.9918200408998,0.7649740946200502,1.892166886081625,2315.0,497.5,5380.0,0.08831036242981255,0.027777777777772295,0.19354838709677435
