local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2022-01-02,Sunday,2022-01-01 20:00:00+00:00,2022-01-02 00:00:00+00:00,2022-01-02 00:00:00+00:00,2022-01-02 04:00:00+00:00,528.16,524.18,3.980000000000018,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-02 01:35:00+00:00,
2022-01-03,Monday,2022-01-02 20:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,532.4,528.1,4.2999999999999545,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-03 00:55:00+00:00,
2022-01-04,Tuesday,2022-01-03 20:00:00+00:00,2022-01-04 00:00:00+00:00,2022-01-04 00:00:00+00:00,2022-01-04 04:00:00+00:00,516.46,510.41,6.050000000000011,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 00:20:00+00:00,
2022-01-05,Wednesday,2022-01-04 20:00:00+00:00,2022-01-05 00:00:00+00:00,2022-01-05 00:00:00+00:00,2022-01-05 04:00:00+00:00,512.52,506.01,6.509999999999991,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-05 00:00:00+00:00,
2022-01-06,Thursday,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-01-06 04:00:00+00:00,494.69,456.2,38.49000000000001,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-07,Friday,2022-01-06 20:00:00+00:00,2022-01-07 00:00:00+00:00,2022-01-07 00:00:00+00:00,2022-01-07 04:00:00+00:00,478.59,471.82,6.769999999999982,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 00:05:00+00:00,
2022-01-08,Saturday,2022-01-07 20:00:00+00:00,2022-01-08 00:00:00+00:00,2022-01-08 00:00:00+00:00,2022-01-08 04:00:00+00:00,452.88,445.27,7.610000000000014,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-08 00:55:00+00:00,
2022-01-09,Sunday,2022-01-08 20:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 04:00:00+00:00,437.07,418.0,19.069999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-10,Monday,2022-01-09 20:00:00+00:00,2022-01-10 00:00:00+00:00,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,444.14,436.7,7.439999999999998,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-10 00:05:00+00:00,
2022-01-11,Tuesday,2022-01-10 20:00:00+00:00,2022-01-11 00:00:00+00:00,2022-01-11 00:00:00+00:00,2022-01-11 04:00:00+00:00,425.6,417.35,8.25,True,,1,0,2022-01-11 02:00:00+00:00,2022-01-11 02:05:00+00:00,False,,,BREAK_DURING_K1,2022-01-11 02:05:00+00:00,
2022-01-12,Wednesday,2022-01-11 20:00:00+00:00,2022-01-12 00:00:00+00:00,2022-01-12 00:00:00+00:00,2022-01-12 04:00:00+00:00,464.0,458.26,5.740000000000009,True,,1,0,2022-01-12 00:00:00+00:00,2022-01-12 00:05:00+00:00,False,,,BREAK_DURING_K1,2022-01-12 00:05:00+00:00,
2022-01-13,Thursday,2022-01-12 20:00:00+00:00,2022-01-13 00:00:00+00:00,2022-01-13 00:00:00+00:00,2022-01-13 04:00:00+00:00,488.41,483.58,4.830000000000041,True,,1,0,2022-01-13 00:05:00+00:00,2022-01-13 00:10:00+00:00,True,2022-01-13 00:10:00+00:00,2022-01-13 00:15:00+00:00,OPPOSITE_BREAK_BEFORE_H2,2022-01-13 00:55:00+00:00,
2022-01-14,Friday,2022-01-13 20:00:00+00:00,2022-01-14 00:00:00+00:00,2022-01-14 00:00:00+00:00,2022-01-14 04:00:00+00:00,479.31,470.07,9.240000000000009,True,,1,0,2022-01-14 00:45:00+00:00,2022-01-14 00:50:00+00:00,False,,,BREAK_DURING_K1,2022-01-14 00:50:00+00:00,
2022-01-15,Saturday,2022-01-14 20:00:00+00:00,2022-01-15 00:00:00+00:00,2022-01-15 00:00:00+00:00,2022-01-15 04:00:00+00:00,492.28,484.9,7.3799999999999955,True,,1,0,2022-01-15 00:00:00+00:00,2022-01-15 00:05:00+00:00,True,2022-01-15 00:05:00+00:00,2022-01-15 00:10:00+00:00,NO_H2_BY_END,,
2022-01-16,Sunday,2022-01-15 20:00:00+00:00,2022-01-16 00:00:00+00:00,2022-01-16 00:00:00+00:00,2022-01-16 04:00:00+00:00,499.0,493.0,6.0,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-16 00:00:00+00:00,
2022-01-17,Monday,2022-01-16 20:00:00+00:00,2022-01-17 00:00:00+00:00,2022-01-17 00:00:00+00:00,2022-01-17 04:00:00+00:00,500.53,496.6,3.92999999999995,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-17 00:00:00+00:00,
2022-01-18,Tuesday,2022-01-17 20:00:00+00:00,2022-01-18 00:00:00+00:00,2022-01-18 00:00:00+00:00,2022-01-18 04:00:00+00:00,477.66,466.47,11.189999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-18 01:10:00+00:00,
2022-01-19,Wednesday,2022-01-18 20:00:00+00:00,2022-01-19 00:00:00+00:00,2022-01-19 00:00:00+00:00,2022-01-19 04:00:00+00:00,473.59,459.55,14.039999999999964,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-20,Thursday,2022-01-19 20:00:00+00:00,2022-01-20 00:00:00+00:00,2022-01-20 00:00:00+00:00,2022-01-20 04:00:00+00:00,470.88,461.18,9.699999999999989,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-21,Friday,2022-01-20 20:00:00+00:00,2022-01-21 00:00:00+00:00,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,465.27,438.1,27.16999999999996,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-21 00:00:00+00:00,
2022-01-22,Saturday,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-22 04:00:00+00:00,416.25,373.11,43.139999999999986,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-23,Sunday,2022-01-22 20:00:00+00:00,2022-01-23 00:00:00+00:00,2022-01-23 00:00:00+00:00,2022-01-23 04:00:00+00:00,366.46,347.52,18.939999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-23 00:50:00+00:00,
2022-01-24,Monday,2022-01-23 20:00:00+00:00,2022-01-24 00:00:00+00:00,2022-01-24 00:00:00+00:00,2022-01-24 04:00:00+00:00,386.27,363.38,22.889999999999986,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-25,Tuesday,2022-01-24 20:00:00+00:00,2022-01-25 00:00:00+00:00,2022-01-25 00:00:00+00:00,2022-01-25 04:00:00+00:00,376.33,362.51,13.819999999999993,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-25 00:55:00+00:00,
2022-01-26,Wednesday,2022-01-25 20:00:00+00:00,2022-01-26 00:00:00+00:00,2022-01-26 00:00:00+00:00,2022-01-26 04:00:00+00:00,385.86,376.73,9.129999999999995,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-27,Thursday,2022-01-26 20:00:00+00:00,2022-01-27 00:00:00+00:00,2022-01-27 00:00:00+00:00,2022-01-27 04:00:00+00:00,388.37,366.0,22.370000000000005,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-27 02:05:00+00:00,
