mechanism,lead_min,feature,dev_n,dev_loss_hit,dev_control_hit,dev_gap,dev_ratio,adequate_dev_blocks,same_bad_dev_blocks,dev_eligible,external_n,external_loss_hit,external_control_hit,external_gap,external_ratio,reference_n,reference_loss_hit,reference_control_hit,reference_gap,reference_ratio,replicated
M2_FAILED_BREAK,15,BEARISH,89,0.38202247191011235,0.21348314606741572,0.16853932584269662,1.7894736842105263,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,LOWER_CLOSE,89,0.38202247191011235,0.21348314606741572,0.16853932584269662,1.7894736842105263,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,LOWER_HIGH,89,0.3258426966292135,0.21348314606741572,0.11235955056179778,1.5263157894736843,6,4,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,LOWER_LOW,89,0.3146067415730337,0.15730337078651685,0.15730337078651685,2.0,6,5,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,INSIDE_BAR,89,0.11235955056179775,0.12359550561797752,-0.011235955056179775,0.9090909090909091,6,2,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,OUTSIDE_BAR,89,0.10112359550561797,0.06741573033707865,0.033707865168539325,1.5,6,3,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,M2_CLOSE_H05,89,0.3146067415730337,0.06741573033707865,0.24719101123595505,4.666666666666667,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,15,M2_CLOSE_H10,89,0.6067415730337079,0.19101123595505617,0.4157303370786517,3.1764705882352944,6,6,True,60,0.7,0.4166666666666667,0.28333333333333327,1.6799999999999997,43,0.4418604651162791,0.3023255813953488,0.13953488372093026,1.4615384615384617,True
M2_FAILED_BREAK,10,BEARISH,143,0.34965034965034963,0.23076923076923078,0.11888111888111885,1.515151515151515,6,5,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,LOWER_CLOSE,143,0.34965034965034963,0.23776223776223776,0.11188811188811187,1.4705882352941175,6,4,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,LOWER_HIGH,143,0.40559440559440557,0.2867132867132867,0.11888111888111885,1.4146341463414633,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,LOWER_LOW,143,0.2097902097902098,0.14685314685314685,0.06293706293706294,1.4285714285714286,6,4,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,INSIDE_BAR,143,0.22377622377622378,0.18181818181818182,0.04195804195804195,1.2307692307692308,6,4,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,OUTSIDE_BAR,143,0.04195804195804196,0.04895104895104895,-0.006993006993006992,0.8571428571428572,6,1,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,M2_CLOSE_H05,143,0.35664335664335667,0.08391608391608392,0.27272727272727276,4.25,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,10,M2_CLOSE_H10,143,0.6363636363636364,0.23076923076923078,0.40559440559440557,2.7575757575757573,6,6,True,85,0.7176470588235294,0.4,0.3176470588235294,1.7941176470588234,72,0.5833333333333334,0.3472222222222222,0.23611111111111116,1.6800000000000002,True
M2_FAILED_BREAK,5,BEARISH,258,0.3333333333333333,0.23255813953488372,0.1007751937984496,1.4333333333333333,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,LOWER_CLOSE,258,0.3333333333333333,0.23255813953488372,0.1007751937984496,1.4333333333333333,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,LOWER_HIGH,258,0.36046511627906974,0.22868217054263565,0.1317829457364341,1.576271186440678,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,LOWER_LOW,258,0.2713178294573643,0.13565891472868216,0.13565891472868216,2.0,6,6,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,INSIDE_BAR,258,0.17054263565891473,0.13565891472868216,0.034883720930232565,1.2571428571428571,6,3,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,OUTSIDE_BAR,258,0.08914728682170543,0.050387596899224806,0.03875968992248063,1.7692307692307694,6,4,False,0,,,,,0,,,,,False
M2_FAILED_BREAK,5,M2_CLOSE_H05,258,0.5503875968992248,0.12790697674418605,0.42248062015503873,4.303030303030303,6,6,True,136,0.6397058823529411,0.21323529411764705,0.42647058823529405,3.0,140,0.6642857142857143,0.12142857142857143,0.5428571428571428,5.470588235294118,True
M2_FAILED_BREAK,5,M2_CLOSE_H10,258,0.813953488372093,0.29069767441860467,0.5232558139534884,2.8,6,6,True,136,0.8676470588235294,0.4411764705882353,0.42647058823529416,1.9666666666666668,140,0.9071428571428571,0.4,0.5071428571428571,2.267857142857143,True
M0_REFERENCE_INVALIDATION,15,BEARISH,35,0.5428571428571428,0.37142857142857144,0.17142857142857137,1.4615384615384615,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,LOWER_CLOSE,35,0.5428571428571428,0.37142857142857144,0.17142857142857137,1.4615384615384615,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,LOWER_HIGH,35,0.6571428571428571,0.45714285714285713,0.2,1.4375,5,4,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,LOWER_LOW,35,0.4857142857142857,0.45714285714285713,0.02857142857142858,1.0625,5,2,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,INSIDE_BAR,35,0.2857142857142857,0.08571428571428572,0.19999999999999998,3.333333333333333,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,OUTSIDE_BAR,35,0.08571428571428572,0.08571428571428572,0.0,1.0,5,1,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,15,M0_CLOSE_L25,35,0.5142857142857142,0.0,0.5142857142857142,inf,5,5,True,13,0.7692307692307693,0.07692307692307693,0.6923076923076923,10.0,26,0.4230769230769231,0.0,0.4230769230769231,inf,True
M0_REFERENCE_INVALIDATION,15,M0_CLOSE_L10,35,0.05714285714285714,0.0,0.05714285714285714,inf,5,2,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,10,BEARISH,37,0.8378378378378378,0.32432432432432434,0.5135135135135135,2.583333333333333,5,5,True,13,0.6153846153846154,0.23076923076923078,0.38461538461538464,2.6666666666666665,26,0.6923076923076923,0.5769230769230769,0.11538461538461542,1.2000000000000002,False
M0_REFERENCE_INVALIDATION,10,LOWER_CLOSE,37,0.8378378378378378,0.32432432432432434,0.5135135135135135,2.583333333333333,5,5,True,13,0.5384615384615384,0.23076923076923078,0.30769230769230765,2.333333333333333,26,0.6923076923076923,0.5769230769230769,0.11538461538461542,1.2000000000000002,False
M0_REFERENCE_INVALIDATION,10,LOWER_HIGH,37,0.7027027027027027,0.43243243243243246,0.2702702702702703,1.625,5,4,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,10,LOWER_LOW,37,0.7027027027027027,0.35135135135135137,0.35135135135135137,2.0,5,5,True,13,0.6923076923076923,0.46153846153846156,0.23076923076923073,1.4999999999999998,26,0.8076923076923077,0.3076923076923077,0.5,2.625,True
