clock_block,wib,bad_total,bad_flagged,bad_capture,good_total,good_flagged,good_sacrifice,flagged_n,flag_precision_bad,late_bad_total,late_bad_flagged,late_bad_capture,late_good_total,late_good_flagged,late_good_sacrifice,late_flagged_n,late_precision_bad
00-04,07-11,13,5,0.38461538461538464,76,6,0.07894736842105263,11,0.45454545454545453,3,0,0.0,3,0,0.0,0,
04-08,11-15,5,1,0.2,36,0,0.0,1,1.0,0,0,,3,0,0.0,0,
08-12,15-19,17,10,0.5882352941176471,55,8,0.14545454545454545,18,0.5555555555555556,3,2,0.6666666666666666,3,0,0.0,2,1.0
12-16,19-23,25,15,0.6,95,8,0.08421052631578947,23,0.6521739130434783,4,1,0.25,3,0,0.0,1,1.0
16-20,23-03,8,1,0.125,50,0,0.0,1,1.0,0,0,,1,0,0.0,0,
20-00,03-07,10,5,0.5,36,1,0.027777777777777776,6,0.8333333333333334,2,1,0.5,2,0,0.0,1,1.0
