level_pct,scope,signals,clean_fills,clean_fill_rate_106,ambiguous_same_bar,no_fill,later_h2,h2_after_fill_rate,median_minutes_fill_to_h2,median_reward_to_H_R,median_post_fill_future_mae_R
80,POOLED_LONG,106,92,0.8679245283018868,8,6,63,0.6847826086956522,50.0,0.2,0.4817463585340796
80,ALT_0330,55,54,0.9818181818181818,0,1,42,0.7777777777777778,47.5,0.2,0.5019692773616753
80,RAW_0530,51,38,0.7450980392156863,8,5,21,0.5526315789473685,55.0,0.2,0.4403836472886996
80,external,25,23,0.92,1,1,14,0.6086956521739131,20.0,0.2,0.45441906653425707
80,development,55,48,0.8727272727272727,3,4,32,0.6666666666666666,50.0,0.2000000000000005,0.5903188556954477
80,reference_validation,26,21,0.8076923076923077,4,1,17,0.8095238095238095,75.0,0.19999999999999915,0.36480218281037885
75,POOLED_LONG,106,91,0.8584905660377359,7,8,57,0.6263736263736264,60.0,0.25,0.45022624434389763
75,ALT_0330,55,53,0.9636363636363636,1,1,37,0.6981132075471698,60.0,0.2500000000000005,0.450975081256773
75,RAW_0530,51,38,0.7450980392156863,6,7,20,0.5263157894736842,60.0,0.25,0.4444581885308633
75,external,25,23,0.92,0,2,12,0.5217391304347826,20.0,0.2500000000000009,0.43869013271782886
75,development,55,46,0.8363636363636363,4,5,28,0.6086956521739131,50.0,0.25,0.5403188556954527
75,reference_validation,26,22,0.8461538461538461,3,1,17,0.7727272727272727,75.0,0.25,0.3677107093235038
70,POOLED_LONG,106,87,0.8207547169811321,5,14,52,0.5977011494252874,60.0,0.29999999999999993,0.48387096774193195
70,ALT_0330,55,49,0.8909090909090909,1,5,33,0.673469387755102,55.0,0.29999999999999993,0.45135135135135257
70,RAW_0530,51,38,0.7450980392156863,4,9,19,0.5,65.0,0.29999999999999993,0.5446583381701302
70,external,25,21,0.84,0,4,10,0.47619047619047616,25.0,0.29999999999999954,0.40296347346657824
70,development,55,44,0.8,2,9,25,0.5681818181818182,45.0,0.3,0.5619477903281981
70,reference_validation,26,22,0.8461538461538461,3,1,17,0.7727272727272727,75.0,0.2999999999999995,0.31771070932349754
65,POOLED_LONG,106,87,0.8207547169811321,3,16,47,0.5402298850574713,65.0,0.35,0.4467667436489591
65,ALT_0330,55,49,0.8909090909090909,1,5,30,0.6122448979591837,60.0,0.35,0.4013513513513489
65,RAW_0530,51,38,0.7450980392156863,2,11,17,0.4473684210526316,65.0,0.35,0.5350135180707687
65,external,25,20,0.8,0,5,8,0.4,32.5,0.34999999999999887,0.5639817367332897
65,development,55,43,0.7818181818181819,2,10,22,0.5116279069767442,72.5,0.3500000000000003,0.5213486637663148
65,reference_validation,26,24,0.9230769230769231,1,1,17,0.7083333333333334,65.0,0.35000000000000014,0.32271091009347336
